Symbol: TCTZF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,15.0,$26.07,6/13/11,,$7.93,15.0,
2,FReversalSwing(BUY),Buy to Open,15.0,$26.05,6/15/11,,($6.30),30.0,
3,FReversalSwing(BUY),Buy to Open,15.0,$25.85,6/16/11,,($33.30),45.0,
4,FReversalSwing(SELL),Sell to Close,-45.0,$27.75,7/7/11,$79.20,$79.20,0.0,
5,FReversalSwing(BUY),Buy to Open,14.0,$27.71,5/22/12,,$69.96,14.0,
6,FReversalSwing(BUY),Buy to Open,14.0,$27.05,5/23/12,,$71.92,28.0,
7,FReversalSwing(BUY),Buy to Open,14.0,$27.12,5/24/12,,$82.42,42.0,
8,FReversalSwing(SELL),Sell to Close,-42.0,$29.63,6/12/12,$98.14,$177.34,0.0,
9,FReversalSwing(BUY),Buy to Open,12.0,$32.05,11/16/12,,$174.58,12.0,
10,FReversalSwing(BUY),Buy to Open,12.0,$31.82,11/19/12,,$167.62,24.0,
11,FReversalSwing(BUY),Buy to Open,12.0,$31.53,11/20/12,,$202.54,36.0,
12,FReversalSwing(SELL),Sell to Close,-36.0,$33.53,1/3/13,$62.28,$239.62,0.0,
13,FReversalSwing(BUY),Buy to Open,11.0,$33.40,3/20/13,,$245.12,11.0,
14,FReversalSwing(BUY),Buy to Open,12.0,$33.20,3/22/13,,$205.22,23.0,
15,FReversalSwing(BUY),Buy to Open,12.0,$32.05,3/27/13,,$216.22,35.0,
16,FReversalSwing(SELL),Sell to Close,-35.0,$33.24,4/26/13,$13.00,$252.62,0.0,
17,FReversalSwing(BUY),Buy to Open,11.0,$35.35,6/25/13,,$270.24,11.0,
18,FReversalSwing(SELL),Sell to Close,-11.0,$38.60,6/28/13,$35.75,$288.37,0.0,
19,FReversalSwing(BUY),Buy to Open,15.0,$25.93,11/4/16,,$281.90,15.0,
20,FReversalSwing(BUY),Buy to Open,15.0,$25.50,11/7/16,,$317.94,30.0,
21,FReversalSwing(BUY),Buy to Open,15.0,$25.32,11/14/16,,$240.78,45.0,
22,FReversalSwing(SELL),Sell to Close,-45.0,$25.14,1/6/17,($19.73),$268.64,0.0,
23,FReversalSwing(BUY),Buy to Open,8.0,$47.85,3/10/20,,$282.80,8.0,
24,FReversalSwing(SELL),Sell to Close,-8.0,$43.83,3/13/20,($32.13),$236.51,0.0,
25,FReversalSwing(BUY),Buy to Open,8.0,$46.17,3/16/20,,$203.15,8.0,
26,FReversalSwing(SELL),Sell to Close,-8.0,$40.05,3/17/20,($48.96),$187.55,0.0,
27,FReversalSwing(BUY),Buy to Open,5.0,$67.65,12/29/20,,$197.78,5.0,
28,FReversalSwing(SELL),Sell to Close,-5.0,$76.68,1/6/21,$45.13,$232.68,0.0,
29,FReversalSwing(BUY),Buy to Open,8.0,$45.20,7/18/24,,$243.88,8.0,
30,FReversalSwing(BUY),Buy to Open,8.0,$44.55,7/26/24,,$236.60,16.0,
31,FReversalSwing(SELL),Sell to Close,-16.0,$48.63,8/13/24,$60.08,$292.76,0.0,
32,FReversalSwing(BUY),Buy to Open,8.0,$50.00,11/14/24,,$297.16,8.0,
33,FReversalSwing(BUY),Buy to Open,8.0,$49.60,11/26/24,,$302.20,16.0,
34,FReversalSwing(BUY),Buy to Open,8.0,$49.50,11/29/24,,$293.24,24.0,
35,FReversalSwing(SELL),Sell to Close,-24.0,$56.00,12/10/24,$151.20,$443.96,0.0,
