Symbol: TGS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,90.0,$11.00,11/27/95,,($11.25),90.0,
2,keepbusy_cross(SELL),Sell to Close,-90.0,$11.91,2/7/96,$82.12,$82.13,0.0,
3,keepbusy_cross(Buy),Buy to Open,81.0,$12.25,12/30/96,,$92.25,81.0,
4,keepbusy_cross(SELL),Sell to Close,-81.0,$12.76,3/3/97,$41.20,$123.32,0.0,
5,keepbusy_cross(Buy),Buy to Open,100.0,$10.00,5/7/99,,$129.57,100.0,
6,keepbusy_cross(SELL),Sell to Close,-100.0,$9.77,5/13/99,($22.75),$100.57,0.0,
7,keepbusy_cross(Buy),Buy to Open,119.0,$8.38,11/3/00,,$55.95,119.0,
8,keepbusy_cross(SELL),Sell to Close,-119.0,$7.88,11/7/00,($59.50),$41.07,0.0,
9,keepbusy_cross(Buy),Buy to Open,274.0,$3.64,11/7/03,,$62.99,274.0,
10,keepbusy_cross(SELL),Sell to Close,-274.0,$3.10,11/10/03,($148.92),($107.85),0.0,
11,keepbusy_cross(Buy),Buy to Open,51.0,$19.27,9/22/17,,($70.62),51.0,
12,keepbusy_cross(SELL),Sell to Close,-51.0,$19.88,11/15/17,$30.99,($76.86),0.0,
13,keepbusy_cross(Buy),Buy to Open,191.0,$5.22,8/27/21,,($82.59),191.0,
14,keepbusy_cross(SELL),Sell to Close,-191.0,$4.83,9/21/21,($73.75),($150.60),0.0,
