Symbol: TMUS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,15.0,$25.50,11/15/13,,$8.25,15.0,
2,FReversalSwing(BUY),Buy to Open,15.0,$25.44,12/13/13,,$65.10,30.0,
3,FReversalSwing(SELL),Sell to Close,-30.0,$27.64,12/16/13,$65.10,$65.10,0.0,
4,FReversalSwing(BUY),Buy to Open,13.0,$30.01,4/14/14,,$61.59,13.0,
5,FReversalSwing(BUY),Buy to Open,13.0,$29.74,4/15/14,,$47.29,26.0,
6,FReversalSwing(BUY),Buy to Open,13.0,$29.19,4/16/14,,$69.13,39.0,
7,FReversalSwing(SELL),Sell to Close,-39.0,$31.65,5/2/14,$78.13,$143.23,0.0,
8,FReversalSwing(BUY),Buy to Open,12.0,$32.10,7/16/14,,$144.91,12.0,
9,FReversalSwing(BUY),Buy to Open,12.0,$31.96,7/18/14,,$147.79,24.0,
10,FReversalSwing(BUY),Buy to Open,12.0,$31.79,7/22/14,,$131.71,36.0,
11,FReversalSwing(SELL),Sell to Close,-36.0,$32.94,8/1/14,$35.64,$178.87,0.0,
12,FReversalSwing(BUY),Buy to Open,10.0,$37.40,7/27/15,,$169.87,10.0,
13,FReversalSwing(BUY),Buy to Open,10.0,$36.50,7/28/15,,$178.27,20.0,
14,FReversalSwing(BUY),Buy to Open,10.0,$36.92,7/29/15,,$181.87,30.0,
15,FReversalSwing(SELL),Sell to Close,-30.0,$38.86,7/31/15,$57.60,$236.47,0.0,
16,FReversalSwing(BUY),Buy to Open,10.0,$38.13,8/26/15,,$244.77,10.0,
17,FReversalSwing(SELL),Sell to Close,-10.0,$41.31,9/16/15,$31.80,$268.27,0.0,
18,FReversalSwing(BUY),Buy to Open,10.0,$37.48,10/30/15,,$272.37,10.0,
19,FReversalSwing(BUY),Buy to Open,10.0,$37.89,11/2/15,,$280.37,20.0,
20,FReversalSwing(BUY),Buy to Open,10.0,$37.03,11/11/15,,$266.27,30.0,
21,FReversalSwing(SELL),Sell to Close,-30.0,$38.16,12/16/15,$20.80,$289.07,0.0,
22,FReversalSwing(BUY),Buy to Open,8.0,$44.64,9/12/16,,$299.39,8.0,
23,FReversalSwing(SELL),Sell to Close,-8.0,$47.18,9/16/16,$20.32,$309.39,0.0,
