Symbol: TOWN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,42.0,$23.54,3/18/05,,$10.19,42.0,
2,keepbusy_cross(SELL),Sell to Close,-42.0,$21.63,3/29/05,($80.35),($80.35),0.0,
3,keepbusy_cross(Buy),Buy to Open,54.0,$18.48,6/5/09,,($132.73),54.0,
4,keepbusy_cross(SELL),Sell to Close,-54.0,$17.21,6/8/09,($68.72),($149.07),0.0,
5,keepbusy_cross(Buy),Buy to Open,62.0,$16.01,11/5/10,,($137.29),62.0,
6,keepbusy_cross(SELL),Sell to Close,-62.0,$15.05,11/17/10,($59.53),($208.60),0.0,
7,keepbusy_cross(Buy),Buy to Open,65.0,$15.31,6/7/13,,($217.70),65.0,
8,keepbusy_cross(SELL),Sell to Close,-65.0,$14.79,6/12/13,($33.72),($242.32),0.0,
9,keepbusy_cross(Buy),Buy to Open,65.0,$15.20,12/2/13,,($261.17),65.0,
10,keepbusy_cross(SELL),Sell to Close,-65.0,$15.05,12/3/13,($9.76),($252.08),0.0,
11,keepbusy_cross(Buy),Buy to Open,64.0,$15.58,3/7/14,,($251.44),64.0,
12,keepbusy_cross(SELL),Sell to Close,-64.0,$15.20,3/28/14,($24.60),($276.68),0.0,
13,keepbusy_cross(Buy),Buy to Open,64.0,$15.60,6/2/14,,($285.00),64.0,
14,keepbusy_cross(SELL),Sell to Close,-64.0,$15.28,6/3/14,($20.54),($297.21),0.0,
15,keepbusy_cross(Buy),Buy to Open,63.0,$15.63,2/23/15,,($301.62),63.0,
16,keepbusy_cross(SELL),Sell to Close,-63.0,$15.97,5/7/15,$21.36,($275.86),0.0,
17,keepbusy_cross(Buy),Buy to Open,42.0,$23.77,9/30/16,,($264.94),42.0,
18,keepbusy_cross(SELL),Sell to Close,-42.0,$23.32,10/5/16,($18.71),($294.57),0.0,
19,keepbusy_cross(Buy),Buy to Open,35.0,$28.14,9/13/19,,($282.67),35.0,
20,keepbusy_cross(SELL),Sell to Close,-35.0,$27.18,10/2/19,($33.48),($328.05),0.0,
21,keepbusy_cross(Buy),Buy to Open,30.0,$32.32,11/5/21,,($313.35),30.0,
22,keepbusy_cross(SELL),Sell to Close,-30.0,$30.93,11/29/21,($41.76),($369.80),0.0,
23,keepbusy_cross(Buy),Buy to Open,34.0,$29.21,7/12/24,,($354.50),34.0,
24,keepbusy_cross(SELL),Sell to Close,-34.0,$32.55,10/2/24,$113.70,($256.10),0.0,
