Symbol: TOYOF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,9.0,$43.00,3/14/11,,($17.10),9.0,
2,FReversalSwing(BUY),Buy to Open,9.0,$41.10,3/15/11,,($27.90),18.0,
3,FReversalSwing(SELL),Sell to Close,-18.0,$38.00,3/16/11,($72.90),($72.90),0.0,
4,FReversalSwing(BUY),Buy to Open,9.0,$40.45,3/17/11,,($70.20),9.0,
5,FReversalSwing(BUY),Buy to Open,9.0,$40.75,3/18/11,,($70.20),18.0,
6,FReversalSwing(BUY),Buy to Open,9.0,$40.75,3/21/11,,($41.85),27.0,
7,FReversalSwing(SELL),Sell to Close,-27.0,$38.20,4/7/11,($66.15),($139.05),0.0,
8,FReversalSwing(BUY),Buy to Open,10.0,$39.25,4/11/11,,($147.05),10.0,
9,FReversalSwing(SELL),Sell to Close,-10.0,$38.70,4/12/11,($5.50),($144.55),0.0,
10,FReversalSwing(BUY),Buy to Open,10.0,$39.00,4/15/11,,($143.65),10.0,
11,FReversalSwing(SELL),Sell to Close,-10.0,$38.84,4/19/11,($1.60),($146.15),0.0,
12,FReversalSwing(BUY),Buy to Open,10.0,$38.80,5/18/12,,($150.25),10.0,
13,FReversalSwing(SELL),Sell to Close,-10.0,$37.95,5/21/12,($8.50),($154.65),0.0,
14,FReversalSwing(BUY),Buy to Open,10.0,$38.90,10/1/12,,($160.15),10.0,
15,FReversalSwing(SELL),Sell to Close,-10.0,$38.14,10/2/12,($7.60),($162.25),0.0,
16,FReversalSwing(BUY),Buy to Open,6.0,$60.50,12/5/13,,($158.17),6.0,
17,FReversalSwing(BUY),Buy to Open,6.0,$61.18,12/6/13,,($153.37),12.0,
18,FReversalSwing(BUY),Buy to Open,6.0,$60.86,12/11/13,,($170.56),18.0,
19,FReversalSwing(SELL),Sell to Close,-18.0,$57.10,4/1/14,($67.44),($229.69),0.0,
20,FReversalSwing(BUY),Buy to Open,5.0,$66.99,6/10/15,,($232.99),5.0,
21,FReversalSwing(BUY),Buy to Open,6.0,$66.33,6/11/15,,($218.91),11.0,
22,FReversalSwing(BUY),Buy to Open,6.0,$66.13,7/1/15,,($213.09),17.0,
23,FReversalSwing(SELL),Sell to Close,-17.0,$61.53,8/21/15,($83.64),($313.33),0.0,
24,FReversalSwing(BUY),Buy to Open,6.0,$65.10,2/6/18,,($289.93),6.0,
25,FReversalSwing(SELL),Sell to Close,-6.0,$69.00,2/7/18,$23.40,($289.93),0.0,
26,FReversalSwing(BUY),Buy to Open,6.0,$63.85,3/8/18,,($289.45),6.0,
27,FReversalSwing(BUY),Buy to Open,6.0,$63.93,3/9/18,,($279.85),12.0,
28,FReversalSwing(BUY),Buy to Open,6.0,$63.34,3/23/18,,($313.63),18.0,
29,FReversalSwing(SELL),Sell to Close,-18.0,$65.61,5/2/18,$34.17,($255.76),0.0,
30,FReversalSwing(BUY),Buy to Open,6.0,$63.90,6/28/18,,($244.84),6.0,
31,FReversalSwing(SELL),Sell to Close,-6.0,$68.09,7/31/18,$25.14,($230.62),0.0,
32,FReversalSwing(BUY),Buy to Open,5.0,$67.83,2/24/20,,($239.27),5.0,
33,FReversalSwing(BUY),Buy to Open,6.0,$66.10,2/25/20,,($222.00),11.0,
34,FReversalSwing(BUY),Buy to Open,6.0,$66.19,2/28/20,,($252.56),17.0,
35,FReversalSwing(SELL),Sell to Close,-17.0,$63.29,3/2/20,($56.96),($287.58),0.0,
36,FReversalSwing(BUY),Buy to Open,6.0,$65.24,3/4/20,,($285.69),6.0,
37,FReversalSwing(BUY),Buy to Open,6.0,$65.55,3/5/20,,($291.33),12.0,
38,FReversalSwing(BUY),Buy to Open,6.0,$65.08,3/6/20,,($297.27),18.0,
39,FReversalSwing(SELL),Sell to Close,-18.0,$63.03,3/9/20,($40.65),($328.23),0.0,
40,FReversalSwing(BUY),Buy to Open,5.0,$71.65,1/28/21,,($331.38),5.0,
41,FReversalSwing(BUY),Buy to Open,5.0,$71.02,1/29/21,,($332.38),10.0,
42,FReversalSwing(BUY),Buy to Open,5.0,$70.92,2/1/21,,($343.63),15.0,
43,FReversalSwing(SELL),Sell to Close,-15.0,$75.59,2/9/21,$65.90,($262.33),0.0,
44,FReversalSwing(BUY),Buy to Open,4.0,$85.02,8/20/21,,($274.41),4.0,
45,FReversalSwing(BUY),Buy to Open,4.0,$82.00,8/24/21,,($247.81),8.0,
46,FReversalSwing(SELL),Sell to Close,-8.0,$90.41,9/8/21,$55.20,($207.13),0.0,
47,FReversalSwing(BUY),Buy to Open,23.0,$16.99,10/5/23,,($201.84),23.0,
48,FReversalSwing(SELL),Sell to Close,-23.0,$18.24,10/13/23,$28.75,($178.38),0.0,
49,FReversalSwing(BUY),Buy to Open,18.0,$21.60,5/24/24,,($176.22),18.0,
50,FReversalSwing(BUY),Buy to Open,18.0,$21.72,5/28/24,,($175.14),36.0,
51,FReversalSwing(BUY),Buy to Open,18.0,$21.40,5/30/24,,($194.18),54.0,
52,FReversalSwing(SELL),Sell to Close,-54.0,$18.10,8/2/24,($187.64),($366.02),0.0,
