Symbol: TU Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,109.0,$9.09,8/5/05,,($13.63),109.0,
2,keepbusy_cross(SELL),Sell to Close,-109.0,$9.48,10/20/05,$41.82,$41.82,0.0,
3,keepbusy_cross(Buy),Buy to Open,96.0,$10.33,4/28/06,,$42.54,96.0,
4,keepbusy_cross(SELL),Sell to Close,-96.0,$9.95,5/15/06,($36.00),$5.82,0.0,
5,keepbusy_cross(Buy),Buy to Open,74.0,$13.48,7/11/11,,($17.67),74.0,
6,keepbusy_cross(SELL),Sell to Close,-74.0,$13.05,7/28/11,($31.58),($25.75),0.0,
7,keepbusy_cross(Buy),Buy to Open,77.0,$12.88,12/9/11,,($20.55),77.0,
8,keepbusy_cross(SELL),Sell to Close,-77.0,$13.93,4/12/12,$81.25,$55.50,0.0,
9,keepbusy_cross(Buy),Buy to Open,62.0,$16.03,10/5/12,,$57.83,62.0,
10,keepbusy_cross(SELL),Sell to Close,-62.0,$15.66,10/16/12,($23.15),$32.36,0.0,
11,keepbusy_cross(Buy),Buy to Open,57.0,$17.46,4/19/13,,$43.47,57.0,
12,keepbusy_cross(SELL),Sell to Close,-57.0,$17.52,6/3/13,$3.57,$35.93,0.0,
13,keepbusy_cross(Buy),Buy to Open,57.0,$17.43,6/26/15,,$37.64,57.0,
14,keepbusy_cross(SELL),Sell to Close,-57.0,$17.15,6/30/15,($16.15),$19.78,0.0,
15,keepbusy_cross(Buy),Buy to Open,60.0,$16.65,1/9/17,,$16.78,60.0,
16,keepbusy_cross(SELL),Sell to Close,-60.0,$16.37,3/1/17,($16.86),$2.92,0.0,
17,keepbusy_cross(Buy),Buy to Open,52.0,$19.08,11/13/20,,($8.52),52.0,
18,keepbusy_cross(SELL),Sell to Close,-52.0,$20.41,2/24/21,$69.15,$72.07,0.0,
19,keepbusy_cross(Buy),Buy to Open,47.0,$21.17,3/12/21,,$80.06,47.0,
20,keepbusy_cross(SELL),Sell to Close,-47.0,$20.66,3/17/21,($24.20),$47.87,0.0,
21,keepbusy_cross(Buy),Buy to Open,41.0,$24.12,2/4/22,,$49.51,41.0,
22,keepbusy_cross(SELL),Sell to Close,-41.0,$25.65,4/27/22,$62.81,$110.68,0.0,
23,keepbusy_cross(Buy),Buy to Open,48.0,$20.74,4/10/23,,$114.52,48.0,
24,keepbusy_cross(SELL),Sell to Close,-48.0,$20.42,5/12/23,($15.24),$95.44,0.0,
