Symbol: VMI Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,59.0,$16.88,10/1/99,,$7.38,59.0,
2,keepbusy_cross(SELL),Sell to Close,-59.0,$16.22,10/12/99,($38.55),($38.55),0.0,
3,keepbusy_cross(Buy),Buy to Open,53.0,$18.81,4/14/00,,($30.27),53.0,
4,keepbusy_cross(SELL),Sell to Close,-53.0,$18.78,6/16/00,($1.74),($40.29),0.0,
5,keepbusy_cross(Buy),Buy to Open,44.0,$22.32,8/2/02,,($67.57),44.0,
6,keepbusy_cross(SELL),Sell to Close,-44.0,$19.56,8/14/02,($121.34),($161.63),0.0,
7,keepbusy_cross(Buy),Buy to Open,47.0,$21.26,8/22/03,,($176.20),47.0,
8,keepbusy_cross(SELL),Sell to Close,-47.0,$20.36,9/26/03,($42.22),($203.85),0.0,
9,keepbusy_cross(Buy),Buy to Open,45.0,$21.97,6/14/04,,($252.00),45.0,
10,keepbusy_cross(SELL),Sell to Close,-45.0,$21.07,6/15/04,($40.42),($244.28),0.0,
11,keepbusy_cross(Buy),Buy to Open,39.0,$25.18,2/4/05,,($232.19),39.0,
12,keepbusy_cross(SELL),Sell to Close,-39.0,$24.64,2/11/05,($21.00),($265.28),0.0,
13,keepbusy_cross(Buy),Buy to Open,17.0,$57.04,10/13/06,,($253.04),17.0,
14,keepbusy_cross(SELL),Sell to Close,-17.0,$53.77,11/6/06,($55.54),($320.81),0.0,
15,keepbusy_cross(Buy),Buy to Open,7.0,$133.39,9/10/12,,($318.71),7.0,
16,keepbusy_cross(SELL),Sell to Close,-7.0,$128.97,9/27/12,($30.96),($351.77),0.0,
17,keepbusy_cross(Buy),Buy to Open,6.0,$152.74,4/4/14,,($356.03),6.0,
18,keepbusy_cross(SELL),Sell to Close,-6.0,$148.04,4/14/14,($28.20),($379.97),0.0,
19,keepbusy_cross(Buy),Buy to Open,6.0,$155.89,5/16/14,,($364.43),6.0,
20,keepbusy_cross(SELL),Sell to Close,-6.0,$151.00,6/26/14,($29.34),($409.31),0.0,
21,keepbusy_cross(Buy),Buy to Open,6.0,$143.60,11/18/16,,($423.11),6.0,
22,keepbusy_cross(SELL),Sell to Close,-6.0,$140.07,1/9/17,($21.18),($430.50),0.0,
23,keepbusy_cross(Buy),Buy to Open,6.0,$158.05,2/27/17,,($422.10),6.0,
24,keepbusy_cross(SELL),Sell to Close,-6.0,$146.40,3/28/17,($69.90),($500.40),0.0,
25,keepbusy_cross(Buy),Buy to Open,3.0,$252.80,12/10/21,,($493.98),3.0,
26,keepbusy_cross(SELL),Sell to Close,-3.0,$242.99,12/16/21,($29.43),($529.83),0.0,
