Symbol: VOE Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,17.0,$58.65,4/29/11,,$0.34,17.0,
2,keepbusy_cross(SELL),Sell to Close,-17.0,$56.78,5/25/11,($31.75),($31.75),0.0,
3,keepbusy_cross(Buy),Buy to Open,16.0,$60.67,1/7/13,,($35.75),16.0,
4,keepbusy_cross(SELL),Sell to Close,-16.0,$68.13,6/7/13,$119.28,$87.54,0.0,
5,keepbusy_cross(Buy),Buy to Open,13.0,$75.99,10/18/13,,$91.31,13.0,
6,keepbusy_cross(SELL),Sell to Close,-13.0,$78.59,1/27/14,$33.80,$121.34,0.0,
7,keepbusy_cross(Buy),Buy to Open,11.0,$83.61,4/4/14,,$112.54,11.0,
8,keepbusy_cross(SELL),Sell to Close,-11.0,$79.91,4/14/14,($40.71),$80.63,0.0,
9,keepbusy_cross(Buy),Buy to Open,10.0,$91.76,3/20/15,,$90.33,10.0,
10,keepbusy_cross(SELL),Sell to Close,-10.0,$90.21,3/27/15,($15.50),$65.12,0.0,
11,keepbusy_cross(Buy),Buy to Open,8.0,$112.52,7/13/18,,$64.96,8.0,
12,keepbusy_cross(SELL),Sell to Close,-8.0,$112.16,8/14/18,($2.87),$62.25,0.0,
13,keepbusy_cross(Buy),Buy to Open,8.0,$114.08,9/13/19,,$62.65,8.0,
14,keepbusy_cross(SELL),Sell to Close,-8.0,$110.18,10/3/19,($31.20),$31.05,0.0,
15,keepbusy_cross(Buy),Buy to Open,6.0,$158.29,8/16/24,,$33.81,6.0,
16,keepbusy_cross(SELL),Sell to Close,-6.0,$164.84,11/6/24,$39.30,$70.35,0.0,
