Symbol: VSH Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,250.0,$3.99,9/22/89,,$0.00,250.0,
2,keepbusy_cross(SELL),Sell to Close,-250.0,$3.96,9/25/89,($7.56),($7.56),0.0,
3,keepbusy_cross(Buy),Buy to Open,195.0,$5.11,7/8/91,,$10.13,195.0,
4,keepbusy_cross(SELL),Sell to Close,-195.0,$4.99,8/1/91,($23.49),($31.05),0.0,
5,keepbusy_cross(Buy),Buy to Open,223.0,$4.48,1/10/92,,($31.05),223.0,
6,keepbusy_cross(SELL),Sell to Close,-223.0,$5.02,4/20/92,$122.38,$91.34,0.0,
7,keepbusy_cross(Buy),Buy to Open,160.0,$6.23,8/7/92,,$96.17,160.0,
8,keepbusy_cross(SELL),Sell to Close,-160.0,$7.84,12/30/92,$257.46,$348.79,0.0,
9,keepbusy_cross(Buy),Buy to Open,81.0,$12.22,5/2/97,,$358.59,81.0,
10,keepbusy_cross(SELL),Sell to Close,-81.0,$14.39,7/29/97,$176.34,$525.13,0.0,
11,keepbusy_cross(Buy),Buy to Open,64.0,$15.58,9/3/99,,$506.46,64.0,
12,keepbusy_cross(SELL),Sell to Close,-64.0,$14.50,10/18/99,($69.34),$455.80,0.0,
13,keepbusy_cross(Buy),Buy to Open,56.0,$17.67,11/5/99,,$507.13,56.0,
14,keepbusy_cross(SELL),Sell to Close,-56.0,$17.45,12/16/99,($11.94),$443.86,0.0,
15,keepbusy_cross(Buy),Buy to Open,48.0,$20.61,3/8/02,,$529.78,48.0,
16,keepbusy_cross(SELL),Sell to Close,-48.0,$19.40,4/9/02,($58.28),$385.57,0.0,
17,keepbusy_cross(Buy),Buy to Open,68.0,$14.67,8/22/03,,$399.85,68.0,
18,keepbusy_cross(SELL),Sell to Close,-68.0,$21.88,2/5/04,$490.23,$875.81,0.0,
19,keepbusy_cross(Buy),Buy to Open,76.0,$13.01,11/11/05,,$872.01,76.0,
20,keepbusy_cross(SELL),Sell to Close,-76.0,$14.53,3/1/06,$115.34,$991.15,0.0,
21,keepbusy_cross(Buy),Buy to Open,115.0,$8.66,12/28/09,,$962.40,115.0,
22,keepbusy_cross(SELL),Sell to Close,-115.0,$7.96,1/29/10,($80.65),$910.50,0.0,
23,keepbusy_cross(Buy),Buy to Open,105.0,$9.51,2/12/10,,$931.50,105.0,
24,keepbusy_cross(SELL),Sell to Close,-105.0,$10.34,5/3/10,$87.34,$997.84,0.0,
25,keepbusy_cross(Buy),Buy to Open,111.0,$8.93,9/17/10,,$1021.15,111.0,
26,keepbusy_cross(SELL),Sell to Close,-111.0,$8.75,9/23/10,($20.06),$977.78,0.0,
27,keepbusy_cross(Buy),Buy to Open,67.0,$14.92,6/2/14,,$982.47,67.0,
28,keepbusy_cross(SELL),Sell to Close,-67.0,$14.97,7/18/14,$3.50,$981.28,0.0,
29,keepbusy_cross(Buy),Buy to Open,57.0,$17.25,7/14/17,,$995.53,57.0,
30,keepbusy_cross(SELL),Sell to Close,-57.0,$17.01,8/14/17,($13.78),$967.50,0.0,
31,keepbusy_cross(Buy),Buy to Open,41.0,$23.85,1/22/18,,$940.85,41.0,
32,keepbusy_cross(SELL),Sell to Close,-41.0,$21.14,2/6/18,($111.23),$856.27,0.0,
33,keepbusy_cross(Buy),Buy to Open,42.0,$23.46,3/8/24,,$846.19,42.0,
34,keepbusy_cross(SELL),Sell to Close,-42.0,$22.62,3/14/24,($35.44),$820.83,0.0,
