Symbol: WSC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,100.0,$9.95,1/20/17,,$3.00,100.0,
2,keepbusy_cross(SELL),Sell to Close,-100.0,$10.00,5/2/17,$5.00,$5.00,0.0,
3,keepbusy_cross(Buy),Buy to Open,68.0,$14.70,6/29/18,,$11.80,68.0,
4,keepbusy_cross(SELL),Sell to Close,-68.0,$16.81,10/15/18,$143.17,$148.17,0.0,
5,keepbusy_cross(Buy),Buy to Open,34.0,$28.98,4/5/21,,$152.08,34.0,
6,keepbusy_cross(SELL),Sell to Close,-34.0,$27.48,5/12/21,($51.17),$97.00,0.0,
7,keepbusy_cross(Buy),Buy to Open,31.0,$31.90,9/17/21,,$86.46,31.0,
8,keepbusy_cross(SELL),Sell to Close,-31.0,$38.00,1/11/22,$189.06,$286.06,0.0,
9,keepbusy_cross(Buy),Buy to Open,26.0,$38.24,12/2/24,,$285.28,26.0,
10,keepbusy_cross(SELL),Sell to Close,-26.0,$37.87,12/3/24,($9.70),$276.35,0.0,
