Symbol: XLE Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,40.0,$24.72,10/10/03,,$7.20,40.0,
2,keepbusy_cross(SELL),Sell to Close,-40.0,$24.23,10/24/03,($19.80),($19.80),0.0,
3,keepbusy_cross(Buy),Buy to Open,39.0,$25.35,12/5/03,,($12.78),39.0,
4,keepbusy_cross(SELL),Sell to Close,-39.0,$28.76,3/24/04,$132.94,$113.15,0.0,
5,keepbusy_cross(Buy),Buy to Open,16.0,$59.20,4/9/10,,$123.23,16.0,
6,keepbusy_cross(SELL),Sell to Close,-16.0,$57.85,5/6/10,($21.66),$91.49,0.0,
7,keepbusy_cross(Buy),Buy to Open,13.0,$73.52,1/11/13,,$92.66,13.0,
8,keepbusy_cross(SELL),Sell to Close,-13.0,$77.41,4/4/13,$50.58,$142.07,0.0,
9,keepbusy_cross(Buy),Buy to Open,11.0,$86.00,10/18/13,,$152.41,11.0,
10,keepbusy_cross(SELL),Sell to Close,-11.0,$85.64,12/12/13,($3.97),$138.10,0.0,
11,keepbusy_cross(Buy),Buy to Open,14.0,$71.02,10/7/16,,$132.36,14.0,
12,keepbusy_cross(SELL),Sell to Close,-14.0,$69.04,10/27/16,($27.72),$110.38,0.0,
13,keepbusy_cross(Buy),Buy to Open,18.0,$52.69,5/7/21,,$127.30,18.0,
14,keepbusy_cross(SELL),Sell to Close,-18.0,$52.47,7/8/21,($3.87),$106.51,0.0,
15,keepbusy_cross(Buy),Buy to Open,16.0,$60.51,1/7/22,,$119.79,16.0,
16,keepbusy_cross(SELL),Sell to Close,-16.0,$73.59,4/26/22,$209.36,$315.87,0.0,
17,keepbusy_cross(Buy),Buy to Open,11.0,$85.96,2/26/24,,$319.17,11.0,
18,keepbusy_cross(SELL),Sell to Close,-11.0,$92.51,5/16/24,$72.07,$387.94,0.0,
19,keepbusy_cross(Buy),Buy to Open,10.0,$93.13,11/8/24,,$394.14,10.0,
