Symbol: XOM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,34.0,$11.50,9/17/87,,($2.13),34.0,
2,FReversalSwing(BUY),Buy to Open,34.0,$11.44,9/18/87,,$2.13,68.0,
3,FReversalSwing(BUY),Buy to Open,34.0,$11.50,9/21/87,,$8.50,102.0,
4,FReversalSwing(SELL),Sell to Close,-102.0,$12.25,9/23/87,$78.63,$78.63,0.0,
5,FReversalSwing(BUY),Buy to Open,36.0,$11.06,9/28/88,,$80.88,36.0,
6,FReversalSwing(SELL),Sell to Close,-36.0,$11.03,10/4/88,($1.02),$77.61,0.0,
7,FReversalSwing(BUY),Buy to Open,33.0,$11.84,1/18/90,,$82.76,33.0,
8,FReversalSwing(BUY),Buy to Open,34.0,$11.75,1/23/90,,$76.61,67.0,
9,FReversalSwing(BUY),Buy to Open,34.0,$11.75,1/25/90,,$49.26,101.0,
10,FReversalSwing(SELL),Sell to Close,-101.0,$12.13,2/16/90,$34.78,$112.39,0.0,
11,FReversalSwing(BUY),Buy to Open,32.0,$12.22,8/27/90,,$118.39,32.0,
12,FReversalSwing(SELL),Sell to Close,-32.0,$12.91,9/18/90,$22.00,$134.39,0.0,
13,FReversalSwing(BUY),Buy to Open,32.0,$12.25,10/1/90,,$139.39,32.0,
14,FReversalSwing(BUY),Buy to Open,32.0,$12.19,10/11/90,,$122.39,64.0,
15,FReversalSwing(BUY),Buy to Open,32.0,$12.13,10/15/90,,$146.39,96.0,
16,FReversalSwing(SELL),Sell to Close,-96.0,$12.59,11/12/90,$39.00,$173.39,0.0,
17,FReversalSwing(BUY),Buy to Open,28.0,$14.06,5/15/91,,$174.26,28.0,
18,FReversalSwing(BUY),Buy to Open,28.0,$14.09,5/16/91,,$191.76,56.0,
19,FReversalSwing(SELL),Sell to Close,-56.0,$14.81,6/27/91,$41.13,$214.51,0.0,
20,FReversalSwing(BUY),Buy to Open,25.0,$15.53,10/7/92,,$212.95,25.0,
21,FReversalSwing(BUY),Buy to Open,25.0,$15.47,10/8/92,,$225.45,50.0,
22,FReversalSwing(BUY),Buy to Open,25.0,$15.41,10/12/92,,$207.48,75.0,
