Symbol: WFC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,268.0,$1.49,9/12/86,,($13.96),268.0,
2,FReversalSwing(BUY),Buy to Open,271.0,$1.47,9/18/86,,($4.19),539.0,
3,FReversalSwing(BUY),Buy to Open,271.0,$1.47,9/19/86,,$50.66,810.0,
4,FReversalSwing(SELL),Sell to Close,-810.0,$1.53,10/30/86,$42.22,$42.22,0.0,
5,FReversalSwing(BUY),Buy to Open,238.0,$1.68,8/4/87,,$48.42,238.0,
6,FReversalSwing(SELL),Sell to Close,-238.0,$1.86,8/11/87,$43.39,$85.61,0.0,
7,FReversalSwing(BUY),Buy to Open,195.0,$2.05,10/13/88,,$87.13,195.0,
8,FReversalSwing(BUY),Buy to Open,196.0,$2.04,10/19/88,,$77.98,391.0,
9,FReversalSwing(BUY),Buy to Open,197.0,$2.02,10/20/88,,$77.98,588.0,
10,FReversalSwing(SELL),Sell to Close,-588.0,$2.05,12/9/88,$10.74,$96.35,0.0,
11,FReversalSwing(BUY),Buy to Open,203.0,$1.96,12/22/88,,$99.53,203.0,
12,FReversalSwing(SELL),Sell to Close,-203.0,$2.05,1/9/89,$17.45,$113.80,0.0,
13,FReversalSwing(BUY),Buy to Open,153.0,$2.61,8/24/89,,$132.93,153.0,
14,FReversalSwing(SELL),Sell to Close,-153.0,$2.75,8/28/89,$21.51,$135.31,0.0,
15,FReversalSwing(BUY),Buy to Open,147.0,$2.72,10/31/89,,$135.31,147.0,
16,FReversalSwing(BUY),Buy to Open,147.0,$2.72,11/1/89,,$135.31,294.0,
17,FReversalSwing(BUY),Buy to Open,147.0,$2.72,11/2/89,,$107.75,441.0,
18,FReversalSwing(SELL),Sell to Close,-441.0,$2.80,12/4/89,$34.46,$169.77,0.0,
19,FReversalSwing(BUY),Buy to Open,153.0,$2.61,6/26/90,,$176.94,153.0,
20,FReversalSwing(SELL),Sell to Close,-153.0,$2.77,7/10/90,$23.91,$193.68,0.0,
21,FReversalSwing(BUY),Buy to Open,107.0,$3.73,11/21/91,,$202.04,107.0,
22,FReversalSwing(BUY),Buy to Open,105.0,$3.80,11/26/91,,$203.68,212.0,
23,FReversalSwing(BUY),Buy to Open,106.0,$3.75,12/2/91,,$200.36,318.0,
24,FReversalSwing(SELL),Sell to Close,-318.0,$4.03,12/11/91,$86.19,$279.86,0.0,
