Strategy report
Symbol: AAPL
Work Time: 7/22/88 - 11/26/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;1041.0;$0.38;7/22/88;;($4.65);1041.0;
2;FReversalSwing(BUY);Buy to Open;1054.0;$0.38;7/25/88;;$0.03;2095.0;
3;FReversalSwing(BUY);Buy to Open;1047.0;$0.38;7/26/88;;$0.03;3142.0;
4;FReversalSwing(SELL);Sell to Close;-3142.0;$0.40;8/2/88;$63.15;$63.15;0.0;
5;FReversalSwing(BUY);Buy to Open;1069.0;$0.37;8/11/88;;$76.27;1069.0;
6;FReversalSwing(SELL);Sell to Close;-1069.0;$0.36;8/16/88;($10.50);$52.65;0.0;
7;FReversalSwing(BUY);Buy to Open;1041.0;$0.38;6/21/89;;$48.00;1041.0;
8;FReversalSwing(BUY);Buy to Open;1054.0;$0.38;6/22/89;;$62.03;2095.0;
9;FReversalSwing(BUY);Buy to Open;1051.0;$0.38;6/28/89;;$25.76;3146.0;
10;FReversalSwing(SELL);Sell to Close;-3146.0;$0.37;6/30/89;($49.16);$3.49;0.0;
11;FReversalSwing(BUY);Buy to Open;1035.0;$0.39;11/6/89;;$3.49;1035.0;
12;FReversalSwing(BUY);Buy to Open;1035.0;$0.39;11/7/89;;$17.35;2070.0;
13;FReversalSwing(SELL);Sell to Close;-2070.0;$0.37;12/7/89;($28.13);($24.64);0.0;
14;FReversalSwing(BUY);Buy to Open;1047.0;$0.38;12/8/89;;($33.99);1047.0;
15;FReversalSwing(SELL);Sell to Close;-1047.0;$0.37;12/11/89;($9.46);($34.09);0.0;
16;FReversalSwing(BUY);Buy to Open;1092.0;$0.37;7/23/90;;($29.22);1092.0;
17;FReversalSwing(SELL);Sell to Close;-1092.0;$0.36;7/24/90;($2.79);($36.89);0.0;
18;FReversalSwing(BUY);Buy to Open;948.0;$0.42;5/2/91;;($22.07);948.0;
19;FReversalSwing(BUY);Buy to Open;914.0;$0.44;5/3/91;;($22.07);1862.0;
20;FReversalSwing(BUY);Buy to Open;914.0;$0.44;5/6/91;;$8.91;2776.0;
21;FReversalSwing(SELL);Sell to Close;-2776.0;$0.38;6/13/91;($131.04);($167.92);0.0;
22;FReversalSwing(BUY);Buy to Open;734.0;$0.54;3/30/92;;($186.76);734.0;
23;FReversalSwing(BUY);Buy to Open;770.0;$0.52;3/31/92;;($185.08);1504.0;
24;FReversalSwing(BUY);Buy to Open;769.0;$0.52;4/1/92;;($169.86);2273.0;
25;FReversalSwing(SELL);Sell to Close;-2273.0;$0.55;5/7/92;$53.87;($114.05);0.0;
26;FReversalSwing(BUY);Buy to Open;792.0;$0.50;2/9/93;;($111.40);792.0;
27;FReversalSwing(BUY);Buy to Open;787.0;$0.51;2/10/93;;($127.26);1579.0;
28;FReversalSwing(BUY);Buy to Open;803.0;$0.50;2/11/93;;($140.55);2382.0;
29;FReversalSwing(SELL);Sell to Close;-2382.0;$0.48;2/16/93;($50.71);($164.77);0.0;
30;FReversalSwing(BUY);Buy to Open;814.0;$0.49;2/22/93;;($163.86);814.0;
31;FReversalSwing(SELL);Sell to Close;-814.0;$0.48;2/24/93;($6.38);($171.15);0.0;
32;FReversalSwing(BUY);Buy to Open;1175.0;$0.34;11/22/94;;($179.02);1175.0;
33;FReversalSwing(BUY);Buy to Open;1198.0;$0.33;11/23/94;;($189.61);2373.0;
34;FReversalSwing(BUY);Buy to Open;1214.0;$0.33;11/25/94;;($161.59);3587.0;
