Strategy report
Symbol: ACN
Work Time: 1/14/04 - 12/20/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;17.0;$22.66;1/14/04;;$17.51;17.0;
2;FReversalSwing(BUY);Buy to Open;17.0;$23.12;2/3/04;;$11.90;34.0;
3;FReversalSwing(BUY);Buy to Open;17.0;$22.60;2/5/04;;($7.82);51.0;
4;FReversalSwing(SELL);Sell to Close;-51.0;$23.67;3/18/04;$44.71;$44.71;0.0;
5;FReversalSwing(BUY);Buy to Open;15.0;$25.16;7/23/04;;$40.96;15.0;
6;FReversalSwing(BUY);Buy to Open;16.0;$24.91;7/26/04;;$26.08;31.0;
7;FReversalSwing(BUY);Buy to Open;16.0;$24.60;7/28/04;;$15.37;47.0;
8;FReversalSwing(SELL);Sell to Close;-47.0;$25.43;8/19/04;$25.65;$70.36;0.0;
9;FReversalSwing(BUY);Buy to Open;15.0;$25.75;1/5/05;;$68.86;15.0;
10;FReversalSwing(BUY);Buy to Open;15.0;$25.65;1/6/05;;$61.96;30.0;
11;FReversalSwing(SELL);Sell to Close;-30.0;$26.96;1/11/05;$37.80;$108.16;0.0;
12;FReversalSwing(BUY);Buy to Open;12.0;$30.82;3/28/06;;$109.12;12.0;
13;FReversalSwing(BUY);Buy to Open;12.0;$30.90;3/29/06;;$66.16;24.0;
14;FReversalSwing(BUY);Buy to Open;13.0;$29.11;3/30/06;;$101.31;37.0;
15;FReversalSwing(SELL);Sell to Close;-37.0;$26.50;5/23/06;($138.57);($30.41);0.0;
16;FReversalSwing(BUY);Buy to Open;10.0;$36.80;2/28/07;;($40.61);10.0;
17;FReversalSwing(BUY);Buy to Open;11.0;$35.78;3/1/07;;($52.58);21.0;
18;FReversalSwing(BUY);Buy to Open;11.0;$35.21;3/2/07;;($35.30);32.0;
19;FReversalSwing(SELL);Sell to Close;-32.0;$37.59;3/29/07;$53.99;$23.58;0.0;
20;FReversalSwing(BUY);Buy to Open;10.0;$39.80;8/10/07;;$17.48;10.0;
21;FReversalSwing(BUY);Buy to Open;10.0;$39.19;8/13/07;;$35.48;20.0;
22;FReversalSwing(BUY);Buy to Open;10.0;$39.30;8/15/07;;$6.18;30.0;
23;FReversalSwing(SELL);Sell to Close;-30.0;$33.94;8/17/07;($164.66);($141.08);0.0;
24;FReversalSwing(BUY);Buy to Open;10.0;$38.80;8/20/07;;($133.08);10.0;
25;FReversalSwing(SELL);Sell to Close;-10.0;$41.36;9/5/07;$25.60;($115.48);0.0;
26;FReversalSwing(BUY);Buy to Open;10.0;$38.90;9/18/07;;($119.68);10.0;
27;FReversalSwing(SELL);Sell to Close;-10.0;$40.88;10/2/07;$19.80;($95.68);0.0;
28;FReversalSwing(BUY);Buy to Open;10.0;$39.24;8/26/08;;($91.38);10.0;
29;FReversalSwing(SELL);Sell to Close;-10.0;$41.36;8/29/08;$21.20;($74.48);0.0;
30;FReversalSwing(BUY);Buy to Open;10.0;$38.94;9/5/08;;($74.28);10.0;
31;FReversalSwing(BUY);Buy to Open;10.0;$38.96;9/8/08;;($59.68);20.0;
32;FReversalSwing(SELL);Sell to Close;-20.0;$38.33;9/10/08;($12.49);($86.97);0.0;
33;FReversalSwing(BUY);Buy to Open;9.0;$40.99;2/1/10;;($85.17);9.0;
34;FReversalSwing(BUY);Buy to Open;9.0;$40.61;2/5/10;;($91.65);18.0;
35;FReversalSwing(BUY);Buy to Open;9.0;$40.54;2/8/10;;($101.64);27.0;
36;FReversalSwing(SELL);Sell to Close;-27.0;$41.46;3/9/10;$20.16;($66.81);0.0;
37;FReversalSwing(BUY);Buy to Open;9.0;$40.32;5/10/10;;($60.24);9.0;
38;FReversalSwing(BUY);Buy to Open;9.0;$41.05;5/11/10;;($58.44);18.0;
39;FReversalSwing(BUY);Buy to Open;9.0;$41.15;5/12/10;;($50.07);27.0;
40;FReversalSwing(SELL);Sell to Close;-27.0;$40.55;6/28/10;($7.83);($74.64);0.0;
41;FReversalSwing(BUY);Buy to Open;9.0;$43.36;11/15/10;;($66.72);9.0;
42;FReversalSwing(SELL);Sell to Close;-9.0;$44.99;12/8/10;$14.67;($59.97);0.0;
43;FReversalSwing(BUY);Buy to Open;7.0;$50.02;3/16/11;;($67.25);7.0;
44;FReversalSwing(BUY);Buy to Open;8.0;$48.98;3/17/11;;($66.65);15.0;
45;FReversalSwing(BUY);Buy to Open;8.0;$49.02;3/18/11;;($38.36);23.0;
46;FReversalSwing(SELL);Sell to Close;-23.0;$51.96;3/25/11;$60.94;$0.97;0.0;
47;FReversalSwing(BUY);Buy to Open;7.0;$53.98;6/17/11;;$0.76;7.0;
48;FReversalSwing(BUY);Buy to Open;7.0;$53.95;6/20/11;;$0.90;14.0;
49;FReversalSwing(BUY);Buy to Open;7.0;$53.96;6/21/11;;$18.33;21.0;
50;FReversalSwing(SELL);Sell to Close;-21.0;$57.02;6/27/11;$64.19;$65.16;0.0;
51;FReversalSwing(BUY);Buy to Open;6.0;$58.01;8/3/11;;$74.70;6.0;
52;FReversalSwing(BUY);Buy to Open;7.0;$56.98;8/5/11;;$61.97;13.0;
53;FReversalSwing(BUY);Buy to Open;6.0;$57.21;8/8/11;;($14.98);19.0;
54;FReversalSwing(SELL);Sell to Close;-19.0;$55.02;9/19/11;($44.80);$20.36;0.0;
55;FReversalSwing(BUY);Buy to Open;6.0;$60.22;5/8/12;;$15.08;6.0;
56;FReversalSwing(BUY);Buy to Open;6.0;$59.34;5/9/12;;$13.64;12.0;
57;FReversalSwing(BUY);Buy to Open;6.0;$59.22;5/10/12;;$4.28;18.0;
58;FReversalSwing(SELL);Sell to Close;-18.0;$55.25;6/4/12;($78.27);($57.91);0.0;
59;FReversalSwing(BUY);Buy to Open;6.0;$65.05;11/15/12;;($60.67);6.0;
60;FReversalSwing(BUY);Buy to Open;6.0;$64.59;11/16/12;;($41.47);12.0;
61;FReversalSwing(SELL);Sell to Close;-12.0;$68.18;11/26/12;$40.32;($17.59);0.0;
62;FReversalSwing(BUY);Buy to Open;6.0;$66.29;12/27/12;;($18.01);6.0;
63;FReversalSwing(BUY);Buy to Open;6.0;$66.22;12/28/12;;($24.73);12.0;
64;FReversalSwing(BUY);Buy to Open;6.0;$65.66;12/31/12;;($9.61);18.0;
65;FReversalSwing(SELL);Sell to Close;-18.0;$69.78;1/10/13;$67.02;$49.43;0.0;
66;FReversalSwing(BUY);Buy to Open;5.0;$73.41;3/26/13;;$55.08;5.0;
67;FReversalSwing(SELL);Sell to Close;-5.0;$76.67;4/3/13;$16.30;$65.73;0.0;
68;FReversalSwing(BUY);Buy to Open;5.0;$73.64;7/8/13;;$69.88;5.0;
69;FReversalSwing(BUY);Buy to Open;5.0;$74.47;7/9/13;;$66.18;10.0;
70;FReversalSwing(BUY);Buy to Open;5.0;$74.10;7/10/13;;$69.93;15.0;
71;FReversalSwing(SELL);Sell to Close;-15.0;$74.74;9/11/13;$10.05;$75.78;0.0;
72;FReversalSwing(BUY);Buy to Open;5.0;$78.09;2/4/14;;$75.73;5.0;
73;FReversalSwing(BUY);Buy to Open;5.0;$78.08;2/5/14;;$70.63;10.0;
74;FReversalSwing(BUY);Buy to Open;5.0;$77.57;2/6/14;;$84.88;15.0;
75;FReversalSwing(SELL);Sell to Close;-15.0;$81.74;2/14/14;$57.40;$133.18;0.0;
76;FReversalSwing(BUY);Buy to Open;5.0;$78.80;3/28/14;;$133.23;5.0;
77;FReversalSwing(BUY);Buy to Open;5.0;$78.81;3/31/14;;$142.33;10.0;
78;FReversalSwing(BUY);Buy to Open;5.0;$79.72;4/1/14;;$139.63;15.0;
79;FReversalSwing(SELL);Sell to Close;-15.0;$80.10;5/28/14;$14.85;$148.03;0.0;
80;FReversalSwing(BUY);Buy to Open;5.0;$79.77;7/11/14;;$148.03;5.0;
81;FReversalSwing(BUY);Buy to Open;5.0;$79.77;7/14/14;;$144.93;10.0;
82;FReversalSwing(BUY);Buy to Open;5.0;$79.46;7/15/14;;$143.43;15.0;
83;FReversalSwing(SELL);Sell to Close;-15.0;$77.26;8/7/14;($36.10);$111.93;0.0;
84;FReversalSwing(BUY);Buy to Open;4.0;$81.90;12/15/14;;$111.85;4.0;
85;FReversalSwing(BUY);Buy to Open;4.0;$81.88;12/16/14;;$119.77;8.0;
86;FReversalSwing(SELL);Sell to Close;-8.0;$85.30;12/18/14;$27.28;$139.21;0.0;
87;FReversalSwing(BUY);Buy to Open;4.0;$84.36;1/29/15;;$144.33;4.0;
88;FReversalSwing(BUY);Buy to Open;4.0;$84.03;2/2/15;;$152.29;8.0;
89;FReversalSwing(SELL);Sell to Close;-8.0;$89.09;2/13/15;$39.16;$178.37;0.0;
90;FReversalSwing(BUY);Buy to Open;4.0;$86.86;3/12/15;;$183.73;4.0;
91;FReversalSwing(SELL);Sell to Close;-4.0;$90.93;3/19/15;$16.28;$194.65;0.0;
92;FReversalSwing(BUY);Buy to Open;4.0;$97.13;8/24/15;;$176.81;4.0;
93;FReversalSwing(BUY);Buy to Open;4.0;$95.04;8/27/15;;$191.81;8.0;
94;FReversalSwing(BUY);Buy to Open;4.0;$95.73;8/28/15;;$193.25;12.0;
95;FReversalSwing(SELL);Sell to Close;-12.0;$99.39;10/5/15;$41.08;$235.73;0.0;
96;FReversalSwing(BUY);Buy to Open;3.0;$101.93;12/21/15;;$238.91;3.0;
97;FReversalSwing(BUY);Buy to Open;3.0;$101.83;1/5/16;;$238.61;6.0;
98;FReversalSwing(SELL);Sell to Close;-6.0;$105.54;2/1/16;$21.96;$257.69;0.0;
99;FReversalSwing(BUY);Buy to Open;3.0;$111.45;6/27/16;;$251.21;3.0;
100;FReversalSwing(BUY);Buy to Open;3.0;$109.29;6/28/16;;$258.83;6.0;
101;FReversalSwing(BUY);Buy to Open;3.0;$110.56;6/29/16;;$269.63;9.0;
102;FReversalSwing(SELL);Sell to Close;-9.0;$116.83;7/14/16;$57.57;$315.26;0.0;
103;FReversalSwing(BUY);Buy to Open;3.0;$112.30;9/9/16;;$309.53;3.0;
104;FReversalSwing(BUY);Buy to Open;3.0;$110.39;9/12/16;;$323.75;6.0;
105;FReversalSwing(BUY);Buy to Open;3.0;$110.53;9/14/16;;$303.80;9.0;
106;FReversalSwing(SELL);Sell to Close;-9.0;$116.13;9/28/16;$45.51;$360.77;0.0;
107;FReversalSwing(BUY);Buy to Open;3.0;$116.61;12/29/16;;$361.97;3.0;
108;FReversalSwing(BUY);Buy to Open;3.0;$116.46;1/4/17;;$362.00;6.0;
109;FReversalSwing(SELL);Sell to Close;-6.0;$117.60;2/13/17;$6.39;$367.16;0.0;
110;FReversalSwing(BUY);Buy to Open;3.0;$118.98;3/27/17;;$368.39;3.0;
111;FReversalSwing(BUY);Buy to Open;3.0;$117.64;4/4/17;;$365.54;6.0;
112;FReversalSwing(BUY);Buy to Open;3.0;$118.04;4/5/17;;$361.94;9.0;
113;FReversalSwing(SELL);Sell to Close;-9.0;$120.49;4/28/17;$20.43;$387.59;0.0;
114;FReversalSwing(BUY);Buy to Open;3.0;$122.08;6/23/17;;$389.57;3.0;
115;FReversalSwing(BUY);Buy to Open;3.0;$122.19;6/28/17;;$397.22;6.0;
116;FReversalSwing(SELL);Sell to Close;-6.0;$125.47;7/13/17;$20.01;$407.60;0.0;
117;FReversalSwing(BUY);Buy to Open;2.0;$151.83;2/6/18;;$413.32;2.0;
118;FReversalSwing(BUY);Buy to Open;2.0;$150.51;2/9/18;;$418.28;4.0;
