Strategy report
Symbol: AGM
Work Time: 6/26/98 - 11/8/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;45.0;$22.16;6/26/98;;$22.50;45.0;
2;keepbusy_cross(SELL);Sell to Close;-45.0;$19.58;7/1/98;($116.27);($116.27);0.0;
3;keepbusy_cross(Buy);Buy to Open;32.0;$30.91;12/12/03;;($106.67);32.0;
4;keepbusy_cross(SELL);Sell to Close;-32.0;$30.04;1/13/04;($27.86);($144.13);0.0;
5;keepbusy_cross(Buy);Buy to Open;36.0;$27.21;3/28/08;;($195.61);36.0;
6;keepbusy_cross(SELL);Sell to Close;-36.0;$26.35;3/31/08;($30.86);($174.99);0.0;
7;keepbusy_cross(Buy);Buy to Open;33.0;$29.70;7/25/08;;($139.68);33.0;
8;keepbusy_cross(SELL);Sell to Close;-33.0;$28.25;8/4/08;($47.88);($222.87);0.0;
9;keepbusy_cross(Buy);Buy to Open;32.0;$31.18;2/22/16;;($153.43);32.0;
10;keepbusy_cross(SELL);Sell to Close;-32.0;$36.92;5/13/16;$183.69;($39.19);0.0;
11;keepbusy_cross(Buy);Buy to Open;21.0;$47.20;11/11/16;;($10.63);21.0;
12;keepbusy_cross(SELL);Sell to Close;-21.0;$55.90;2/9/17;$182.68;$143.49;0.0;
13;keepbusy_cross(Buy);Buy to Open;12.0;$78.67;12/22/17;;$162.69;12.0;
14;keepbusy_cross(SELL);Sell to Close;-12.0;$74.73;2/6/18;($47.29);$96.20;0.0;
15;keepbusy_cross(Buy);Buy to Open;12.0;$82.45;2/26/18;;$93.08;12.0;
16;keepbusy_cross(SELL);Sell to Close;-12.0;$76.11;3/1/18;($76.06);$20.14;0.0;
17;keepbusy_cross(Buy);Buy to Open;11.0;$90.43;3/9/18;;($35.63);11.0;
18;keepbusy_cross(SELL);Sell to Close;-11.0;$83.80;5/2/18;($72.96);($52.83);0.0;
19;keepbusy_cross(Buy);Buy to Open;6.0;$150.45;6/9/23;;($51.99);6.0;
20;keepbusy_cross(SELL);Sell to Close;-6.0;$137.78;7/7/23;($76.04);($128.86);0.0;
21;keepbusy_cross(Buy);Buy to Open;5.0;$195.47;8/30/24;;($118.86);5.0;
22;keepbusy_cross(SELL);Sell to Close;-5.0;$189.03;9/5/24;($32.18);($161.04);0.0;
23;keepbusy_cross(Buy);Buy to Open;4.0;$209.13;11/8/24;;($166.64);4.0;


Max trade P/L: $183.69;

Total P/L: ($161.04);

Total order(s): 11;
