Strategy report
Symbol: AVGO
Work Time: 4/20/12 - 5/18/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;112.0;$3.57;4/20/12;;($16.02);112.0;
2;FReversalSwing(BUY);Buy to Open;116.0;$3.43;4/23/12;;($39.96);228.0;
3;FReversalSwing(SELL);Sell to Close;-228.0;$3.19;5/7/12;($69.93);($69.93);0.0;
4;FReversalSwing(BUY);Buy to Open;30.0;$13.33;1/7/16;;($82.65);30.0;
5;FReversalSwing(BUY);Buy to Open;30.0;$12.99;1/13/16;;($119.70);60.0;
6;FReversalSwing(SELL);Sell to Close;-60.0;$13.37;2/1/16;$12.63;($57.30);0.0;
7;FReversalSwing(BUY);Buy to Open;27.0;$14.58;5/2/16;;($56.41);27.0;
8;FReversalSwing(BUY);Buy to Open;27.0;$14.32;5/4/16;;($70.29);54.0;
9;FReversalSwing(BUY);Buy to Open;28.0;$14.21;5/5/16;;($66.10);82.0;
10;FReversalSwing(SELL);Sell to Close;-82.0;$15.14;5/25/16;$63.68;$6.38;0.0;
11;FReversalSwing(BUY);Buy to Open;26.0;$14.87;6/27/16;;($6.85);26.0;
12;FReversalSwing(BUY);Buy to Open;27.0;$14.36;6/28/16;;$25.69;53.0;
13;FReversalSwing(SELL);Sell to Close;-53.0;$15.74;7/12/16;$59.54;$65.92;0.0;
14;FReversalSwing(BUY);Buy to Open;24.0;$16.08;9/12/16;;$74.80;24.0;
15;FReversalSwing(BUY);Buy to Open;24.0;$16.45;9/13/16;;$78.45;48.0;
16;FReversalSwing(SELL);Sell to Close;-48.0;$17.25;9/30/16;$47.18;$113.10;0.0;
17;FReversalSwing(BUY);Buy to Open;24.0;$16.38;11/15/16;;$119.51;24.0;
18;FReversalSwing(SELL);Sell to Close;-24.0;$17.70;11/23/16;$31.78;$144.88;0.0;
19;FReversalSwing(BUY);Buy to Open;24.0;$16.28;12/2/16;;$148.31;24.0;
20;FReversalSwing(BUY);Buy to Open;24.0;$16.42;12/5/16;;$157.48;48.0;
21;FReversalSwing(SELL);Sell to Close;-48.0;$17.91;12/12/16;$74.81;$219.69;0.0;
22;FReversalSwing(BUY);Buy to Open;16.0;$23.92;9/25/17;;$213.72;16.0;
23;FReversalSwing(BUY);Buy to Open;16.0;$23.55;9/26/17;;$219.35;32.0;
24;FReversalSwing(BUY);Buy to Open;16.0;$23.73;9/27/17;;$235.24;48.0;
25;FReversalSwing(SELL);Sell to Close;-48.0;$25.04;10/12/17;$62.69;$282.38;0.0;
26;FReversalSwing(BUY);Buy to Open;15.0;$25.08;1/29/18;;$274.40;15.0;
27;FReversalSwing(SELL);Sell to Close;-15.0;$26.28;3/13/18;$18.07;$300.45;0.0;
28;FReversalSwing(BUY);Buy to Open;13.0;$29.34;5/14/19;;$311.66;13.0;
29;FReversalSwing(BUY);Buy to Open;13.0;$28.99;5/20/19;;$250.93;26.0;
30;FReversalSwing(BUY);Buy to Open;14.0;$27.26;5/21/19;;$261.89;40.0;
31;FReversalSwing(SELL);Sell to Close;-40.0;$25.34;5/29/19;($126.14);$174.31;0.0;
32;FReversalSwing(BUY);Buy to Open;15.0;$26.57;6/5/19;;$174.34;15.0;
33;FReversalSwing(BUY);Buy to Open;15.0;$26.57;6/6/19;;$195.55;30.0;
34;FReversalSwing(SELL);Sell to Close;-30.0;$28.57;6/28/19;$60.00;$234.31;0.0;
35;FReversalSwing(BUY);Buy to Open;13.0;$29.92;1/13/20;;$236.86;13.0;
36;FReversalSwing(BUY);Buy to Open;13.0;$30.12;1/14/20;;$255.06;26.0;
37;FReversalSwing(SELL);Sell to Close;-26.0;$31.97;1/24/20;$50.57;$284.88;0.0;
38;FReversalSwing(BUY);Buy to Open;11.0;$34.72;10/29/20;;$293.46;11.0;
39;FReversalSwing(BUY);Buy to Open;11.0;$34.96;11/2/20;;$291.11;22.0;
40;FReversalSwing(SELL);Sell to Close;-22.0;$38.09;11/6/20;$71.39;$356.27;0.0;
41;FReversalSwing(BUY);Buy to Open;9.0;$43.61;5/11/21;;$359.84;9.0;
42;FReversalSwing(BUY);Buy to Open;9.0;$42.24;5/13/21;;$358.72;18.0;
43;FReversalSwing(BUY);Buy to Open;9.0;$43.06;5/14/21;;$388.47;27.0;
44;FReversalSwing(SELL);Sell to Close;-27.0;$46.77;5/28/21;$102.56;$458.83;0.0;
45;FReversalSwing(BUY);Buy to Open;8.0;$46.90;8/19/21;;$462.48;8.0;
46;FReversalSwing(SELL);Sell to Close;-8.0;$48.57;8/27/21;$13.42;$472.25;0.0;
47;FReversalSwing(BUY);Buy to Open;8.0;$47.60;10/5/21;;$479.83;8.0;
48;FReversalSwing(SELL);Sell to Close;-8.0;$50.33;10/18/21;$21.84;$494.09;0.0;
49;FReversalSwing(BUY);Buy to Open;7.0;$56.40;1/20/22;;$482.72;7.0;
50;FReversalSwing(BUY);Buy to Open;7.0;$54.77;1/21/22;;$462.43;14.0;
51;FReversalSwing(BUY);Buy to Open;7.0;$53.32;1/24/22;;$479.96;21.0;
52;FReversalSwing(SELL);Sell to Close;-21.0;$61.13;2/10/22;$132.37;$626.46;0.0;
53;FReversalSwing(BUY);Buy to Open;6.0;$57.39;4/18/22;;$634.05;6.0;
54;FReversalSwing(BUY);Buy to Open;7.0;$56.01;4/27/22;;$617.50;13.0;
55;FReversalSwing(BUY);Buy to Open;7.0;$55.95;4/28/22;;$656.30;20.0;
56;FReversalSwing(SELL);Sell to Close;-20.0;$60.82;5/18/22;$88.26;$714.72;0.0;


Max trade P/L: $132.37;

Total P/L: $714.72;

Total order(s): 18;
