Strategy report
Symbol: BIO
Work Time: 5/8/92 - 2/26/20


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;151.0;$6.58;5/8/92;;$6.29;151.0;
2;keepbusy_cross(SELL);Sell to Close;-151.0;$6.26;6/22/92;($48.70);($48.70);0.0;
3;keepbusy_cross(Buy);Buy to Open;98.0;$10.13;5/5/95;;($52.78);98.0;
4;keepbusy_cross(SELL);Sell to Close;-98.0;$12.98;10/10/95;$280.13;$231.43;0.0;
5;keepbusy_cross(Buy);Buy to Open;81.0;$12.30;10/6/00;;$273.96;81.0;
6;keepbusy_cross(SELL);Sell to Close;-81.0;$15.18;1/16/01;$233.66;$465.09;0.0;
7;keepbusy_cross(Buy);Buy to Open;18.0;$53.64;11/5/04;;$441.51;18.0;
8;keepbusy_cross(SELL);Sell to Close;-18.0;$52.00;11/8/04;($29.52);$435.57;0.0;
9;keepbusy_cross(Buy);Buy to Open;11.0;$89.50;8/1/08;;$449.98;11.0;
10;keepbusy_cross(SELL);Sell to Close;-11.0;$93.79;9/19/08;$47.24;$482.81;0.0;
11;keepbusy_cross(Buy);Buy to Open;11.0;$90.51;10/1/10;;$491.28;11.0;
12;keepbusy_cross(SELL);Sell to Close;-11.0;$120.77;5/24/11;$332.89;$815.70;0.0;
13;keepbusy_cross(Buy);Buy to Open;8.0;$122.26;10/18/13;;$815.46;8.0;
14;keepbusy_cross(SELL);Sell to Close;-8.0;$120.15;12/3/13;($16.87);$798.83;0.0;
15;keepbusy_cross(Buy);Buy to Open;2.0;$379.34;2/14/20;;$847.41;2.0;
16;keepbusy_cross(SELL);Sell to Close;-2.0;$373.70;2/26/20;($11.27);$787.55;0.0;


Max trade P/L: $332.89;

Total P/L: $787.55;

Total order(s): 8;
