Strategy report
Symbol: BLK
Work Time: 1/14/05 - 11/4/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;12.0;$80.25;1/14/05;;$7.92;12.0;
2;keepbusy_cross(SELL);Sell to Close;-12.0;$77.93;2/17/05;($27.85);($27.85);0.0;
3;keepbusy_cross(Buy);Buy to Open;12.0;$80.45;7/1/05;;($18.85);12.0;
4;keepbusy_cross(SELL);Sell to Close;-12.0;$82.13;9/1/05;$20.17;($7.68);0.0;
5;keepbusy_cross(Buy);Buy to Open;6.0;$151.90;1/3/07;;$11.64;6.0;
6;keepbusy_cross(SELL);Sell to Close;-6.0;$161.52;2/28/07;$57.73;$50.05;0.0;
7;keepbusy_cross(Buy);Buy to Open;5.0;$166.76;9/21/07;;$66.65;5.0;
8;keepbusy_cross(SELL);Sell to Close;-5.0;$200.89;1/10/08;$170.64;$220.69;0.0;
9;keepbusy_cross(Buy);Buy to Open;4.0;$220.40;2/1/08;;$221.29;4.0;
10;keepbusy_cross(SELL);Sell to Close;-4.0;$206.00;2/7/08;($57.59);$163.10;0.0;
11;keepbusy_cross(Buy);Buy to Open;3.0;$298.51;10/18/13;;$172.55;3.0;
12;keepbusy_cross(SELL);Sell to Close;-3.0;$292.55;12/12/13;($17.88);$145.22;0.0;
13;keepbusy_cross(Buy);Buy to Open;3.0;$326.29;8/22/14;;$144.35;3.0;
14;keepbusy_cross(SELL);Sell to Close;-3.0;$321.35;9/26/14;($14.81);$130.41;0.0;
15;keepbusy_cross(Buy);Buy to Open;3.0;$333.23;10/31/14;;$154.05;3.0;
16;keepbusy_cross(SELL);Sell to Close;-3.0;$336.76;12/17/14;$10.59;$141.00;0.0;
17;keepbusy_cross(Buy);Buy to Open;2.0;$391.97;2/17/17;;$134.58;2.0;
18;keepbusy_cross(SELL);Sell to Close;-2.0;$384.54;3/8/17;($14.86);$126.14;0.0;
19;keepbusy_cross(Buy);Buy to Open;2.0;$406.36;5/26/17;;$127.46;2.0;
20;keepbusy_cross(SELL);Sell to Close;-2.0;$423.55;8/18/17;$34.37;$160.51;0.0;
21;keepbusy_cross(Buy);Buy to Open;1.0;$648.98;10/28/22;;$175.28;1.0;
22;keepbusy_cross(SELL);Sell to Close;-1.0;$626.44;11/4/22;($22.54);$137.97;0.0;


Max trade P/L: $170.64;

Total P/L: $137.97;

Total order(s): 11;
