Strategy report
Symbol: BRK/B
Work Time: 8/31/98 - 12/17/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;9.0;$42.56;8/31/98;;($21.60);9.0;
2;FReversalSwing(BUY);Buy to Open;9.0;$42.60;9/3/98;;($37.44);18.0;
3;FReversalSwing(SELL);Sell to Close;-18.0;$43.44;10/15/98;$15.48;$15.48;0.0;
4;FReversalSwing(BUY);Buy to Open;8.0;$46.94;5/18/99;;$19.80;8.0;
5;FReversalSwing(BUY);Buy to Open;8.0;$47.00;5/27/99;;$6.04;16.0;
6;FReversalSwing(BUY);Buy to Open;8.0;$46.38;5/28/99;;$5.56;24.0;
7;FReversalSwing(SELL);Sell to Close;-24.0;$44.48;7/26/99;($55.12);($39.64);0.0;
8;FReversalSwing(BUY);Buy to Open;9.0;$43.84;3/15/01;;($27.58);9.0;
9;FReversalSwing(BUY);Buy to Open;9.0;$43.24;3/19/01;;($45.40);18.0;
10;FReversalSwing(BUY);Buy to Open;9.0;$43.22;3/20/01;;($51.34);27.0;
11;FReversalSwing(SELL);Sell to Close;-27.0;$45.34;4/19/01;$51.48;$11.84;0.0;
12;FReversalSwing(BUY);Buy to Open;9.0;$43.76;6/18/01;;$15.80;9.0;
13;FReversalSwing(BUY);Buy to Open;9.0;$43.90;6/20/01;;$10.94;18.0;
14;FReversalSwing(BUY);Buy to Open;9.0;$43.78;6/21/01;;($9.58);27.0;
15;FReversalSwing(SELL);Sell to Close;-27.0;$46.00;7/2/01;$59.04;$70.88;0.0;
16;FReversalSwing(BUY);Buy to Open;8.0;$46.60;10/31/01;;$74.72;8.0;
17;FReversalSwing(SELL);Sell to Close;-8.0;$46.84;12/18/01;$1.92;$72.80;0.0;
18;FReversalSwing(BUY);Buy to Open;8.0;$47.00;3/7/02;;$69.28;8.0;
19;FReversalSwing(SELL);Sell to Close;-8.0;$49.08;3/19/02;$16.64;$89.44;0.0;
20;FReversalSwing(BUY);Buy to Open;8.0;$47.20;4/2/02;;$96.96;8.0;
21;FReversalSwing(SELL);Sell to Close;-8.0;$48.66;5/1/02;$11.68;$101.12;0.0;
22;FReversalSwing(BUY);Buy to Open;8.0;$48.20;6/12/02;;$104.64;8.0;
23;FReversalSwing(SELL);Sell to Close;-8.0;$46.51;6/25/02;($13.54);$87.57;0.0;
24;FReversalSwing(BUY);Buy to Open;8.0;$48.00;7/8/03;;$82.93;8.0;
25;FReversalSwing(SELL);Sell to Close;-8.0;$47.52;7/9/03;($3.84);$83.74;0.0;
26;FReversalSwing(BUY);Buy to Open;6.0;$57.80;5/11/04;;$88.78;6.0;
27;FReversalSwing(BUY);Buy to Open;6.0;$58.64;5/12/04;;$78.70;12.0;
28;FReversalSwing(BUY);Buy to Open;6.0;$57.80;5/13/04;;$64.66;18.0;
29;FReversalSwing(SELL);Sell to Close;-18.0;$59.76;7/2/04;$30.24;$113.98;0.0;
30;FReversalSwing(BUY);Buy to Open;6.0;$58.38;3/21/05;;$111.82;6.0;
31;FReversalSwing(SELL);Sell to Close;-6.0;$57.43;3/23/05;($5.70);$108.27;0.0;
32;FReversalSwing(BUY);Buy to Open;6.0;$58.30;2/2/06;;$107.31;6.0;
33;FReversalSwing(BUY);Buy to Open;6.0;$58.14;2/3/06;;$103.71;12.0;
34;FReversalSwing(BUY);Buy to Open;6.0;$57.84;2/6/06;;$101.19;18.0;
35;FReversalSwing(SELL);Sell to Close;-18.0;$57.28;2/8/06;($14.58);$93.70;0.0;
36;FReversalSwing(BUY);Buy to Open;6.0;$57.84;2/9/06;;$93.58;6.0;
37;FReversalSwing(BUY);Buy to Open;6.0;$57.82;2/10/06;;$94.78;12.0;
38;FReversalSwing(BUY);Buy to Open;6.0;$57.92;2/13/06;;$102.34;18.0;
39;FReversalSwing(SELL);Sell to Close;-18.0;$57.20;2/23/06;($11.88);$81.82;0.0;
40;FReversalSwing(BUY);Buy to Open;6.0;$57.62;2/24/06;;$81.58;6.0;
41;FReversalSwing(BUY);Buy to Open;6.0;$57.58;2/27/06;;$85.90;12.0;
42;FReversalSwing(SELL);Sell to Close;-12.0;$57.23;3/1/06;($4.47);$77.35;0.0;
43;FReversalSwing(BUY);Buy to Open;6.0;$58.40;4/12/06;;$74.95;6.0;
44;FReversalSwing(BUY);Buy to Open;6.0;$58.00;4/13/06;;$73.27;12.0;
45;FReversalSwing(BUY);Buy to Open;6.0;$57.86;4/17/06;;$64.27;18.0;
46;FReversalSwing(SELL);Sell to Close;-18.0;$57.39;4/18/06;($12.59);$64.76;0.0;
47;FReversalSwing(BUY);Buy to Open;6.0;$57.66;4/26/06;;$71.00;6.0;
48;FReversalSwing(SELL);Sell to Close;-6.0;$59.04;5/1/06;$8.28;$73.04;0.0;
49;FReversalSwing(BUY);Buy to Open;6.0;$59.80;7/6/06;;$75.08;6.0;
50;FReversalSwing(SELL);Sell to Close;-6.0;$60.94;8/1/06;$6.84;$79.88;0.0;
51;FReversalSwing(BUY);Buy to Open;6.0;$62.40;9/25/06;;$80.24;6.0;
52;FReversalSwing(BUY);Buy to Open;6.0;$62.46;9/26/06;;$87.68;12.0;
53;FReversalSwing(SELL);Sell to Close;-12.0;$64.80;10/4/06;$28.44;$108.32;0.0;
54;FReversalSwing(BUY);Buy to Open;5.0;$70.91;1/29/07;;$114.46;5.0;
55;FReversalSwing(SELL);Sell to Close;-5.0;$73.35;2/1/07;$12.18;$120.50;0.0;
56;FReversalSwing(BUY);Buy to Open;5.0;$71.20;2/16/07;;$126.50;5.0;
57;FReversalSwing(BUY);Buy to Open;5.0;$69.58;2/28/07;;$121.20;10.0;
58;FReversalSwing(SELL);Sell to Close;-10.0;$72.66;3/9/07;$22.70;$143.20;0.0;
59;FReversalSwing(BUY);Buy to Open;5.0;$71.56;6/25/07;;$140.72;5.0;
60;FReversalSwing(BUY);Buy to Open;5.0;$71.06;6/26/07;;$138.20;10.0;
61;FReversalSwing(BUY);Buy to Open;5.0;$71.19;6/28/07;;$151.71;15.0;
62;FReversalSwing(SELL);Sell to Close;-15.0;$72.74;7/5/07;$21.95;$165.15;0.0;
63;FReversalSwing(BUY);Buy to Open;4.0;$89.56;12/20/07;;$162.19;4.0;
