Strategy report
Symbol: BRKR
Work Time: 3/31/06 - 9/20/21


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;191.0;$5.23;3/31/06;;$32.47;191.0;
2;keepbusy_cross(SELL);Sell to Close;-191.0;$4.87;4/12/06;($68.11);($68.11);0.0;
3;keepbusy_cross(Buy);Buy to Open;77.0;$12.87;2/29/08;;($6.51);77.0;
4;keepbusy_cross(SELL);Sell to Close;-77.0;$12.69;4/23/08;($13.62);($81.73);0.0;
5;keepbusy_cross(Buy);Buy to Open;71.0;$14.05;8/8/08;;($52.62);71.0;
6;keepbusy_cross(SELL);Sell to Close;-71.0;$13.91;9/18/08;($10.03);($91.77);0.0;
7;keepbusy_cross(Buy);Buy to Open;68.0;$14.68;3/26/10;;($90.41);68.0;
8;keepbusy_cross(SELL);Sell to Close;-68.0;$14.20;5/6/10;($32.46);($124.23);0.0;
9;keepbusy_cross(Buy);Buy to Open;74.0;$13.47;9/13/10;;($101.29);74.0;
10;keepbusy_cross(SELL);Sell to Close;-74.0;$19.08;4/19/11;$414.94;$290.72;0.0;
11;keepbusy_cross(Buy);Buy to Open;68.0;$14.50;11/6/12;;$291.40;68.0;
12;keepbusy_cross(SELL);Sell to Close;-68.0;$17.99;4/22/13;$237.35;$528.07;0.0;
13;keepbusy_cross(Buy);Buy to Open;47.0;$21.06;2/7/14;;$534.65;47.0;
14;keepbusy_cross(SELL);Sell to Close;-47.0;$22.12;4/8/14;$49.91;$577.97;0.0;
15;keepbusy_cross(Buy);Buy to Open;32.0;$30.52;10/6/17;;$574.45;32.0;
16;keepbusy_cross(SELL);Sell to Close;-32.0;$34.51;2/6/18;$127.70;$705.67;0.0;
17;keepbusy_cross(Buy);Buy to Open;13.0;$73.08;6/11/21;;$711.39;13.0;
18;keepbusy_cross(SELL);Sell to Close;-13.0;$82.71;9/20/21;$125.18;$830.85;0.0;


Max trade P/L: $414.94;

Total P/L: $830.85;

Total order(s): 9;
