Strategy report
Symbol: CDNS
Work Time: 1/13/95 - 4/16/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;203.0;$4.92;1/13/95;;$5.64;203.0;
2;keepbusy_cross(SELL);Sell to Close;-203.0;$6.31;6/1/95;$282.72;$282.72;0.0;
3;keepbusy_cross(Buy);Buy to Open;114.0;$8.75;9/11/95;;$289.06;114.0;
4;keepbusy_cross(SELL);Sell to Close;-114.0;$8.33;10/5/95;($48.40);$234.32;0.0;
5;keepbusy_cross(Buy);Buy to Open;53.0;$18.78;7/7/97;;$259.17;53.0;
6;keepbusy_cross(SELL);Sell to Close;-53.0;$25.23;10/23/97;$341.63;$575.95;0.0;
7;keepbusy_cross(Buy);Buy to Open;43.0;$22.81;3/17/00;;$584.01;43.0;
8;keepbusy_cross(SELL);Sell to Close;-43.0;$21.55;3/22/00;($54.47);$521.48;0.0;
9;keepbusy_cross(Buy);Buy to Open;37.0;$26.81;12/8/00;;$565.42;37.0;
10;keepbusy_cross(SELL);Sell to Close;-37.0;$25.03;12/18/00;($65.87);$455.62;0.0;
11;keepbusy_cross(Buy);Buy to Open;36.0;$27.50;1/2/01;;$361.12;36.0;
12;keepbusy_cross(SELL);Sell to Close;-36.0;$25.09;1/3/01;($86.85);$368.77;0.0;
13;keepbusy_cross(Buy);Buy to Open;33.0;$29.63;1/12/01;;$356.39;33.0;
14;keepbusy_cross(SELL);Sell to Close;-33.0;$26.85;2/8/01;($91.70);$277.06;0.0;
15;keepbusy_cross(Buy);Buy to Open;44.0;$22.35;7/27/01;;$301.26;44.0;
16;keepbusy_cross(SELL);Sell to Close;-44.0;$20.75;8/24/01;($70.40);$206.66;0.0;
17;keepbusy_cross(Buy);Buy to Open;42.0;$23.70;2/1/02;;$224.30;42.0;
18;keepbusy_cross(SELL);Sell to Close;-42.0;$22.80;2/8/02;($38.00);$168.66;0.0;
19;keepbusy_cross(Buy);Buy to Open;43.0;$22.75;3/8/02;;$218.54;43.0;
20;keepbusy_cross(SELL);Sell to Close;-43.0;$22.64;3/15/02;($4.59);$164.07;0.0;
21;keepbusy_cross(Buy);Buy to Open;68.0;$14.67;10/17/03;;$154.55;68.0;
22;keepbusy_cross(SELL);Sell to Close;-68.0;$16.12;1/30/04;$98.42;$262.50;0.0;
23;keepbusy_cross(Buy);Buy to Open;61.0;$16.36;11/11/05;;$271.04;61.0;
24;keepbusy_cross(SELL);Sell to Close;-61.0;$16.79;1/4/06;$26.52;$289.02;0.0;
25;keepbusy_cross(Buy);Buy to Open;49.0;$20.06;2/2/07;;$289.02;49.0;
26;keepbusy_cross(SELL);Sell to Close;-49.0;$21.47;5/17/07;$69.03;$358.05;0.0;
27;keepbusy_cross(Buy);Buy to Open;43.0;$22.90;6/4/07;;$414.81;43.0;
28;keepbusy_cross(SELL);Sell to Close;-43.0;$22.09;6/19/07;($34.83);$323.22;0.0;
29;keepbusy_cross(Buy);Buy to Open;105.0;$9.45;2/4/11;;$327.42;105.0;
30;keepbusy_cross(SELL);Sell to Close;-105.0;$9.06;4/13/11;($40.71);$282.51;0.0;
31;keepbusy_cross(Buy);Buy to Open;100.0;$9.99;10/14/11;;$295.51;100.0;
32;keepbusy_cross(SELL);Sell to Close;-100.0;$9.69;10/21/11;($30.19);$252.32;0.0;
33;keepbusy_cross(Buy);Buy to Open;85.0;$11.71;7/20/12;;$240.00;85.0;
34;keepbusy_cross(SELL);Sell to Close;-85.0;$11.22;7/24/12;($41.54);$210.78;0.0;
35;keepbusy_cross(Buy);Buy to Open;64.0;$15.51;5/2/14;;$213.34;64.0;
36;keepbusy_cross(SELL);Sell to Close;-64.0;$16.26;7/23/14;$48.00;$258.78;0.0;
37;keepbusy_cross(Buy);Buy to Open;52.0;$19.22;4/24/15;;$246.82;52.0;
38;keepbusy_cross(SELL);Sell to Close;-52.0;$18.48;5/7/15;($38.23);$220.55;0.0;
39;keepbusy_cross(Buy);Buy to Open;47.0;$20.93;7/31/15;;$222.43;47.0;
40;keepbusy_cross(SELL);Sell to Close;-47.0;$20.17;8/24/15;($35.72);$184.84;0.0;
41;keepbusy_cross(Buy);Buy to Open;39.0;$25.05;7/11/16;;$197.71;39.0;
42;keepbusy_cross(SELL);Sell to Close;-39.0;$24.51;7/27/16;($20.88);$163.96;0.0;
43;keepbusy_cross(Buy);Buy to Open;8.0;$124.07;11/6/20;;$175.40;8.0;
44;keepbusy_cross(SELL);Sell to Close;-8.0;$109.94;11/24/20;($113.03);$50.93;0.0;
45;keepbusy_cross(Buy);Buy to Open;6.0;$165.45;10/22/21;;$58.79;6.0;
46;keepbusy_cross(SELL);Sell to Close;-6.0;$176.90;1/5/22;$68.72;$119.65;0.0;
47;keepbusy_cross(Buy);Buy to Open;6.0;$158.56;6/6/22;;$130.03;6.0;
48;keepbusy_cross(SELL);Sell to Close;-6.0;$150.90;6/13/22;($45.94);$73.70;0.0;
49;keepbusy_cross(Buy);Buy to Open;5.0;$168.06;1/13/23;;$79.70;5.0;
50;keepbusy_cross(SELL);Sell to Close;-5.0;$200.59;4/26/23;$162.63;$236.33;0.0;
51;keepbusy_cross(Buy);Buy to Open;3.0;$292.14;1/22/24;;$247.10;3.0;
52;keepbusy_cross(SELL);Sell to Close;-3.0;$304.13;4/16/24;$35.98;$272.32;0.0;


Max trade P/L: $341.63;

Total P/L: $272.32;

Total order(s): 26;
