Strategy report
Symbol: CHRW
Work Time: 6/26/98 - 8/4/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;167.0;$5.97;6/26/98;;$23.49;167.0;
2;keepbusy_cross(SELL);Sell to Close;-167.0;$5.89;7/28/98;($13.50);($13.50);0.0;
3;keepbusy_cross(Buy);Buy to Open;136.0;$7.33;4/23/99;;($28.38);136.0;
4;keepbusy_cross(SELL);Sell to Close;-136.0;$8.54;8/5/99;$165.47;$151.96;0.0;
5;keepbusy_cross(Buy);Buy to Open;112.0;$8.88;12/17/99;;$171.21;112.0;
6;keepbusy_cross(SELL);Sell to Close;-112.0;$10.75;3/17/00;$209.46;$361.42;0.0;
7;keepbusy_cross(Buy);Buy to Open;81.0;$12.31;4/28/00;;$376.61;81.0;
8;keepbusy_cross(SELL);Sell to Close;-81.0;$11.52;5/18/00;($64.10);$297.32;0.0;
9;keepbusy_cross(Buy);Buy to Open;62.0;$15.94;12/8/00;;$316.69;62.0;
10;keepbusy_cross(SELL);Sell to Close;-62.0;$14.31;12/18/00;($100.71);$196.61;0.0;
11;keepbusy_cross(Buy);Buy to Open;63.0;$15.72;1/2/01;;$147.39;63.0;
12;keepbusy_cross(SELL);Sell to Close;-63.0;$14.44;1/10/01;($80.42);$116.19;0.0;
13;keepbusy_cross(Buy);Buy to Open;68.0;$14.66;7/20/01;;$138.97;68.0;
14;keepbusy_cross(SELL);Sell to Close;-68.0;$14.61;8/29/01;($2.87);$113.33;0.0;
15;keepbusy_cross(Buy);Buy to Open;52.0;$19.06;9/8/03;;$133.61;52.0;
16;keepbusy_cross(SELL);Sell to Close;-52.0;$18.74;9/26/03;($16.51);$96.82;0.0;
17;keepbusy_cross(Buy);Buy to Open;30.0;$32.70;10/28/05;;$150.52;30.0;
18;keepbusy_cross(SELL);Sell to Close;-30.0;$36.63;1/4/06;$118.04;$214.86;0.0;
19;keepbusy_cross(Buy);Buy to Open;18.0;$55.54;2/1/08;;$228.00;18.0;
20;keepbusy_cross(SELL);Sell to Close;-18.0;$51.21;2/25/08;($77.93);$136.93;0.0;
21;keepbusy_cross(Buy);Buy to Open;16.0;$58.93;4/16/10;;$128.13;16.0;
22;keepbusy_cross(SELL);Sell to Close;-16.0;$57.17;5/21/10;($28.19);$108.74;0.0;
23;keepbusy_cross(Buy);Buy to Open;17.0;$56.74;4/21/14;;$113.67;17.0;
24;keepbusy_cross(SELL);Sell to Close;-17.0;$66.58;9/24/14;$167.32;$276.06;0.0;
25;keepbusy_cross(Buy);Buy to Open;13.0;$72.80;11/11/16;;$286.20;13.0;
26;keepbusy_cross(SELL);Sell to Close;-13.0;$72.50;1/4/17;($3.90);$272.16;0.0;
27;keepbusy_cross(Buy);Buy to Open;11.0;$89.23;4/5/19;;$274.69;11.0;
28;keepbusy_cross(SELL);Sell to Close;-11.0;$88.52;4/10/19;($7.77);$264.39;0.0;
29;keepbusy_cross(Buy);Buy to Open;9.0;$107.52;8/5/22;;$284.37;9.0;
30;keepbusy_cross(SELL);Sell to Close;-9.0;$107.14;9/16/22;($3.39);$260.99;0.0;
31;keepbusy_cross(Buy);Buy to Open;10.0;$98.56;7/21/23;;$261.39;10.0;
32;keepbusy_cross(SELL);Sell to Close;-10.0;$96.86;8/4/23;($17.05);$243.95;0.0;


Max trade P/L: $209.46;

Total P/L: $243.95;

Total order(s): 16;
