Strategy report
Symbol: CICHY
Work Time: 2/22/13 - 9/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;24.0;$16.16;2/22/13;;$0.43;24.0;
2;FReversalSwing(BUY);Buy to Open;24.0;$16.18;2/25/13;;($4.75);48.0;
3;FReversalSwing(BUY);Buy to Open;24.0;$16.07;2/26/13;;($11.23);72.0;
4;FReversalSwing(SELL);Sell to Close;-72.0;$16.40;4/26/13;$19.01;$19.01;0.0;
5;FReversalSwing(BUY);Buy to Open;25.0;$15.81;6/6/13;;$21.51;25.0;
6;FReversalSwing(BUY);Buy to Open;25.0;$15.74;6/11/13;;($30.24);50.0;
7;FReversalSwing(SELL);Sell to Close;-50.0;$14.81;6/12/13;($48.25);($29.24);0.0;
8;FReversalSwing(BUY);Buy to Open;25.0;$15.77;3/9/15;;($20.24);25.0;
9;FReversalSwing(SELL);Sell to Close;-25.0;$16.68;3/19/15;$22.75;($6.49);0.0;
10;FReversalSwing(BUY);Buy to Open;21.0;$18.54;6/22/15;;($1.45);21.0;
11;FReversalSwing(BUY);Buy to Open;21.0;$18.78;6/23/15;;$12.83;42.0;
12;FReversalSwing(BUY);Buy to Open;21.0;$18.71;6/26/15;;($42.51);63.0;
13;FReversalSwing(SELL);Sell to Close;-63.0;$15.67;8/19/15;($189.55);($196.05);0.0;
14;FReversalSwing(BUY);Buy to Open;25.0;$15.73;4/19/17;;($198.30);25.0;
15;FReversalSwing(BUY);Buy to Open;25.0;$15.64;4/20/17;;($186.05);50.0;
16;FReversalSwing(SELL);Sell to Close;-50.0;$16.35;4/26/17;$33.25;($162.80);0.0;
17;FReversalSwing(BUY);Buy to Open;25.0;$15.71;6/21/17;;($164.30);25.0;
18;FReversalSwing(BUY);Buy to Open;25.0;$15.65;6/22/17;;($168.80);50.0;
19;FReversalSwing(BUY);Buy to Open;25.0;$15.56;6/23/17;;($159.80);75.0;
20;FReversalSwing(SELL);Sell to Close;-75.0;$16.41;7/13/17;$57.75;($105.05);0.0;
21;FReversalSwing(BUY);Buy to Open;24.0;$16.58;9/26/17;;($104.33);24.0;
22;FReversalSwing(BUY);Buy to Open;24.0;$16.61;9/27/17;;($103.37);48.0;
23;FReversalSwing(BUY);Buy to Open;24.0;$16.63;9/28/17;;($115.61);72.0;
24;FReversalSwing(SELL);Sell to Close;-72.0;$17.69;10/4/17;$78.00;($27.05);0.0;
25;FReversalSwing(BUY);Buy to Open;23.0;$17.04;11/16/17;;($20.61);23.0;
26;FReversalSwing(SELL);Sell to Close;-23.0;$17.81;11/22/17;$17.71;($9.34);0.0;
27;FReversalSwing(BUY);Buy to Open;23.0;$17.11;12/7/17;;($10.14);23.0;
28;FReversalSwing(BUY);Buy to Open;23.0;$17.07;12/8/17;;($9.91);46.0;
29;FReversalSwing(BUY);Buy to Open;23.0;$17.08;12/11/17;;$1.13;69.0;
30;FReversalSwing(SELL);Sell to Close;-69.0;$17.87;12/14/17;$54.28;$44.94;0.0;
31;FReversalSwing(BUY);Buy to Open;20.0;$19.75;2/12/18;;$51.14;20.0;
32;FReversalSwing(SELL);Sell to Close;-20.0;$21.88;2/16/18;$42.60;$87.54;0.0;
33;FReversalSwing(BUY);Buy to Open;19.0;$20.12;3/26/18;;$105.50;19.0;
34;FReversalSwing(SELL);Sell to Close;-19.0;$21.15;5/15/18;$19.57;$107.11;0.0;
35;FReversalSwing(BUY);Buy to Open;19.0;$20.02;5/30/18;;$108.87;19.0;
36;FReversalSwing(BUY);Buy to Open;20.0;$20.00;6/15/18;;$103.27;39.0;
37;FReversalSwing(BUY);Buy to Open;20.0;$19.91;6/18/18;;$83.21;59.0;
38;FReversalSwing(SELL);Sell to Close;-59.0;$17.74;6/29/18;($132.03);($24.92);0.0;
39;FReversalSwing(BUY);Buy to Open;25.0;$15.77;5/3/21;;($27.92);25.0;
40;FReversalSwing(SELL);Sell to Close;-25.0;$15.64;5/4/21;($3.37);($28.29);0.0;
41;FReversalSwing(BUY);Buy to Open;25.0;$15.71;5/6/21;;($27.29);25.0;
42;FReversalSwing(SELL);Sell to Close;-25.0;$15.64;5/7/21;($1.75);($30.04);0.0;
43;FReversalSwing(BUY);Buy to Open;29.0;$13.71;7/8/24;;($31.20);29.0;
44;FReversalSwing(BUY);Buy to Open;29.0;$13.67;7/9/24;;($26.56);58.0;
45;FReversalSwing(BUY);Buy to Open;29.0;$13.75;7/10/24;;($13.51);87.0;
46;FReversalSwing(SELL);Sell to Close;-87.0;$14.16;8/13/24;$39.15;$9.11;0.0;
47;FReversalSwing(BUY);Buy to Open;29.0;$13.66;9/4/24;;$14.62;29.0;
48;FReversalSwing(BUY);Buy to Open;29.0;$13.61;9/6/24;;$2.96;58.0;
49;FReversalSwing(BUY);Buy to Open;29.0;$13.53;9/9/24;;$12.53;87.0;
50;FReversalSwing(SELL);Sell to Close;-87.0;$14.24;9/23/24;$55.62;$64.73;0.0;


Max trade P/L: $78.00;

Total P/L: $64.73;

Total order(s): 16;
