Strategy report
Symbol: CRM
Work Time: 12/20/06 - 5/31/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;42.0;$9.33;12/20/06;;($0.11);42.0;
2;FReversalSwing(BUY);Buy to Open;42.0;$9.33;12/21/06;;($9.56);84.0;
3;FReversalSwing(BUY);Buy to Open;43.0;$9.22;12/22/06;;($35.27);127.0;
4;FReversalSwing(SELL);Sell to Close;-127.0;$9.88;1/6/07;$74.90;$74.90;0.0;
5;FReversalSwing(BUY);Buy to Open;38.0;$10.44;3/16/07;;$73.85;38.0;
6;FReversalSwing(BUY);Buy to Open;38.0;$10.41;3/19/07;;$93.80;76.0;
7;FReversalSwing(SELL);Sell to Close;-76.0;$11.22;4/4/07;$60.51;$135.41;0.0;
8;FReversalSwing(BUY);Buy to Open;38.0;$10.35;4/20/07;;$138.74;38.0;
9;FReversalSwing(BUY);Buy to Open;38.0;$10.44;4/23/07;;$130.00;76.0;
10;FReversalSwing(BUY);Buy to Open;38.0;$10.32;4/24/07;;$123.73;114.0;
11;FReversalSwing(SELL);Sell to Close;-114.0;$11.02;5/16/07;$73.82;$209.23;0.0;
12;FReversalSwing(BUY);Buy to Open;38.0;$10.48;6/22/07;;$196.31;38.0;
13;FReversalSwing(SELL);Sell to Close;-38.0;$9.31;8/8/07;($44.36);$164.86;0.0;
14;FReversalSwing(BUY);Buy to Open;30.0;$12.96;1/22/08;;$168.16;30.0;
15;FReversalSwing(BUY);Buy to Open;30.0;$13.07;1/23/08;;$212.86;60.0;
16;FReversalSwing(BUY);Buy to Open;30.0;$13.01;1/30/08;;$126.39;90.0;
17;FReversalSwing(SELL);Sell to Close;-90.0;$15.42;2/29/08;$216.22;$381.09;0.0;
18;FReversalSwing(BUY);Buy to Open;25.0;$15.82;7/14/08;;$375.40;25.0;
19;FReversalSwing(BUY);Buy to Open;25.0;$15.59;7/15/08;;$388.15;50.0;
20;FReversalSwing(BUY);Buy to Open;25.0;$15.85;7/16/08;;$455.84;75.0;
21;FReversalSwing(SELL);Sell to Close;-75.0;$17.68;7/21/08;$144.87;$525.96;0.0;
22;FReversalSwing(BUY);Buy to Open;25.0;$15.66;7/29/08;;$532.65;25.0;
23;FReversalSwing(SELL);Sell to Close;-25.0;$17.05;8/6/08;$34.75;$560.71;0.0;
24;FReversalSwing(BUY);Buy to Open;10.0;$36.51;5/9/12;;$568.11;10.0;
25;FReversalSwing(BUY);Buy to Open;11.0;$33.86;5/11/12;;$546.55;21.0;
26;FReversalSwing(BUY);Buy to Open;11.0;$34.45;5/14/12;;$536.71;32.0;
27;FReversalSwing(SELL);Sell to Close;-32.0;$33.15;5/18/12;($55.45);$505.27;0.0;
28;FReversalSwing(BUY);Buy to Open;11.0;$36.33;10/26/12;;$508.95;11.0;
