Strategy report
Symbol: CSCO
Work Time: 4/13/94 - 11/17/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;232.0;$1.72;4/13/94;;($14.50);232.0;
2;FReversalSwing(BUY);Buy to Open;237.0;$1.68;4/15/94;;($9.67);469.0;
3;FReversalSwing(BUY);Buy to Open;237.0;$1.68;4/18/94;;($24.37);706.0;
4;FReversalSwing(SELL);Sell to Close;-706.0;$1.40;5/16/94;($205.79);($205.79);0.0;
5;FReversalSwing(BUY);Buy to Open;221.0;$1.81;1/31/95;;($195.82);221.0;
6;FReversalSwing(SELL);Sell to Close;-221.0;$1.97;2/3/95;$36.07;($169.72);0.0;
7;FReversalSwing(BUY);Buy to Open;217.0;$1.84;2/22/95;;($159.93);217.0;
8;FReversalSwing(SELL);Sell to Close;-217.0;$1.95;3/9/95;$24.11;($145.61);0.0;
9;FReversalSwing(BUY);Buy to Open;59.0;$6.73;2/12/97;;($118.98);59.0;
10;FReversalSwing(SELL);Sell to Close;-59.0;$5.46;3/11/97;($74.99);($220.60);0.0;
11;FReversalSwing(BUY);Buy to Open;49.0;$8.06;9/11/97;;($222.30);49.0;
12;FReversalSwing(BUY);Buy to Open;49.0;$8.02;9/12/97;;($221.62);98.0;
13;FReversalSwing(BUY);Buy to Open;49.0;$8.03;9/15/97;;($262.46);147.0;
14;FReversalSwing(SELL);Sell to Close;-147.0;$8.72;10/6/97;$101.07;($119.53);0.0;
15;FReversalSwing(BUY);Buy to Open;49.0;$8.10;10/28/97;;($80.73);49.0;
16;FReversalSwing(SELL);Sell to Close;-49.0;$9.42;11/4/97;$64.66;($54.87);0.0;
17;FReversalSwing(BUY);Buy to Open;47.0;$8.51;12/15/97;;($49.97);47.0;
18;FReversalSwing(BUY);Buy to Open;46.0;$8.61;12/16/97;;($22.84);93.0;
19;FReversalSwing(SELL);Sell to Close;-93.0;$9.68;1/5/98;$104.00;$49.13;0.0;
20;FReversalSwing(BUY);Buy to Open;17.0;$22.48;4/19/04;;$55.59;17.0;
21;FReversalSwing(BUY);Buy to Open;17.0;$22.37;4/22/04;;$73.78;34.0;
22;FReversalSwing(SELL);Sell to Close;-34.0;$22.54;5/28/04;$3.91;$53.04;0.0;
23;FReversalSwing(BUY);Buy to Open;19.0;$20.29;4/25/06;;$56.46;19.0;
24;FReversalSwing(SELL);Sell to Close;-19.0;$21.39;5/3/06;$20.90;$73.94;0.0;
25;FReversalSwing(BUY);Buy to Open;19.0;$20.05;5/12/06;;$79.45;19.0;
26;FReversalSwing(BUY);Buy to Open;19.0;$20.21;5/17/06;;$75.84;38.0;
27;FReversalSwing(BUY);Buy to Open;19.0;$20.18;5/18/06;;$82.11;57.0;
28;FReversalSwing(SELL);Sell to Close;-57.0;$18.86;7/11/06;($73.34);$0.60;0.0;
29;FReversalSwing(BUY);Buy to Open;15.0;$25.71;2/28/07;;$4.05;15.0;
30;FReversalSwing(BUY);Buy to Open;15.0;$25.94;3/1/07;;$1.35;30.0;
31;FReversalSwing(BUY);Buy to Open;15.0;$25.85;3/2/07;;($23.40);45.0;
32;FReversalSwing(SELL);Sell to Close;-45.0;$26.79;3/22/07;$43.05;$43.65;0.0;
33;FReversalSwing(BUY);Buy to Open;15.0;$25.43;3/30/07;;$45.15;15.0;
34;FReversalSwing(BUY);Buy to Open;15.0;$25.40;4/3/07;;$56.70;30.0;
35;FReversalSwing(SELL);Sell to Close;-30.0;$26.68;4/16/07;$37.95;$81.60;0.0;
36;FReversalSwing(BUY);Buy to Open;15.0;$25.52;5/29/07;;$87.30;15.0;
37;FReversalSwing(SELL);Sell to Close;-15.0;$26.92;6/1/07;$21.00;$102.60;0.0;
38;FReversalSwing(BUY);Buy to Open;12.0;$31.37;10/23/07;;$104.64;12.0;
39;FReversalSwing(BUY);Buy to Open;12.0;$31.26;10/25/07;;$99.36;24.0;
40;FReversalSwing(BUY);Buy to Open;12.0;$31.18;10/26/07;;$125.28;36.0;
41;FReversalSwing(SELL);Sell to Close;-36.0;$32.61;10/31/07;$48.24;$150.84;0.0;
42;FReversalSwing(BUY);Buy to Open;13.0;$29.63;11/9/07;;$137.19;13.0;
43;FReversalSwing(BUY);Buy to Open;13.0;$29.11;11/13/07;;$170.86;26.0;
44;FReversalSwing(BUY);Buy to Open;13.0;$29.30;11/16/07;;$173.98;39.0;
45;FReversalSwing(SELL);Sell to Close;-39.0;$26.35;1/3/08;($116.99);$33.85;0.0;
46;FReversalSwing(BUY);Buy to Open;17.0;$22.97;1/25/10;;$34.19;17.0;
47;FReversalSwing(BUY);Buy to Open;17.0;$22.99;1/26/10;;$31.13;34.0;
48;FReversalSwing(BUY);Buy to Open;17.0;$22.90;1/27/10;;$43.88;51.0;
49;FReversalSwing(SELL);Sell to Close;-51.0;$24.00;2/17/10;$53.38;$87.23;0.0;
50;FReversalSwing(BUY);Buy to Open;15.0;$25.49;5/7/10;;$75.56;15.0;
51;FReversalSwing(BUY);Buy to Open;16.0;$24.71;5/10/10;;$119.58;31.0;
52;FReversalSwing(BUY);Buy to Open;16.0;$24.94;5/17/10;;$79.40;47.0;
53;FReversalSwing(SELL);Sell to Close;-47.0;$21.25;7/1/10;($177.89);($90.65);0.0;
54;FReversalSwing(BUY);Buy to Open;20.0;$19.48;3/7/12;;($92.05);20.0;
55;FReversalSwing(BUY);Buy to Open;20.0;$19.41;3/8/12;;($81.25);40.0;
56;FReversalSwing(SELL);Sell to Close;-40.0;$20.22;3/14/12;$31.00;($59.65);0.0;
57;FReversalSwing(BUY);Buy to Open;20.0;$19.55;4/11/12;;($50.35);20.0;
58;FReversalSwing(BUY);Buy to Open;20.0;$19.42;4/25/12;;($59.45);40.0;
59;FReversalSwing(BUY);Buy to Open;20.0;$19.49;4/26/12;;($52.85);60.0;
60;FReversalSwing(SELL);Sell to Close;-60.0;$18.49;5/10/12;($60.06);($119.71);0.0;
61;FReversalSwing(BUY);Buy to Open;19.0;$20.61;4/8/13;;($120.47);19.0;
62;FReversalSwing(BUY);Buy to Open;19.0;$20.57;4/9/13;;($105.27);38.0;
