Strategy report
Symbol: CVX
Work Time: 10/27/86 - 4/4/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;38.0;$10.44;10/27/86;;$4.75;38.0;
2;FReversalSwing(BUY);Buy to Open;38.0;$10.41;10/29/86;;($8.31);76.0;
3;FReversalSwing(BUY);Buy to Open;38.0;$10.31;10/30/86;;$59.38;114.0;
4;FReversalSwing(SELL);Sell to Close;-114.0;$11.16;11/3/86;$87.88;$87.88;0.0;
5;FReversalSwing(BUY);Buy to Open;33.0;$11.97;2/24/87;;$81.69;33.0;
6;FReversalSwing(BUY);Buy to Open;33.0;$11.78;2/25/87;;$92.00;66.0;
7;FReversalSwing(SELL);Sell to Close;-66.0;$12.91;3/9/87;$68.06;$155.94;0.0;
8;FReversalSwing(BUY);Buy to Open;27.0;$14.44;8/14/87;;$161.84;27.0;
9;FReversalSwing(BUY);Buy to Open;27.0;$14.50;8/18/87;;$159.31;54.0;
10;FReversalSwing(BUY);Buy to Open;27.0;$14.53;8/19/87;;$169.44;81.0;
11;FReversalSwing(SELL);Sell to Close;-81.0;$11.88;10/20/87;($211.78);($55.84);0.0;
12;FReversalSwing(BUY);Buy to Open;30.0;$12.94;5/11/89;;($55.84);30.0;
13;FReversalSwing(BUY);Buy to Open;30.0;$12.94;5/12/89;;($44.59);60.0;
14;FReversalSwing(SELL);Sell to Close;-60.0;$13.59;5/22/89;$39.38;($16.47);0.0;
15;FReversalSwing(BUY);Buy to Open;30.0;$13.13;6/16/89;;($15.53);30.0;
16;FReversalSwing(BUY);Buy to Open;30.0;$13.06;6/20/89;;($22.09);60.0;
17;FReversalSwing(BUY);Buy to Open;30.0;$13.00;6/21/89;;($30.53);90.0;
18;FReversalSwing(SELL);Sell to Close;-90.0;$13.84;6/28/89;$70.31;$53.84;0.0;
19;FReversalSwing(BUY);Buy to Open;24.0;$16.06;1/15/90;;$56.09;24.0;
20;FReversalSwing(BUY);Buy to Open;24.0;$16.16;1/16/90;;$71.09;48.0;
21;FReversalSwing(SELL);Sell to Close;-48.0;$16.78;2/5/90;$32.25;$86.09;0.0;
22;FReversalSwing(BUY);Buy to Open;24.0;$16.47;4/12/90;;$91.34;24.0;
23;FReversalSwing(BUY);Buy to Open;24.0;$16.38;4/19/90;;$83.84;48.0;
24;FReversalSwing(BUY);Buy to Open;24.0;$16.38;4/20/90;;$72.59;72.0;
25;FReversalSwing(SELL);Sell to Close;-72.0;$16.78;5/7/90;$27.00;$113.09;0.0;
26;FReversalSwing(BUY);Buy to Open;23.0;$16.94;6/27/90;;$124.59;23.0;
27;FReversalSwing(SELL);Sell to Close;-23.0;$17.75;7/12/90;$18.69;$131.78;0.0;
28;FReversalSwing(BUY);Buy to Open;21.0;$18.56;8/27/90;;$133.09;21.0;
29;FReversalSwing(SELL);Sell to Close;-21.0;$19.50;9/10/90;$19.69;$151.47;0.0;
30;FReversalSwing(BUY);Buy to Open;21.0;$18.59;9/28/90;;$149.50;21.0;
31;FReversalSwing(BUY);Buy to Open;21.0;$18.50;10/1/90;;$145.56;42.0;
32;FReversalSwing(BUY);Buy to Open;21.0;$18.41;10/2/90;;$139.66;63.0;
33;FReversalSwing(SELL);Sell to Close;-63.0;$17.63;12/5/90;($55.13);$96.34;0.0;
34;FReversalSwing(BUY);Buy to Open;21.0;$18.78;5/13/91;;$97.00;21.0;
35;FReversalSwing(BUY);Buy to Open;21.0;$18.50;5/20/91;;$93.06;42.0;
36;FReversalSwing(BUY);Buy to Open;21.0;$18.56;5/21/91;;$97.00;63.0;
37;FReversalSwing(SELL);Sell to Close;-63.0;$17.84;6/13/91;($48.74);$47.60;0.0;
38;FReversalSwing(BUY);Buy to Open;22.0;$17.75;11/2/92;;$46.92;22.0;
39;FReversalSwing(BUY);Buy to Open;22.0;$17.72;11/3/92;;$18.04;44.0;
40;FReversalSwing(SELL);Sell to Close;-44.0;$17.44;11/4/92;($13.06);$34.54;0.0;
41;FReversalSwing(BUY);Buy to Open;19.0;$21.03;7/7/93;;$35.14;19.0;
42;FReversalSwing(BUY);Buy to Open;18.0;$21.06;7/8/93;;$45.54;37.0;
43;FReversalSwing(BUY);Buy to Open;19.0;$20.88;7/16/93;;$8.95;56.0;
44;FReversalSwing(SELL);Sell to Close;-56.0;$21.91;7/26/93;$51.41;$85.95;0.0;
45;FReversalSwing(BUY);Buy to Open;17.0;$23.38;11/9/93;;$81.70;17.0;
46;FReversalSwing(BUY);Buy to Open;17.0;$23.13;11/10/93;;$73.20;34.0;
47;FReversalSwing(BUY);Buy to Open;17.0;$22.88;11/11/93;;$55.67;51.0;
48;FReversalSwing(SELL);Sell to Close;-51.0;$22.16;12/28/93;($49.41);$36.54;0.0;
49;FReversalSwing(BUY);Buy to Open;17.0;$22.75;4/10/95;;$37.60;17.0;
50;FReversalSwing(BUY);Buy to Open;17.0;$22.81;4/11/95;;$29.10;34.0;
51;FReversalSwing(BUY);Buy to Open;17.0;$22.56;4/12/95;;$25.92;51.0;
52;FReversalSwing(SELL);Sell to Close;-51.0;$22.28;4/18/95;($21.66);$14.88;0.0;
53;FReversalSwing(BUY);Buy to Open;17.0;$23.38;6/22/95;;$12.76;17.0;
54;FReversalSwing(BUY);Buy to Open;17.0;$23.25;6/23/95;;$29.76;34.0;
55;FReversalSwing(SELL);Sell to Close;-34.0;$24.50;7/27/95;$40.38;$55.26;0.0;
56;FReversalSwing(BUY);Buy to Open;17.0;$23.50;8/17/95;;$55.26;17.0;
57;FReversalSwing(BUY);Buy to Open;17.0;$23.50;8/18/95;;$59.51;34.0;
58;FReversalSwing(BUY);Buy to Open;16.0;$23.63;8/21/95;;$56.38;50.0;
59;FReversalSwing(SELL);Sell to Close;-50.0;$24.31;8/31/95;$38.63;$93.88;0.0;
60;FReversalSwing(BUY);Buy to Open;16.0;$23.94;10/18/95;;$91.88;16.0;
61;FReversalSwing(BUY);Buy to Open;16.0;$23.88;10/20/95;;$98.88;32.0;
