Strategy report
Symbol: DIS
Work Time: 11/7/88 - 7/10/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;75.0;$5.32;11/7/88;;($5.47);75.0;
2;FReversalSwing(SELL);Sell to Close;-75.0;$5.29;11/8/88;($2.57);($2.57);0.0;
3;FReversalSwing(BUY);Buy to Open;43.0;$9.14;1/19/90;;($3.47);43.0;
4;FReversalSwing(BUY);Buy to Open;43.0;$9.12;1/22/90;;($28.55);86.0;
5;FReversalSwing(SELL);Sell to Close;-86.0;$9.22;3/6/90;$7.17;$4.59;0.0;
6;FReversalSwing(BUY);Buy to Open;38.0;$10.33;7/24/90;;($4.91);38.0;
7;FReversalSwing(BUY);Buy to Open;39.0;$10.08;7/25/90;;($18.54);77.0;
8;FReversalSwing(BUY);Buy to Open;40.0;$9.91;7/26/90;;$2.18;117.0;
9;FReversalSwing(SELL);Sell to Close;-117.0;$8.85;8/6/90;($146.06);($141.47);0.0;
10;FReversalSwing(BUY);Buy to Open;41.0;$9.62;3/26/91;;($128.66);41.0;
11;FReversalSwing(BUY);Buy to Open;41.0;$9.58;4/12/91;;($139.76);82.0;
12;FReversalSwing(SELL);Sell to Close;-82.0;$10.08;4/18/91;$39.29;($102.18);0.0;
13;FReversalSwing(BUY);Buy to Open;41.0;$9.67;6/3/91;;($95.35);41.0;
14;FReversalSwing(BUY);Buy to Open;41.0;$9.58;6/7/91;;($101.33);82.0;
15;FReversalSwing(BUY);Buy to Open;42.0;$9.46;6/20/91;;($118.43);124.0;
16;FReversalSwing(SELL);Sell to Close;-124.0;$9.33;6/21/91;($30.03);($132.21);0.0;
17;FReversalSwing(BUY);Buy to Open;42.0;$9.44;6/24/91;;($135.70);42.0;
18;FReversalSwing(BUY);Buy to Open;42.0;$9.35;6/25/91;;($131.33);84.0;
19;FReversalSwing(BUY);Buy to Open;42.0;$9.41;6/26/91;;($141.83);126.0;
20;FReversalSwing(SELL);Sell to Close;-126.0;$9.31;6/27/91;($10.91);($143.12);0.0;
21;FReversalSwing(BUY);Buy to Open;42.0;$9.46;8/20/91;;($145.31);42.0;
22;FReversalSwing(SELL);Sell to Close;-42.0;$9.34;9/16/91;($5.04);($148.15);0.0;
23;FReversalSwing(BUY);Buy to Open;32.0;$12.14;5/1/92;;($147.49);32.0;
24;FReversalSwing(BUY);Buy to Open;32.0;$12.17;5/4/92;;($137.49);64.0;
25;FReversalSwing(SELL);Sell to Close;-64.0;$12.67;5/14/92;$32.66;($115.49);0.0;
26;FReversalSwing(BUY);Buy to Open;33.0;$12.04;6/11/92;;($108.62);33.0;
27;FReversalSwing(BUY);Buy to Open;34.0;$11.71;6/24/92;;($129.28);67.0;
28;FReversalSwing(BUY);Buy to Open;34.0;$11.67;6/25/92;;($95.62);101.0;
29;FReversalSwing(SELL);Sell to Close;-101.0;$12.12;8/14/92;$32.50;($82.99);0.0;
30;FReversalSwing(BUY);Buy to Open;27.0;$14.42;2/24/93;;($71.74);27.0;
31;FReversalSwing(BUY);Buy to Open;27.0;$14.54;3/25/93;;($75.12);54.0;
32;FReversalSwing(BUY);Buy to Open;28.0;$14.12;4/6/93;;($98.70);82.0;
33;FReversalSwing(SELL);Sell to Close;-82.0;$13.83;5/20/93;($43.04);($126.03);0.0;
34;FReversalSwing(BUY);Buy to Open;27.0;$14.67;3/29/94;;($133.91);27.0;
35;FReversalSwing(BUY);Buy to Open;27.0;$14.37;3/30/94;;($149.65);54.0;
36;FReversalSwing(BUY);Buy to Open;28.0;$14.08;3/31/94;;($156.49);82.0;
37;FReversalSwing(SELL);Sell to Close;-82.0;$13.93;4/4/94;($36.46);($162.49);0.0;
38;FReversalSwing(BUY);Buy to Open;27.0;$14.29;4/6/94;;($166.99);27.0;
39;FReversalSwing(BUY);Buy to Open;28.0;$14.12;4/7/94;;($166.99);55.0;
40;FReversalSwing(SELL);Sell to Close;-55.0;$13.95;4/8/94;($14.03);($176.53);0.0;
41;FReversalSwing(BUY);Buy to Open;28.0;$14.08;4/13/94;;($181.20);28.0;
42;FReversalSwing(SELL);Sell to Close;-28.0;$13.97;4/14/94;($3.17);($179.70);0.0;
43;FReversalSwing(BUY);Buy to Open;22.0;$17.66;5/11/95;;($172.37);22.0;
44;FReversalSwing(SELL);Sell to Close;-22.0;$18.41;5/17/95;$16.50;($163.20);0.0;
45;FReversalSwing(BUY);Buy to Open;21.0;$18.33;7/6/95;;($158.83);21.0;
46;FReversalSwing(BUY);Buy to Open;21.0;$18.21;7/11/95;;($172.82);42.0;
47;FReversalSwing(BUY);Buy to Open;22.0;$18.04;7/12/95;;($183.49);64.0;
48;FReversalSwing(SELL);Sell to Close;-64.0;$18.96;7/27/95;$49.04;($114.16);0.0;
49;FReversalSwing(BUY);Buy to Open;21.0;$18.37;9/6/95;;($111.54);21.0;
50;FReversalSwing(BUY);Buy to Open;21.0;$18.41;9/8/95;;($120.29);42.0;
51;FReversalSwing(BUY);Buy to Open;21.0;$18.25;9/11/95;;($109.79);63.0;
52;FReversalSwing(SELL);Sell to Close;-63.0;$19.21;9/15/95;$54.24;($59.92);0.0;
53;FReversalSwing(BUY);Buy to Open;21.0;$18.58;10/12/95;;($62.54);21.0;
54;FReversalSwing(BUY);Buy to Open;21.0;$18.46;10/13/95;;($32.80);42.0;
55;FReversalSwing(SELL);Sell to Close;-42.0;$19.25;10/25/95;$30.62;($29.30);0.0;
56;FReversalSwing(BUY);Buy to Open;19.0;$20.29;4/11/96;;($32.46);19.0;
57;FReversalSwing(BUY);Buy to Open;19.0;$20.12;4/12/96;;($19.80);38.0;
58;FReversalSwing(BUY);Buy to Open;19.0;$20.46;4/15/96;;($10.30);57.0;
59;FReversalSwing(SELL);Sell to Close;-57.0;$20.79;5/22/96;$28.50;($0.80);0.0;
60;FReversalSwing(BUY);Buy to Open;17.0;$22.46;1/3/97;;$9.82;17.0;
61;FReversalSwing(BUY);Buy to Open;17.0;$22.62;1/9/97;;($2.22);34.0;
62;FReversalSwing(BUY);Buy to Open;17.0;$22.50;1/10/97;;$4.16;51.0;
63;FReversalSwing(SELL);Sell to Close;-51.0;$23.58;1/23/97;$53.83;$53.03;0.0;
64;FReversalSwing(BUY);Buy to Open;16.0;$23.71;4/15/97;;$67.69;16.0;
65;FReversalSwing(SELL);Sell to Close;-16.0;$25.21;4/17/97;$24.00;$77.03;0.0;
66;FReversalSwing(BUY);Buy to Open;15.0;$26.18;7/2/97;;$68.59;15.0;
67;FReversalSwing(BUY);Buy to Open;15.0;$25.62;7/3/97;;$72.34;30.0;
68;FReversalSwing(BUY);Buy to Open;15.0;$25.75;7/7/97;;$53.59;45.0;
69;FReversalSwing(SELL);Sell to Close;-45.0;$26.71;7/30/97;$38.43;$115.46;0.0;
70;FReversalSwing(BUY);Buy to Open;15.0;$25.54;8/18/97;;$125.46;15.0;
71;FReversalSwing(SELL);Sell to Close;-15.0;$26.64;9/22/97;$16.56;$132.02;0.0;
72;FReversalSwing(BUY);Buy to Open;11.0;$35.85;6/22/98;;$136.37;11.0;
73;FReversalSwing(BUY);Buy to Open;11.0;$35.02;7/1/98;;$131.56;22.0;
74;FReversalSwing(BUY);Buy to Open;11.0;$35.27;7/7/98;;$136.60;33.0;
75;FReversalSwing(SELL);Sell to Close;-33.0;$38.13;7/13/98;$90.64;$222.66;0.0;
76;FReversalSwing(BUY);Buy to Open;11.0;$35.38;7/29/98;;$222.66;11.0;
77;FReversalSwing(BUY);Buy to Open;11.0;$35.38;7/30/98;;$221.28;22.0;
78;FReversalSwing(BUY);Buy to Open;11.0;$35.31;7/31/98;;$192.41;33.0;
79;FReversalSwing(SELL);Sell to Close;-33.0;$30.89;8/31/98;($147.39);$75.27;0.0;
80;FReversalSwing(BUY);Buy to Open;11.0;$33.38;2/23/00;;$83.52;11.0;
81;FReversalSwing(BUY);Buy to Open;12.0;$33.19;2/25/00;;$22.90;23.0;
82;FReversalSwing(BUY);Buy to Open;12.0;$31.00;2/28/00;;$84.15;35.0;
83;FReversalSwing(SELL);Sell to Close;-35.0;$36.50;3/6/00;$140.13;$215.40;0.0;
