Strategy report
Symbol: ENIC
Work Time: 9/1/17 - 8/7/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;170.0;$5.86;9/1/17;;$10.20;170.0;
2;keepbusy_cross(SELL);Sell to Close;-170.0;$5.82;10/23/17;($7.62);($7.62);0.0;
3;keepbusy_cross(Buy);Buy to Open;215.0;$4.63;12/13/19;;($1.17);215.0;
4;keepbusy_cross(SELL);Sell to Close;-215.0;$4.63;2/20/20;$1.04;($6.58);0.0;
5;keepbusy_cross(Buy);Buy to Open;251.0;$3.98;3/19/21;;($26.66);251.0;
6;keepbusy_cross(SELL);Sell to Close;-251.0;$3.94;3/22/21;($9.41);($15.99);0.0;
7;keepbusy_cross(Buy);Buy to Open;390.0;$2.56;3/31/23;;$38.61;390.0;
8;keepbusy_cross(SELL);Sell to Close;-390.0;$3.25;8/7/23;$268.78;$252.78;0.0;


Max trade P/L: $268.78;

Total P/L: $252.78;

Total order(s): 4;
