Strategy report
Symbol: ESLT
Work Time: 8/11/00 - 9/18/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;64.0;$15.50;8/11/00;;$16.00;64.0;
2;keepbusy_cross(SELL);Sell to Close;-64.0;$14.22;8/24/00;($81.74);($81.74);0.0;
3;keepbusy_cross(Buy);Buy to Open;54.0;$18.50;10/5/01;;($65.54);54.0;
4;keepbusy_cross(SELL);Sell to Close;-54.0;$17.42;11/13/01;($58.35);($140.09);0.0;
5;keepbusy_cross(Buy);Buy to Open;52.0;$19.08;4/16/04;;($134.37);52.0;
6;keepbusy_cross(SELL);Sell to Close;-52.0;$18.86;4/29/04;($11.56);($151.65);0.0;
7;keepbusy_cross(Buy);Buy to Open;39.0;$25.30;8/19/05;;($163.35);39.0;
8;keepbusy_cross(SELL);Sell to Close;-39.0;$23.81;8/26/05;($58.11);($209.76);0.0;
9;keepbusy_cross(Buy);Buy to Open;6.0;$149.15;2/16/18;;($209.82);6.0;
10;keepbusy_cross(SELL);Sell to Close;-6.0;$142.15;3/2/18;($41.98);($251.74);0.0;
11;keepbusy_cross(Buy);Buy to Open;8.0;$123.93;12/14/18;;($259.18);8.0;
12;keepbusy_cross(SELL);Sell to Close;-8.0;$122.51;12/17/18;($11.36);($263.10);0.0;
13;keepbusy_cross(Buy);Buy to Open;8.0;$124.85;1/11/19;;($263.98);8.0;
14;keepbusy_cross(SELL);Sell to Close;-8.0;$120.91;1/15/19;($31.52);($294.62);0.0;
15;keepbusy_cross(Buy);Buy to Open;6.0;$157.75;12/10/21;;($284.48);6.0;
16;keepbusy_cross(SELL);Sell to Close;-6.0;$162.70;1/26/22;$29.72;($264.90);0.0;
17;keepbusy_cross(Buy);Buy to Open;4.0;$223.34;3/1/24;;($256.34);4.0;
18;keepbusy_cross(SELL);Sell to Close;-4.0;$208.46;3/12/24;($59.52);($324.42);0.0;
19;keepbusy_cross(Buy);Buy to Open;5.0;$199.37;8/16/24;;($320.42);5.0;
20;keepbusy_cross(SELL);Sell to Close;-5.0;$189.72;9/18/24;($48.25);($372.67);0.0;


Max trade P/L: $29.72;

Total P/L: ($372.67);

Total order(s): 10;
