Strategy report
Symbol: EVR
Work Time: 8/7/09 - 7/7/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;43.0;$23.17;8/7/09;;($13.76);43.0;
2;keepbusy_cross(SELL);Sell to Close;-43.0;$30.48;12/1/09;$314.43;$314.43;0.0;
3;keepbusy_cross(Buy);Buy to Open;17.0;$57.32;6/27/14;;$317.66;17.0;
4;keepbusy_cross(SELL);Sell to Close;-17.0;$55.58;7/9/14;($29.50);$284.93;0.0;
5;keepbusy_cross(Buy);Buy to Open;19.0;$50.97;6/1/15;;$298.61;19.0;
6;keepbusy_cross(SELL);Sell to Close;-19.0;$55.71;8/21/15;$90.10;$375.03;0.0;
7;keepbusy_cross(Buy);Buy to Open;8.0;$124.93;6/30/23;;$364.31;8.0;
8;keepbusy_cross(SELL);Sell to Close;-8.0;$117.96;7/7/23;($55.78);$319.25;0.0;


Max trade P/L: $314.43;

Total P/L: $319.25;

Total order(s): 4;
