Strategy report
Symbol: FIVE
Work Time: 6/20/14 - 5/14/19


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;25.0;$39.97;6/20/14;;$7.25;25.0;
2;keepbusy_cross(SELL);Sell to Close;-25.0;$38.09;6/26/14;($46.95);($46.95);0.0;
3;keepbusy_cross(Buy);Buy to Open;23.0;$43.14;12/9/16;;($57.53);23.0;
4;keepbusy_cross(SELL);Sell to Close;-23.0;$42.65;12/12/16;($11.35);($58.30);0.0;
5;keepbusy_cross(Buy);Buy to Open;10.0;$99.05;6/8/18;;($36.90);10.0;
6;keepbusy_cross(SELL);Sell to Close;-10.0;$113.90;10/12/18;$148.50;$90.20;0.0;
7;keepbusy_cross(Buy);Buy to Open;7.0;$133.55;4/12/19;;$100.14;7.0;
8;keepbusy_cross(SELL);Sell to Close;-7.0;$128.11;5/14/19;($38.05);$52.15;0.0;


Max trade P/L: $148.50;

Total P/L: $52.15;

Total order(s): 4;
