Strategy report
Symbol: FLO
Work Time: 2/7/03 - 10/21/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;275.0;$3.63;2/7/03;;$40.74;275.0;
2;keepbusy_cross(SELL);Sell to Close;-275.0;$4.31;7/2/03;$187.31;$187.31;0.0;
3;keepbusy_cross(Buy);Buy to Open;111.0;$9.00;1/3/07;;$184.72;111.0;
4;keepbusy_cross(SELL);Sell to Close;-111.0;$8.96;1/4/07;($4.20);$183.11;0.0;
5;keepbusy_cross(Buy);Buy to Open;90.0;$11.10;3/24/08;;$179.11;90.0;
6;keepbusy_cross(SELL);Sell to Close;-90.0;$10.50;4/9/08;($53.58);$129.53;0.0;
7;keepbusy_cross(Buy);Buy to Open;84.0;$11.78;3/25/11;;$136.99;84.0;
8;keepbusy_cross(SELL);Sell to Close;-84.0;$14.51;8/3/11;$229.46;$358.98;0.0;
9;keepbusy_cross(Buy);Buy to Open;43.0;$23.22;3/12/21;;$364.14;43.0;
10;keepbusy_cross(SELL);Sell to Close;-43.0;$23.88;5/24/21;$28.44;$387.43;0.0;
11;keepbusy_cross(Buy);Buy to Open;43.0;$23.07;10/18/24;;$382.70;43.0;
12;keepbusy_cross(SELL);Sell to Close;-43.0;$22.92;10/21/24;($6.29);$381.14;0.0;


Max trade P/L: $229.46;

Total P/L: $381.14;

Total order(s): 6;
