Strategy report
Symbol: FTNT
Work Time: 10/28/11 - 1/31/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;230.0;$4.35;10/28/11;;$61.18;230.0;
2;keepbusy_cross(SELL);Sell to Close;-230.0;$4.32;12/20/11;($5.64);($5.64);0.0;
3;keepbusy_cross(Buy);Buy to Open;129.0;$7.74;4/24/15;;($6.67);129.0;
4;keepbusy_cross(SELL);Sell to Close;-129.0;$7.87;7/7/15;$16.43;$10.79;0.0;
5;keepbusy_cross(Buy);Buy to Open;61.0;$16.31;11/1/19;;$115.34;61.0;
6;keepbusy_cross(SELL);Sell to Close;-61.0;$21.71;2/25/20;$329.28;$340.07;0.0;
7;keepbusy_cross(Buy);Buy to Open;18.0;$53.21;1/27/23;;$330.89;18.0;
8;keepbusy_cross(SELL);Sell to Close;-18.0;$51.37;1/31/23;($33.06);$307.00;0.0;


Max trade P/L: $329.28;

Total P/L: $307.00;

Total order(s): 4;
