Strategy report
Symbol: F
Work Time: 9/22/86 - 5/29/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;224.0;$7.44;9/22/86;;$64.08;224.0;
2;FReversalSwing(SELL2);Sell to Close;-224.0;$7.25;9/29/86;($41.20);($41.20);0.0;
3;FReversalSwing(BUY);Buy to Open;219.0;$7.58;10/1/86;;($9.88);219.0;
4;FReversalSwing(SELL1);Sell to Close;-219.0;$7.71;10/6/86;$27.41;($13.80);0.0;
5;FReversalSwing(BUY);Buy to Open;209.0;$7.96;11/17/86;;$12.36;209.0;
6;FReversalSwing(SELL1);Sell to Close;-209.0;$8.51;11/25/86;$115.83;$102.03;0.0;
7;FReversalSwing(BUY);Buy to Open;207.0;$8.05;12/12/86;;$98.33;207.0;
8;FReversalSwing(SELL1);Sell to Close;-207.0;$8.58;1/6/87;$111.02;$213.06;0.0;
9;FReversalSwing(BUY);Buy to Open;123.0;$13.52;10/9/87;;$217.45;123.0;
10;FReversalSwing(SELL2);Sell to Close;-123.0;$12.84;10/16/87;($83.56);$129.49;0.0;
11;FReversalSwing(BUY);Buy to Open;126.0;$13.12;5/25/88;;$147.52;126.0;
12;FReversalSwing(SELL1);Sell to Close;-126.0;$13.94;6/2/88;$103.62;$233.12;0.0;
13;FReversalSwing(BUY);Buy to Open;124.0;$13.41;8/23/88;;$250.85;124.0;
14;FReversalSwing(SELL1);Sell to Close;-124.0;$14.48;9/7/88;$133.01;$366.13;0.0;
15;FReversalSwing(BUY);Buy to Open;115.0;$14.45;11/4/88;;$337.35;115.0;
16;FReversalSwing(SELL2);Sell to Close;-115.0;$14.02;11/22/88;($48.87);$317.26;0.0;
17;FReversalSwing(BUY);Buy to Open;116.0;$14.30;11/28/88;;$313.11;116.0;
18;FReversalSwing(SELL1);Sell to Close;-116.0;$14.87;12/1/88;$66.36;$383.62;0.0;
19;FReversalSwing(BUY);Buy to Open;114.0;$14.52;12/19/88;;$412.16;114.0;
20;FReversalSwing(SELL2);Sell to Close;-114.0;$14.30;1/4/89;($24.50);$359.12;0.0;
21;FReversalSwing(BUY);Buy to Open;110.0;$15.09;2/23/89;;$370.92;110.0;
22;FReversalSwing(SELL2);Sell to Close;-110.0;$14.71;2/28/89;($42.07);$317.06;0.0;
23;FReversalSwing(BUY);Buy to Open;112.0;$14.84;3/3/89;;$329.07;112.0;
24;FReversalSwing(SELL2);Sell to Close;-112.0;$14.73;3/7/89;($11.71);$305.34;0.0;
25;FReversalSwing(BUY);Buy to Open;114.0;$14.55;9/21/89;;$301.27;114.0;
26;FReversalSwing(SELL1);Sell to Close;-114.0;$15.20;10/6/89;$73.37;$378.72;0.0;
27;FReversalSwing(BUY);Buy to Open;183.0;$9.08;5/15/91;;$385.26;183.0;
28;FReversalSwing(SELL1);Sell to Close;-183.0;$9.90;5/29/91;$150.50;$529.21;0.0;
