Strategy report
Symbol: GEO
Work Time: 11/3/95 - 5/3/17


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;382.0;$2.61;11/3/95;;$21.22;382.0;
2;keepbusy_cross(SELL);Sell to Close;-382.0;$2.41;11/20/95;($75.76);($75.76);0.0;
3;keepbusy_cross(Buy);Buy to Open;214.0;$4.67;1/6/97;;($16.32);214.0;
4;keepbusy_cross(SELL);Sell to Close;-214.0;$4.40;2/3/97;($56.06);($131.82);0.0;
5;keepbusy_cross(Buy);Buy to Open;170.0;$5.85;3/17/06;;($145.80);170.0;
6;keepbusy_cross(SELL);Sell to Close;-170.0;$7.56;6/12/06;$290.98;$159.16;0.0;
7;keepbusy_cross(Buy);Buy to Open;56.0;$17.62;5/25/07;;$159.72;56.0;
8;keepbusy_cross(SELL);Sell to Close;-56.0;$18.17;7/18/07;$30.88;$190.05;0.0;
9;keepbusy_cross(Buy);Buy to Open;70.0;$14.14;12/11/09;;$211.51;70.0;
10;keepbusy_cross(SELL);Sell to Close;-70.0;$13.92;12/21/09;($15.35);$174.70;0.0;
11;keepbusy_cross(Buy);Buy to Open;41.0;$24.03;10/18/13;;$175.52;41.0;
12;keepbusy_cross(SELL);Sell to Close;-41.0;$22.60;11/8/13;($58.50);$116.20;0.0;
13;keepbusy_cross(Buy);Buy to Open;50.0;$19.85;11/11/16;;$143.87;50.0;
14;keepbusy_cross(SELL);Sell to Close;-50.0;$31.50;5/3/17;$582.72;$698.93;0.0;


Max trade P/L: $582.72;

Total P/L: $698.93;

Total order(s): 7;
