Strategy report
Symbol: GOOGL
Work Time: 12/19/06 - 9/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;34.0;$11.58;12/19/06;;$4.96;34.0;
2;FReversalSwing(BUY);Buy to Open;34.0;$11.58;12/21/06;;($11.32);68.0;
3;FReversalSwing(BUY);Buy to Open;35.0;$11.42;12/22/06;;($12.91);103.0;
4;FReversalSwing(SELL);Sell to Close;-103.0;$12.09;1/5/07;$58.43;$58.43;0.0;
5;FReversalSwing(BUY);Buy to Open;34.0;$11.56;2/12/07;;$55.37;34.0;
6;FReversalSwing(BUY);Buy to Open;34.0;$11.47;2/13/07;;$56.75;68.0;
7;FReversalSwing(BUY);Buy to Open;34.0;$11.49;2/14/07;;$74.18;102.0;
8;FReversalSwing(SELL);Sell to Close;-102.0;$11.64;3/27/07;$13.37;$71.81;0.0;
9;FReversalSwing(BUY);Buy to Open;31.0;$12.83;7/24/07;;$72.96;31.0;
10;FReversalSwing(BUY);Buy to Open;31.0;$12.86;7/25/07;;$66.38;62.0;
11;FReversalSwing(BUY);Buy to Open;31.0;$12.76;7/26/07;;$62.29;93.0;
12;FReversalSwing(SELL);Sell to Close;-93.0;$13.14;9/5/07;$30.39;$102.20;0.0;
13;FReversalSwing(BUY);Buy to Open;25.0;$15.41;1/17/08;;$92.72;25.0;
14;FReversalSwing(BUY);Buy to Open;26.0;$15.03;1/18/08;;$92.03;51.0;
15;FReversalSwing(BUY);Buy to Open;26.0;$15.02;1/22/08;;$61.39;77.0;
16;FReversalSwing(SELL);Sell to Close;-77.0;$12.71;2/5/08;($188.24);($86.04);0.0;
17;FReversalSwing(BUY);Buy to Open;29.0;$13.51;1/26/10;;($84.28);29.0;
18;FReversalSwing(BUY);Buy to Open;29.0;$13.37;1/29/10;;($96.49);58.0;
19;FReversalSwing(BUY);Buy to Open;30.0;$13.26;2/1/10;;($89.72);88.0;
20;FReversalSwing(SELL);Sell to Close;-88.0;$13.88;3/5/10;$43.82;($42.22);0.0;
21;FReversalSwing(BUY);Buy to Open;29.0;$13.64;4/26/10;;($51.91);29.0;
22;FReversalSwing(SELL);Sell to Close;-29.0;$11.52;6/30/10;($61.36);($103.57);0.0;
