Strategy report
Symbol: GOOG
Work Time: 12/19/06 - 9/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;34.0;$11.56;12/19/06;;$4.95;34.0;
2;FReversalSwing(BUY);Buy to Open;34.0;$11.56;12/21/06;;($11.30);68.0;
3;FReversalSwing(BUY);Buy to Open;35.0;$11.40;12/22/06;;($12.89);103.0;
4;FReversalSwing(SELL);Sell to Close;-103.0;$12.07;1/5/07;$58.33;$58.33;0.0;
5;FReversalSwing(BUY);Buy to Open;34.0;$11.54;2/12/07;;$55.27;34.0;
6;FReversalSwing(BUY);Buy to Open;34.0;$11.45;2/13/07;;$56.65;68.0;
7;FReversalSwing(BUY);Buy to Open;34.0;$11.47;2/14/07;;$74.05;102.0;
8;FReversalSwing(SELL);Sell to Close;-102.0;$11.62;3/27/07;$13.35;$71.68;0.0;
9;FReversalSwing(BUY);Buy to Open;31.0;$12.80;7/24/07;;$72.83;31.0;
10;FReversalSwing(BUY);Buy to Open;31.0;$12.84;7/25/07;;$66.27;62.0;
11;FReversalSwing(BUY);Buy to Open;31.0;$12.73;7/26/07;;$62.18;93.0;
12;FReversalSwing(SELL);Sell to Close;-93.0;$13.12;9/5/07;$30.34;$102.02;0.0;
13;FReversalSwing(BUY);Buy to Open;25.0;$15.39;1/17/08;;$92.55;25.0;
14;FReversalSwing(BUY);Buy to Open;26.0;$15.01;1/18/08;;$91.86;51.0;
15;FReversalSwing(BUY);Buy to Open;26.0;$14.99;1/22/08;;$61.28;77.0;
16;FReversalSwing(SELL);Sell to Close;-77.0;$12.69;2/5/08;($187.90);($85.88);0.0;
17;FReversalSwing(BUY);Buy to Open;29.0;$13.49;1/26/10;;($84.12);29.0;
18;FReversalSwing(BUY);Buy to Open;29.0;$13.35;1/29/10;;($96.31);58.0;
19;FReversalSwing(BUY);Buy to Open;30.0;$13.24;2/1/10;;($89.55);88.0;
20;FReversalSwing(SELL);Sell to Close;-88.0;$13.85;3/5/10;$43.75;($42.13);0.0;
21;FReversalSwing(BUY);Buy to Open;29.0;$13.61;4/26/10;;($51.80);29.0;
22;FReversalSwing(SELL);Sell to Close;-29.0;$11.50;6/30/10;($61.25);($103.38);0.0;
23;FReversalSwing(BUY);Buy to Open;28.0;$13.88;12/1/10;;($97.34);28.0;
24;FReversalSwing(BUY);Buy to Open;28.0;$14.10;12/2/10;;($86.89);56.0;
25;FReversalSwing(SELL);Sell to Close;-56.0;$14.86;12/15/10;$48.79;($54.59);0.0;
26;FReversalSwing(BUY);Buy to Open;26.0;$15.01;3/2/11;;($54.57);26.0;
27;FReversalSwing(BUY);Buy to Open;26.0;$15.01;3/3/11;;($43.17);52.0;
28;FReversalSwing(BUY);Buy to Open;27.0;$14.78;3/8/11;;($65.14);79.0;
29;FReversalSwing(SELL);Sell to Close;-79.0;$13.62;4/18/11;($103.35);($157.93);0.0;
30;FReversalSwing(BUY);Buy to Open;28.0;$14.06;11/28/11;;($140.31);28.0;
31;FReversalSwing(SELL);Sell to Close;-28.0;$14.97;12/1/11;$25.45;($132.48);0.0;
32;FReversalSwing(BUY);Buy to Open;27.0;$14.64;1/23/12;;($132.80);27.0;
33;FReversalSwing(BUY);Buy to Open;27.0;$14.63;1/24/12;;($138.99);54.0;
34;FReversalSwing(BUY);Buy to Open;27.0;$14.51;1/25/12;;($162.14);81.0;
35;FReversalSwing(SELL);Sell to Close;-81.0;$15.34;2/22/12;$60.41;($72.08);0.0;
36;FReversalSwing(BUY);Buy to Open;26.0;$15.14;4/17/12;;($69.80);26.0;
37;FReversalSwing(BUY);Buy to Open;26.0;$15.17;4/19/12;;($81.77);52.0;
38;FReversalSwing(BUY);Buy to Open;26.0;$14.97;4/20/12;;($88.08);78.0;
39;FReversalSwing(SELL);Sell to Close;-78.0;$15.71;5/17/12;$48.04;($24.03);0.0;
40;FReversalSwing(BUY);Buy to Open;23.0;$17.36;10/19/12;;($31.62);23.0;
41;FReversalSwing(BUY);Buy to Open;23.0;$17.03;10/22/12;;($35.21);46.0;
42;FReversalSwing(BUY);Buy to Open;23.0;$16.95;10/23/12;;($32.31);69.0;
43;FReversalSwing(SELL);Sell to Close;-69.0;$17.28;11/30/12;$11.61;($12.42);0.0;
44;FReversalSwing(BUY);Buy to Open;20.0;$19.56;4/8/13;;($16.52);20.0;
45;FReversalSwing(BUY);Buy to Open;20.0;$19.36;4/9/13;;($13.72);40.0;
46;FReversalSwing(BUY);Buy to Open;20.0;$19.43;4/10/13;;$5.06;60.0;
47;FReversalSwing(SELL);Sell to Close;-60.0;$20.18;4/24/13;$44.04;$31.62;0.0;
48;FReversalSwing(BUY);Buy to Open;18.0;$21.73;8/15/13;;$27.05;18.0;
49;FReversalSwing(BUY);Buy to Open;18.0;$21.47;8/16/13;;$24.58;36.0;
50;FReversalSwing(BUY);Buy to Open;18.0;$21.41;8/19/13;;$36.37;54.0;
51;FReversalSwing(SELL);Sell to Close;-54.0;$22.18;9/10/13;$34.98;$66.59;0.0;
52;FReversalSwing(BUY);Buy to Open;18.0;$21.32;10/9/13;;$67.58;18.0;
53;FReversalSwing(BUY);Buy to Open;18.0;$21.38;10/10/13;;$78.71;36.0;
54;FReversalSwing(SELL);Sell to Close;-36.0;$22.43;10/17/13;$38.91;$105.50;0.0;
55;FReversalSwing(BUY);Buy to Open;14.0;$27.16;4/7/14;;$102.01;14.0;
56;FReversalSwing(BUY);Buy to Open;14.0;$26.91;4/8/14;;$125.46;28.0;
57;FReversalSwing(BUY);Buy to Open;14.0;$27.75;4/9/14;;$144.86;42.0;
58;FReversalSwing(SELL);Sell to Close;-42.0;$27.25;5/23/14;($0.71);$104.79;0.0;
