Strategy report
Symbol: HD
Work Time: 8/5/86 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;1079.0;$0.37;8/5/86;;$2.96;1079.0;
2;FReversalSwing(BUY);Buy to Open;1095.0;$0.37;8/7/86;;$17.95;2174.0;
3;FReversalSwing(SELL);Sell to Close;-2174.0;$0.41;8/18/86;$89.54;$89.54;0.0;
4;FReversalSwing(BUY);Buy to Open;1026.0;$0.39;9/12/86;;$83.90;1026.0;
5;FReversalSwing(BUY);Buy to Open;1041.0;$0.38;9/15/86;;$95.25;2067.0;
6;FReversalSwing(BUY);Buy to Open;1026.0;$0.39;9/16/86;;$95.25;3093.0;
7;FReversalSwing(SELL);Sell to Close;-3093.0;$0.40;10/30/86;$39.68;$129.21;0.0;
8;FReversalSwing(BUY);Buy to Open;500.0;$0.80;5/25/88;;$125.10;500.0;
9;FReversalSwing(BUY);Buy to Open;506.0;$0.79;5/26/88;;$116.82;1006.0;
10;FReversalSwing(BUY);Buy to Open;511.0;$0.78;5/27/88;;$98.08;1517.0;
11;FReversalSwing(SELL);Sell to Close;-1517.0;$0.85;6/2/88;$87.52;$216.73;0.0;
12;FReversalSwing(BUY);Buy to Open;467.0;$0.86;7/25/88;;$212.88;467.0;
13;FReversalSwing(BUY);Buy to Open;471.0;$0.85;7/26/88;;$224.47;938.0;
14;FReversalSwing(BUY);Buy to Open;467.0;$0.86;7/28/88;;$237.96;1405.0;
15;FReversalSwing(SELL);Sell to Close;-1405.0;$0.91;8/1/88;$79.07;$295.80;0.0;
16;FReversalSwing(BUY);Buy to Open;471.0;$0.85;8/12/88;;$301.62;471.0;
17;FReversalSwing(BUY);Buy to Open;474.0;$0.84;8/17/88;;$286.08;945.0;
18;FReversalSwing(BUY);Buy to Open;478.0;$0.84;8/18/88;;$268.51;1423.0;
19;FReversalSwing(SELL);Sell to Close;-1423.0;$0.86;9/9/88;$19.57;$315.37;0.0;
20;FReversalSwing(BUY);Buy to Open;415.0;$0.96;1/24/89;;$318.78;415.0;
21;FReversalSwing(BUY);Buy to Open;418.0;$0.96;1/26/89;;$325.66;833.0;
22;FReversalSwing(SELL);Sell to Close;-833.0;$1.02;2/1/89;$54.88;$370.25;0.0;
23;FReversalSwing(BUY);Buy to Open;174.0;$2.30;8/22/90;;$363.80;174.0;
24;FReversalSwing(SELL);Sell to Close;-174.0;$2.33;10/23/90;$6.44;$376.69;0.0;
25;FReversalSwing(BUY);Buy to Open;153.0;$2.61;1/9/91;;$378.11;153.0;
