Strategy report
Symbol: HESAF
Work Time: 7/2/13 - 8/6/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;1.0;$321.10;7/2/13;;$5.64;1.0;
2;FReversalSwing(SELL);Sell to Close;-1.0;$350.00;8/13/13;$28.90;$28.90;0.0;
3;FReversalSwing(BUY);Buy to Open;1.0;$365.05;7/8/15;;$21.56;1.0;
4;FReversalSwing(BUY);Buy to Open;1.0;$357.71;7/9/15;;$33.94;2.0;
5;FReversalSwing(BUY);Buy to Open;1.0;$363.90;7/10/15;;$65.71;3.0;
6;FReversalSwing(SELL);Sell to Close;-3.0;$389.20;8/3/15;$80.94;$109.84;0.0;
7;FReversalSwing(BUY);Buy to Open;1.0;$364.71;8/20/15;;$97.48;1.0;
8;FReversalSwing(BUY);Buy to Open;1.0;$352.35;8/21/15;;$105.28;2.0;
9;FReversalSwing(BUY);Buy to Open;1.0;$356.25;8/24/15;;$115.02;3.0;
10;FReversalSwing(SELL);Sell to Close;-3.0;$385.80;10/12/15;$84.09;$193.93;0.0;
11;FReversalSwing(BUY);Buy to Open;1.0;$396.11;9/15/16;;$196.18;1.0;
12;FReversalSwing(BUY);Buy to Open;1.0;$398.36;9/19/16;;$199.32;2.0;
13;FReversalSwing(BUY);Buy to Open;1.0;$399.93;9/20/16;;$216.87;3.0;
14;FReversalSwing(SELL);Sell to Close;-3.0;$418.47;12/7/16;$61.01;$254.94;0.0;
15;FReversalSwing(BUY);Buy to Open;0.0;$502.00;9/20/17;;$254.94;0.0;
16;FReversalSwing(BUY);Buy to Open;0.0;$499.69;9/26/17;;$254.94;0.0;
17;FReversalSwing(BUY);Buy to Open;0.0;$501.15;9/27/17;;$254.94;0.0;
18;FReversalSwing(SELL);Sell to Close;0.0;$519.75;10/26/17;$0.00;$254.94;0.0;
19;FReversalSwing(BUY);Buy to Open;0.0;$580.00;10/11/18;;$254.94;0.0;
20;FReversalSwing(BUY);Buy to Open;0.0;$579.00;10/12/18;;$254.94;0.0;
21;FReversalSwing(BUY);Buy to Open;0.0;$578.20;10/17/18;;$254.94;0.0;
22;FReversalSwing(SELL);Sell to Close;0.0;$561.71;1/15/19;$0.00;$254.94;0.0;
23;FReversalSwing(BUY);Buy to Open;0.0;$680.04;8/6/19;;$254.94;0.0;
24;FReversalSwing(BUY);Buy to Open;0.0;$677.28;8/7/19;;$254.94;0.0;
25;FReversalSwing(BUY);Buy to Open;0.0;$669.69;8/20/19;;$254.94;0.0;
26;FReversalSwing(SELL);Sell to Close;0.0;$712.25;9/9/19;$0.00;$254.94;0.0;
27;FReversalSwing(BUY);Buy to Open;0.0;$662.00;10/4/19;;$254.94;0.0;
28;FReversalSwing(SELL);Sell to Close;0.0;$704.89;10/14/19;$0.00;$254.94;0.0;
29;FReversalSwing(BUY);Buy to Open;0.0;$729.70;2/25/20;;$254.94;0.0;
30;FReversalSwing(BUY);Buy to Open;0.0;$717.00;2/26/20;;$254.94;0.0;
31;FReversalSwing(BUY);Buy to Open;0.0;$723.11;2/27/20;;$254.94;0.0;
32;FReversalSwing(SELL);Sell to Close;0.0;$630.00;3/13/20;$0.00;$254.94;0.0;
33;FReversalSwing(BUY);Buy to Open;0.0;$815.00;8/3/20;;$254.94;0.0;
34;FReversalSwing(BUY);Buy to Open;0.0;$814.31;8/4/20;;$254.94;0.0;
35;FReversalSwing(BUY);Buy to Open;0.0;$808.40;8/5/20;;$254.94;0.0;
36;FReversalSwing(SELL);Sell to Close;0.0;$854.81;8/27/20;$0.00;$254.94;0.0;
37;FReversalSwing(BUY);Buy to Open;0.0;$1,519.08;1/14/22;;$254.94;0.0;
38;FReversalSwing(BUY);Buy to Open;0.0;$1,519.35;1/18/22;;$254.94;0.0;
39;FReversalSwing(BUY);Buy to Open;0.0;$1,556.52;1/19/22;;$254.94;0.0;
40;FReversalSwing(SELL);Sell to Close;0.0;$1,293.15;3/7/22;$0.00;$254.94;0.0;
41;FReversalSwing(BUY);Buy to Open;0.0;$1,955.10;9/7/23;;$254.94;0.0;
42;FReversalSwing(BUY);Buy to Open;0.0;$1,970.50;9/8/23;;$254.94;0.0;
43;FReversalSwing(SELL);Sell to Close;0.0;$1,929.00;11/3/23;$0.00;$254.94;0.0;
44;FReversalSwing(BUY);Buy to Open;0.0;$2,418.80;4/16/24;;$254.94;0.0;
45;FReversalSwing(SELL);Sell to Close;0.0;$2,535.75;5/6/24;$0.00;$254.94;0.0;
46;FReversalSwing(BUY);Buy to Open;0.0;$2,388.71;5/23/24;;$254.94;0.0;
47;FReversalSwing(BUY);Buy to Open;0.0;$2,354.01;5/24/24;;$254.94;0.0;
48;FReversalSwing(BUY);Buy to Open;0.0;$2,356.00;5/28/24;;$254.94;0.0;
49;FReversalSwing(SELL);Sell to Close;0.0;$2,128.42;8/6/24;$0.00;$254.94;0.0;


Max trade P/L: $84.09;

Total P/L: $254.94;

Total order(s): 14;
