Strategy report
Symbol: HESAY
Work Time: 6/21/13 - 8/6/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;12.0;$32.74;6/21/13;;($13.68);12.0;
2;FReversalSwing(SELL);Sell to Close;-12.0;$32.18;6/24/13;($6.72);($6.72);0.0;
3;FReversalSwing(BUY);Buy to Open;12.0;$32.40;6/28/13;;($12.36);12.0;
4;FReversalSwing(SELL);Sell to Close;-12.0;$31.93;7/1/13;($5.64);($12.36);0.0;
5;FReversalSwing(BUY);Buy to Open;12.0;$32.60;8/29/13;;($9.48);12.0;
6;FReversalSwing(SELL);Sell to Close;-12.0;$34.87;9/11/13;$27.24;$14.88;0.0;
7;FReversalSwing(BUY);Buy to Open;11.0;$34.00;11/1/13;;$16.86;11.0;
8;FReversalSwing(BUY);Buy to Open;11.0;$33.50;11/11/13;;$12.90;22.0;
9;FReversalSwing(BUY);Buy to Open;11.0;$33.66;11/12/13;;$12.90;33.0;
10;FReversalSwing(SELL);Sell to Close;-33.0;$34.80;12/2/13;$35.64;$50.52;0.0;
11;FReversalSwing(BUY);Buy to Open;11.0;$34.37;8/6/14;;$53.82;11.0;
12;FReversalSwing(BUY);Buy to Open;11.0;$34.32;8/11/14;;$55.50;22.0;
13;FReversalSwing(SELL);Sell to Close;-22.0;$32.38;9/5/14;($43.23);$7.29;0.0;
14;FReversalSwing(BUY);Buy to Open;10.0;$36.49;7/7/15;;($1.21);10.0;
15;FReversalSwing(BUY);Buy to Open;11.0;$35.64;7/8/15;;$5.30;21.0;
16;FReversalSwing(BUY);Buy to Open;11.0;$35.95;7/9/15;;$24.50;32.0;
17;FReversalSwing(SELL);Sell to Close;-32.0;$38.79;8/10/15;$88.89;$96.18;0.0;
18;FReversalSwing(BUY);Buy to Open;11.0;$35.08;8/21/15;;$104.06;11.0;
19;FReversalSwing(BUY);Buy to Open;11.0;$34.89;8/25/15;;$120.67;22.0;
20;FReversalSwing(BUY);Buy to Open;11.0;$34.87;9/3/15;;$112.09;33.0;
21;FReversalSwing(SELL);Sell to Close;-33.0;$38.41;10/12/15;$114.09;$210.27;0.0;
22;FReversalSwing(BUY);Buy to Open;11.0;$35.10;12/1/15;;$216.98;11.0;
23;FReversalSwing(SELL);Sell to Close;-11.0;$33.65;12/23/15;($15.95);$194.32;0.0;
24;FReversalSwing(BUY);Buy to Open;10.0;$39.71;9/15/16;;$195.74;10.0;
25;FReversalSwing(BUY);Buy to Open;10.0;$39.85;9/16/16;;$190.90;20.0;
26;FReversalSwing(BUY);Buy to Open;10.0;$39.61;9/19/16;;$204.40;30.0;
27;FReversalSwing(SELL);Sell to Close;-30.0;$41.76;11/9/16;$61.08;$255.40;0.0;
28;FReversalSwing(BUY);Buy to Open;10.0;$39.42;11/15/16;;$266.20;10.0;
29;FReversalSwing(SELL);Sell to Close;-10.0;$41.38;12/1/16;$19.60;$275.00;0.0;
30;FReversalSwing(BUY);Buy to Open;7.0;$50.56;9/15/17;;$272.27;7.0;
31;FReversalSwing(BUY);Buy to Open;7.0;$50.17;9/18/17;;$268.91;14.0;
32;FReversalSwing(BUY);Buy to Open;8.0;$49.93;9/19/17;;$290.91;22.0;
33;FReversalSwing(SELL);Sell to Close;-22.0;$52.18;10/25/17;$43.41;$318.41;0.0;
34;FReversalSwing(BUY);Buy to Open;7.0;$52.27;2/9/18;;$318.41;7.0;
35;FReversalSwing(BUY);Buy to Open;7.0;$52.27;2/12/18;;$339.55;14.0;
