Strategy report
Symbol: ICLN
Work Time: 1/14/11 - 9/9/21


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;60.0;$16.51;1/14/11;;($7.20);60.0;
2;keepbusy_cross(SELL);Sell to Close;-60.0;$16.42;1/18/11;($5.31);($5.31);0.0;
3;keepbusy_cross(Buy);Buy to Open;105.0;$9.47;3/9/18;;$2.04;105.0;
4;keepbusy_cross(SELL);Sell to Close;-105.0;$9.44;3/26/18;($2.75);($8.06);0.0;
5;keepbusy_cross(Buy);Buy to Open;102.0;$9.76;4/6/18;;($21.83);102.0;
6;keepbusy_cross(SELL);Sell to Close;-102.0;$9.72;5/29/18;($3.98);($12.04);0.0;
7;keepbusy_cross(Buy);Buy to Open;97.0;$10.23;6/7/19;;$5.42;97.0;
8;keepbusy_cross(SELL);Sell to Close;-97.0;$10.45;8/6/19;$21.70;$9.66;0.0;
9;keepbusy_cross(Buy);Buy to Open;43.0;$22.92;8/27/21;;$18.26;43.0;
10;keepbusy_cross(SELL);Sell to Close;-43.0;$22.94;9/9/21;$0.85;$10.50;0.0;


Max trade P/L: $21.70;

Total P/L: $10.50;

Total order(s): 5;
