Strategy report
Symbol: IR
Work Time: 8/27/21 - 11/8/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;19.0;$51.82;8/27/21;;$19.57;19.0;
2;keepbusy_cross(SELL);Sell to Close;-19.0;$51.04;10/1/21;($14.81);($14.81);0.0;
3;keepbusy_cross(Buy);Buy to Open;20.0;$48.63;10/28/22;;$21.59;20.0;
4;keepbusy_cross(SELL);Sell to Close;-20.0;$48.08;11/4/22;($11.00);($25.81);0.0;
5;keepbusy_cross(Buy);Buy to Open;9.0;$103.53;11/8/24;;($34.09);9.0;


Max trade P/L: ($11.00);

Total P/L: ($25.81);

Total order(s): 2;
