Strategy report
Symbol: JBT
Work Time: 7/12/13 - 8/4/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;42.0;$23.50;7/12/13;;($2.94);42.0;
2;keepbusy_cross(SELL);Sell to Close;-42.0;$22.32;8/8/13;($49.56);($49.56);0.0;
3;keepbusy_cross(Buy);Buy to Open;33.0;$29.81;10/31/14;;($44.28);33.0;
4;keepbusy_cross(SELL);Sell to Close;-33.0;$28.25;11/7/14;($51.48);($101.04);0.0;
5;keepbusy_cross(Buy);Buy to Open;9.0;$109.55;12/2/19;;($117.06);9.0;
6;keepbusy_cross(SELL);Sell to Close;-9.0;$106.38;12/4/19;($28.53);($129.57);0.0;
7;keepbusy_cross(Buy);Buy to Open;6.0;$161.99;11/5/21;;($108.39);6.0;
8;keepbusy_cross(SELL);Sell to Close;-6.0;$155.15;12/2/21;($41.02);($170.59);0.0;
9;keepbusy_cross(Buy);Buy to Open;8.0;$115.99;6/5/23;;($195.23);8.0;
10;keepbusy_cross(SELL);Sell to Close;-8.0;$112.91;8/4/23;($24.64);($195.23);0.0;


Max trade P/L: ($24.64);

Total P/L: ($195.23);

Total order(s): 5;
