Strategy report
Symbol: JNJ
Work Time: 9/12/86 - 11/6/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;99.0;$4.03;9/12/86;;($10.83);99.0;
2;FReversalSwing(BUY);Buy to Open;101.0;$3.92;9/15/86;;($4.58);200.0;
3;FReversalSwing(BUY);Buy to Open;101.0;$3.95;9/16/86;;($6.93);301.0;
4;FReversalSwing(SELL);Sell to Close;-301.0;$4.18;10/15/86;$63.62;$63.62;0.0;
5;FReversalSwing(BUY);Buy to Open;98.0;$4.08;11/19/86;;$70.51;98.0;
6;FReversalSwing(SELL);Sell to Close;-98.0;$4.39;11/25/86;$30.63;$94.24;0.0;
7;FReversalSwing(BUY);Buy to Open;77.0;$5.17;5/19/87;;$84.62;77.0;
8;FReversalSwing(BUY);Buy to Open;79.0;$5.05;5/20/87;;$101.68;156.0;
9;FReversalSwing(BUY);Buy to Open;77.0;$5.16;5/21/87;;$103.50;233.0;
10;FReversalSwing(SELL);Sell to Close;-233.0;$5.52;6/4/87;$91.17;$185.41;0.0;
11;FReversalSwing(BUY);Buy to Open;69.0;$5.75;9/17/87;;$187.57;69.0;
12;FReversalSwing(BUY);Buy to Open;69.0;$5.78;9/18/87;;$190.81;138.0;
13;FReversalSwing(BUY);Buy to Open;68.0;$5.80;9/21/87;;$148.96;206.0;
14;FReversalSwing(SELL);Sell to Close;-206.0;$6.09;10/2/87;$64.94;$250.35;0.0;
15;FReversalSwing(BUY);Buy to Open;70.0;$5.67;10/12/87;;$249.26;70.0;
16;FReversalSwing(BUY);Buy to Open;70.0;$5.66;10/13/87;;$251.45;140.0;
17;FReversalSwing(BUY);Buy to Open;70.0;$5.67;10/14/87;;$195.66;210.0;
18;FReversalSwing(SELL);Sell to Close;-210.0;$4.69;10/20/87;($205.63);$44.73;0.0;
19;FReversalSwing(BUY);Buy to Open;75.0;$5.27;11/14/88;;$41.21;75.0;
20;FReversalSwing(SELL);Sell to Close;-75.0;$5.23;11/15/88;($3.51);$41.22;0.0;
21;FReversalSwing(BUY);Buy to Open;74.0;$5.35;3/2/89;;$45.84;74.0;
22;FReversalSwing(SELL);Sell to Close;-74.0;$5.61;3/15/89;$19.08;$60.30;0.0;
23;FReversalSwing(BUY);Buy to Open;64.0;$6.17;8/22/89;;$65.30;64.0;
24;FReversalSwing(SELL);Sell to Close;-64.0;$6.55;9/1/89;$24.00;$84.30;0.0;
25;FReversalSwing(BUY);Buy to Open;63.0;$6.33;10/16/89;;$112.84;63.0;
26;FReversalSwing(SELL);Sell to Close;-63.0;$6.88;10/20/89;$34.45;$118.75;0.0;
27;FReversalSwing(BUY);Buy to Open;57.0;$7.02;1/18/90;;$122.31;57.0;
28;FReversalSwing(BUY);Buy to Open;57.0;$6.92;1/23/90;;$111.62;114.0;
29;FReversalSwing(BUY);Buy to Open;57.0;$6.91;1/24/90;;$90.25;171.0;
30;FReversalSwing(SELL);Sell to Close;-171.0;$7.05;2/16/90;$16.92;$135.67;0.0;
31;FReversalSwing(BUY);Buy to Open;47.0;$8.41;8/6/90;;$116.58;47.0;
32;FReversalSwing(BUY);Buy to Open;50.0;$8.00;8/7/90;;$131.73;97.0;
33;FReversalSwing(BUY);Buy to Open;49.0;$8.16;8/8/90;;$165.95;146.0;
34;FReversalSwing(SELL);Sell to Close;-146.0;$8.23;10/2/90;$7.47;$143.14;0.0;
35;FReversalSwing(BUY);Buy to Open;48.0;$8.33;1/8/91;;$146.89;48.0;
36;FReversalSwing(BUY);Buy to Open;47.0;$8.41;1/9/91;;$127.59;95.0;
37;FReversalSwing(BUY);Buy to Open;48.0;$8.20;1/10/91;;$158.88;143.0;
38;FReversalSwing(SELL);Sell to Close;-143.0;$8.94;1/18/91;$89.47;$232.61;0.0;
39;FReversalSwing(BUY);Buy to Open;37.0;$10.66;6/13/91;;$230.87;37.0;
40;FReversalSwing(BUY);Buy to Open;37.0;$10.61;6/14/91;;$236.66;74.0;
41;FReversalSwing(BUY);Buy to Open;37.0;$10.69;6/17/91;;$233.19;111.0;
42;FReversalSwing(SELL);Sell to Close;-111.0;$10.95;7/17/91;$33.53;$266.14;0.0;
43;FReversalSwing(BUY);Buy to Open;36.0;$10.88;8/20/91;;$267.27;36.0;
44;FReversalSwing(SELL);Sell to Close;-36.0;$11.39;8/23/91;$18.56;$284.70;0.0;
45;FReversalSwing(BUY);Buy to Open;36.0;$11.03;9/12/91;;$292.02;36.0;
46;FReversalSwing(BUY);Buy to Open;36.0;$10.94;10/3/91;;$277.95;72.0;
47;FReversalSwing(BUY);Buy to Open;36.0;$10.89;10/4/91;;$272.89;108.0;
48;FReversalSwing(SELL);Sell to Close;-108.0;$11.23;10/18/91;$30.38;$315.08;0.0;
49;FReversalSwing(BUY);Buy to Open;30.0;$12.91;1/30/92;;$325.39;30.0;
50;FReversalSwing(BUY);Buy to Open;31.0;$12.63;2/18/92;;$280.91;61.0;
51;FReversalSwing(BUY);Buy to Open;32.0;$12.20;2/19/92;;$292.53;93.0;
52;FReversalSwing(SELL);Sell to Close;-93.0;$12.59;4/13/92;$2.16;$317.23;0.0;
53;FReversalSwing(BUY);Buy to Open;32.0;$12.38;1/5/93;;$308.23;32.0;
54;FReversalSwing(SELL);Sell to Close;-32.0;$12.05;1/6/93;($10.39);$306.84;0.0;
