Strategy report
Symbol: JPM
Work Time: 5/12/89 - 10/10/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;35.0;$11.21;5/12/89;;$4.38;35.0;
2;FReversalSwing(SELL);Sell to Close;-35.0;$11.88;5/22/89;$23.33;$23.33;0.0;
3;FReversalSwing(BUY);Buy to Open;32.0;$12.17;9/15/89;;$22.00;32.0;
4;FReversalSwing(BUY);Buy to Open;32.0;$12.13;9/18/89;;$51.34;64.0;
5;FReversalSwing(SELL);Sell to Close;-64.0;$12.75;9/21/89;$38.67;$62.00;0.0;
6;FReversalSwing(BUY);Buy to Open;33.0;$11.83;10/16/89;;$77.13;33.0;
7;FReversalSwing(BUY);Buy to Open;32.0;$12.29;10/17/89;;$58.17;65.0;
8;FReversalSwing(BUY);Buy to Open;33.0;$12.00;10/18/89;;$62.25;98.0;
9;FReversalSwing(SELL);Sell to Close;-98.0;$10.90;10/25/89;($111.65);($49.65);0.0;
10;FReversalSwing(BUY);Buy to Open;47.0;$8.46;9/16/91;;($59.44);47.0;
11;FReversalSwing(BUY);Buy to Open;48.0;$8.25;9/17/91;;($39.65);95.0;
12;FReversalSwing(BUY);Buy to Open;47.0;$8.33;9/25/91;;($45.60);142.0;
13;FReversalSwing(SELL);Sell to Close;-142.0;$8.71;10/16/91;$51.38;$1.73;0.0;
14;FReversalSwing(BUY);Buy to Open;50.0;$7.88;11/19/91;;($12.85);50.0;
15;FReversalSwing(BUY);Buy to Open;52.0;$7.58;11/20/91;;($4.35);102.0;
16;FReversalSwing(BUY);Buy to Open;52.0;$7.67;11/21/91;;($23.60);154.0;
17;FReversalSwing(SELL);Sell to Close;-154.0;$6.79;12/6/91;($140.81);($139.08);0.0;
18;FReversalSwing(BUY);Buy to Open;36.0;$10.88;8/11/92;;($127.08);36.0;
19;FReversalSwing(BUY);Buy to Open;36.0;$10.92;8/20/92;;($116.58);72.0;
20;FReversalSwing(BUY);Buy to Open;37.0;$10.71;8/25/92;;($175.29);109.0;
21;FReversalSwing(SELL);Sell to Close;-109.0;$10.92;10/2/92;$9.21;($129.87);0.0;
22;FReversalSwing(BUY);Buy to Open;30.0;$13.29;3/25/93;;($128.62);30.0;
23;FReversalSwing(BUY);Buy to Open;30.0;$12.96;4/5/93;;($119.87);60.0;
24;FReversalSwing(SELL);Sell to Close;-60.0;$14.13;4/13/93;$60.00;($69.86);0.0;
25;FReversalSwing(BUY);Buy to Open;31.0;$12.63;4/26/93;;($80.20);31.0;
26;FReversalSwing(BUY);Buy to Open;31.0;$12.63;4/28/93;;($62.11);62.0;
27;FReversalSwing(SELL);Sell to Close;-62.0;$12.96;6/15/93;$20.67;($49.20);0.0;
28;FReversalSwing(BUY);Buy to Open;30.0;$13.17;8/20/93;;($50.45);30.0;
29;FReversalSwing(BUY);Buy to Open;30.0;$13.17;8/24/93;;($31.70);60.0;
30;FReversalSwing(SELL);Sell to Close;-60.0;$13.67;9/8/93;$30.00;($19.20);0.0;
31;FReversalSwing(BUY);Buy to Open;28.0;$14.00;10/19/93;;($29.70);28.0;
32;FReversalSwing(BUY);Buy to Open;29.0;$13.63;10/20/93;;($20.20);57.0;
33;FReversalSwing(BUY);Buy to Open;29.0;$13.79;10/21/93;;($2.28);86.0;
34;FReversalSwing(SELL);Sell to Close;-86.0;$12.70;11/5/93;($94.78);($113.98);0.0;
35;FReversalSwing(BUY);Buy to Open;21.0;$18.75;1/5/96;;($115.73);21.0;
36;FReversalSwing(BUY);Buy to Open;21.0;$18.67;1/8/96;;($115.73);42.0;
