Strategy report
Symbol: KIM
Work Time: 11/13/92 - 1/28/25


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DTSreversal(BUY);Buy to Open;412.0;$6.06;11/13/92;;$22.89;412.0;
2;DTSreversal(SELL);Sell to Close;-412.0;$6.25;12/2/92;$80.12;$80.12;0.0;
3;DTSreversal(BUY);Buy to Open;351.0;$7.11;3/3/93;;$89.87;351.0;
4;DTSreversal(BUY);Buy to Open;354.0;$7.06;3/9/93;;$41.04;705.0;
5;DTSreversal(BUY);Buy to Open;355.0;$7.03;3/10/93;;$41.04;1060.0;
6;DTSreversal(SELL);Sell to Close;-1060.0;$7.33;3/29/93;$284.84;$364.96;0.0;
7;DTSreversal(BUY);Buy to Open;347.0;$7.20;5/12/93;;$413.16;347.0;
8;DTSreversal(BUY);Buy to Open;347.0;$7.20;5/25/93;;$268.56;694.0;
9;DTSreversal(BUY);Buy to Open;354.0;$7.06;5/26/93;;$93.88;1048.0;
10;DTSreversal(SELL);Sell to Close;-1048.0;$7.33;6/21/93;$194.75;$559.71;0.0;
11;DTSreversal(BUY);Buy to Open;308.0;$8.11;9/29/93;;$593.93;308.0;
12;DTSreversal(BUY);Buy to Open;308.0;$8.11;10/8/93;;$508.37;616.0;
13;DTSreversal(BUY);Buy to Open;311.0;$8.03;10/11/93;;$508.37;927.0;
14;DTSreversal(SELL);Sell to Close;-927.0;$7.61;12/29/93;($437.63);$122.08;0.0;
15;DTSreversal(BUY);Buy to Open;313.0;$7.97;4/4/94;;$113.39;313.0;
16;DTSreversal(BUY);Buy to Open;314.0;$7.95;4/6/94;;$130.80;627.0;
17;DTSreversal(BUY);Buy to Open;313.0;$7.97;4/7/94;;$130.80;940.0;
18;DTSreversal(SELL);Sell to Close;-940.0;$8.17;5/16/94;$191.52;$313.60;0.0;
19;DTSreversal(BUY);Buy to Open;309.0;$8.08;8/26/94;;$296.43;309.0;
20;DTSreversal(BUY);Buy to Open;311.0;$8.03;8/29/94;;$330.88;620.0;
21;DTSreversal(BUY);Buy to Open;309.0;$8.08;8/30/94;;$356.68;929.0;
22;DTSreversal(SELL);Sell to Close;-929.0;$8.22;9/20/94;$146.32;$459.91;0.0;
23;DTSreversal(BUY);Buy to Open;298.0;$8.36;4/7/95;;$476.47;298.0;
24;DTSreversal(BUY);Buy to Open;298.0;$8.36;4/12/95;;$459.91;596.0;
25;DTSreversal(BUY);Buy to Open;298.0;$8.36;4/13/95;;$459.91;894.0;
26;DTSreversal(SELL);Sell to Close;-894.0;$8.45;5/8/95;$74.51;$534.42;0.0;
27;DTSreversal(BUY);Buy to Open;297.0;$8.39;6/9/95;;$567.42;297.0;
28;DTSreversal(SELL);Sell to Close;-297.0;$8.64;6/15/95;$74.26;$608.68;0.0;
29;DTSreversal(BUY);Buy to Open;296.0;$8.45;7/3/95;;$629.23;296.0;
30;DTSreversal(BUY);Buy to Open;296.0;$8.45;7/17/95;;$625.12;592.0;
31;DTSreversal(SELL);Sell to Close;-592.0;$8.67;7/26/95;$131.57;$740.24;0.0;
32;DTSreversal(BUY);Buy to Open;282.0;$8.86;9/19/95;;$732.41;282.0;
33;DTSreversal(BUY);Buy to Open;282.0;$8.83;9/20/95;;$763.74;564.0;
34;DTSreversal(BUY);Buy to Open;285.0;$8.75;10/10/95;;$661.81;849.0;
35;DTSreversal(SELL);Sell to Close;-849.0;$8.42;10/23/95;($337.87);$402.37;0.0;
36;DTSreversal(BUY);Buy to Open;281.0;$8.88;1/12/96;;$414.08;281.0;
37;DTSreversal(BUY);Buy to Open;280.0;$8.92;1/15/96;;$460.84;561.0;
38;DTSreversal(BUY);Buy to Open;281.0;$8.88;1/26/96;;$355.62;842.0;
39;DTSreversal(SELL);Sell to Close;-842.0;$8.67;2/5/96;($187.09);$215.28;0.0;
40;DTSreversal(BUY);Buy to Open;277.0;$9.00;7/11/96;;$226.83;277.0;
41;DTSreversal(BUY);Buy to Open;279.0;$8.96;7/16/96;;$157.40;556.0;
42;DTSreversal(SELL);Sell to Close;-556.0;$9.42;7/19/96;$243.31;$458.59;0.0;
43;DTSreversal(BUY);Buy to Open;259.0;$9.63;11/1/96;;$490.97;259.0;
44;DTSreversal(BUY);Buy to Open;260.0;$9.58;11/15/96;;$382.92;519.0;
45;DTSreversal(BUY);Buy to Open;264.0;$9.46;11/18/96;;$415.54;783.0;
46;DTSreversal(SELL);Sell to Close;-783.0;$9.83;12/3/96;$217.97;$676.56;0.0;
47;DTSreversal(BUY);Buy to Open;228.0;$10.96;3/19/97;;$695.56;228.0;
48;DTSreversal(SELL);Sell to Close;-228.0;$11.25;3/27/97;$66.50;$743.06;0.0;
49;DTSreversal(BUY);Buy to Open;230.0;$10.83;4/1/97;;$723.90;230.0;
50;DTSreversal(BUY);Buy to Open;232.0;$10.75;4/2/97;;$569.89;462.0;
