Strategy report
Symbol: LW
Work Time: 5/19/17 - 4/2/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;22.0;$43.94;5/19/17;;$9.68;22.0;
2;keepbusy_cross(SELL);Sell to Close;-22.0;$44.02;7/3/17;$1.73;$1.73;0.0;
3;keepbusy_cross(Buy);Buy to Open;20.0;$48.59;10/6/17;;$12.53;20.0;
4;keepbusy_cross(SELL);Sell to Close;-20.0;$53.31;1/5/18;$94.41;$96.15;0.0;
5;keepbusy_cross(Buy);Buy to Open;14.0;$67.29;6/22/18;;$104.41;14.0;
6;keepbusy_cross(SELL);Sell to Close;-14.0;$66.73;8/17/18;($7.84);$88.31;0.0;
7;keepbusy_cross(Buy);Buy to Open;11.0;$86.15;11/28/22;;$80.83;11.0;
8;keepbusy_cross(SELL);Sell to Close;-11.0;$96.47;3/14/23;$113.48;$201.79;0.0;
9;keepbusy_cross(Buy);Buy to Open;9.0;$106.53;4/1/24;;$187.84;9.0;
10;keepbusy_cross(SELL);Sell to Close;-9.0;$103.57;4/2/24;($26.64);$175.15;0.0;


Max trade P/L: $113.48;

Total P/L: $175.15;

Total order(s): 5;
