Strategy report
Symbol: MA
Work Time: 10/2/09 - 7/18/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;20.0;$19.94;10/2/09;;$0.56;20.0;
2;FReversalSwing(BUY);Buy to Open;20.0;$19.97;10/5/09;;$3.92;40.0;
3;FReversalSwing(SELL);Sell to Close;-40.0;$21.44;10/12/09;$59.48;$59.48;0.0;
4;FReversalSwing(BUY);Buy to Open;18.0;$22.21;2/5/10;;$57.01;18.0;
5;FReversalSwing(BUY);Buy to Open;18.0;$22.07;2/8/10;;$77.39;36.0;
6;FReversalSwing(BUY);Buy to Open;17.0;$22.64;2/9/10;;$61.75;53.0;
7;FReversalSwing(SELL);Sell to Close;-53.0;$23.95;3/8/10;$87.55;$147.03;0.0;
8;FReversalSwing(BUY);Buy to Open;16.0;$23.79;5/6/10;;$134.81;16.0;
9;FReversalSwing(BUY);Buy to Open;17.0;$23.26;5/13/10;;$137.50;33.0;
10;FReversalSwing(SELL);Sell to Close;-33.0;$19.68;6/7/10;($126.66);$20.37;0.0;
11;FReversalSwing(BUY);Buy to Open;12.0;$31.09;10/4/11;;$16.51;12.0;
12;FReversalSwing(BUY);Buy to Open;13.0;$30.77;10/5/11;;$30.68;25.0;
13;FReversalSwing(SELL);Sell to Close;-25.0;$33.60;10/14/11;$66.96;$87.33;0.0;
14;FReversalSwing(BUY);Buy to Open;11.0;$33.91;1/17/12;;$94.91;11.0;
15;FReversalSwing(BUY);Buy to Open;11.0;$34.07;1/23/12;;$85.55;22.0;
16;FReversalSwing(BUY);Buy to Open;11.0;$33.91;1/24/12;;$97.50;33.0;
17;FReversalSwing(SELL);Sell to Close;-33.0;$38.16;2/3/12;$138.50;$225.84;0.0;
18;FReversalSwing(BUY);Buy to Open;10.0;$39.46;5/21/12;;$241.86;10.0;
19;FReversalSwing(BUY);Buy to Open;10.0;$39.18;6/4/12;;$240.02;20.0;
20;FReversalSwing(BUY);Buy to Open;9.0;$40.03;6/5/12;;$263.04;29.0;
21;FReversalSwing(SELL);Sell to Close;-29.0;$42.67;6/18/12;$90.83;$316.66;0.0;
22;FReversalSwing(BUY);Buy to Open;9.0;$40.99;7/25/12;;$318.86;9.0;
23;FReversalSwing(SELL);Sell to Close;-9.0;$43.68;7/30/12;$24.17;$340.84;0.0;
24;FReversalSwing(BUY);Buy to Open;8.0;$44.94;10/26/12;;$343.73;8.0;
25;FReversalSwing(SELL);Sell to Close;-8.0;$46.87;11/2/12;$15.46;$356.30;0.0;
26;FReversalSwing(BUY);Buy to Open;5.0;$73.71;3/27/14;;$354.45;5.0;
27;FReversalSwing(BUY);Buy to Open;5.0;$73.34;3/28/14;;$353.25;10.0;
28;FReversalSwing(BUY);Buy to Open;5.0;$73.22;3/31/14;;$375.45;15.0;
29;FReversalSwing(SELL);Sell to Close;-15.0;$75.63;5/22/14;$33.10;$389.40;0.0;
30;FReversalSwing(BUY);Buy to Open;4.0;$83.27;1/6/15;;$388.68;4.0;
31;FReversalSwing(BUY);Buy to Open;4.0;$83.09;1/7/15;;$397.72;8.0;
32;FReversalSwing(BUY);Buy to Open;4.0;$82.25;1/16/15;;$400.56;12.0;
33;FReversalSwing(SELL);Sell to Close;-12.0;$85.82;2/6/15;$35.40;$424.80;0.0;
34;FReversalSwing(BUY);Buy to Open;4.0;$94.56;8/21/15;;$409.28;4.0;
35;FReversalSwing(BUY);Buy to Open;4.0;$90.68;8/24/15;;$386.48;8.0;
36;FReversalSwing(SELL);Sell to Close;-8.0;$82.74;8/25/15;($79.03);$345.77;0.0;
37;FReversalSwing(BUY);Buy to Open;4.0;$95.96;12/4/15;;$356.73;4.0;
38;FReversalSwing(BUY);Buy to Open;4.0;$94.83;12/14/15;;$353.01;8.0;
39;FReversalSwing(SELL);Sell to Close;-8.0;$100.04;12/17/15;$37.16;$382.93;0.0;
40;FReversalSwing(BUY);Buy to Open;4.0;$94.81;1/5/16;;$383.65;4.0;
41;FReversalSwing(SELL);Sell to Close;-4.0;$87.78;1/20/16;($28.10);$354.83;0.0;
42;FReversalSwing(BUY);Buy to Open;3.0;$100.18;12/2/16;;$357.59;3.0;
43;FReversalSwing(SELL);Sell to Close;-3.0;$105.39;1/4/17;$15.63;$370.46;0.0;
44;FReversalSwing(BUY);Buy to Open;3.0;$105.00;2/2/17;;$370.88;3.0;
45;FReversalSwing(BUY);Buy to Open;3.0;$105.14;2/3/17;;$379.52;6.0;
46;FReversalSwing(SELL);Sell to Close;-6.0;$108.28;2/14/17;$19.26;$389.72;0.0;
47;FReversalSwing(BUY);Buy to Open;2.0;$196.69;10/11/18;;$385.36;2.0;
48;FReversalSwing(BUY);Buy to Open;2.0;$194.51;10/12/18;;$424.20;4.0;
49;FReversalSwing(BUY);Buy to Open;1.0;$200.32;10/16/18;;$445.90;5.0;
50;FReversalSwing(SELL);Sell to Close;-5.0;$208.86;11/9/18;$61.58;$451.30;0.0;
51;FReversalSwing(BUY);Buy to Open;1.0;$256.84;8/6/19;;$459.14;1.0;
52;FReversalSwing(SELL);Sell to Close;-1.0;$278.04;8/9/19;$21.20;$472.50;0.0;
53;FReversalSwing(BUY);Buy to Open;1.0;$264.48;10/3/19;;$476.31;1.0;
54;FReversalSwing(SELL);Sell to Close;-1.0;$278.56;10/16/19;$14.08;$486.58;0.0;
55;FReversalSwing(BUY);Buy to Open;1.0;$261.26;10/23/19;;$486.17;1.0;
56;FReversalSwing(BUY);Buy to Open;1.0;$260.85;10/24/19;;$501.97;2.0;
57;FReversalSwing(SELL);Sell to Close;-2.0;$279.05;11/4/19;$35.99;$522.57;0.0;
58;FReversalSwing(BUY);Buy to Open;1.0;$302.89;2/26/20;;$517.72;1.0;
59;FReversalSwing(BUY);Buy to Open;1.0;$298.04;2/27/20;;$493.28;2.0;
60;FReversalSwing(BUY);Buy to Open;1.0;$285.82;2/28/20;;$506.57;3.0;
61;FReversalSwing(SELL);Sell to Close;-3.0;$244.53;3/13/20;($153.16);$369.41;0.0;
62;FReversalSwing(BUY);Buy to Open;1.0;$318.06;10/27/20;;$368.46;1.0;
63;FReversalSwing(BUY);Buy to Open;1.0;$317.11;10/28/20;;$317.00;2.0;
64;FReversalSwing(SELL);Sell to Close;-2.0;$288.04;10/30/20;($59.10);$310.31;0.0;
65;FReversalSwing(BUY);Buy to Open;1.0;$326.93;1/15/21;;$306.64;1.0;
66;FReversalSwing(BUY);Buy to Open;1.0;$323.26;1/19/21;;$312.00;2.0;
67;FReversalSwing(BUY);Buy to Open;1.0;$325.94;1/20/21;;$338.91;3.0;
68;FReversalSwing(SELL);Sell to Close;-3.0;$340.83;2/5/21;$46.36;$356.67;0.0;
69;FReversalSwing(BUY);Buy to Open;1.0;$356.62;5/13/21;;$360.07;1.0;
70;FReversalSwing(BUY);Buy to Open;1.0;$360.02;5/14/21;;$367.85;2.0;
71;FReversalSwing(SELL);Sell to Close;-2.0;$373.09;6/22/21;$29.54;$386.21;0.0;
72;FReversalSwing(BUY);Buy to Open;1.0;$361.98;8/13/21;;$386.98;1.0;
73;FReversalSwing(BUY);Buy to Open;1.0;$362.75;8/16/21;;$388.60;2.0;
74;FReversalSwing(BUY);Buy to Open;1.0;$360.95;8/19/21;;$372.46;3.0;
75;FReversalSwing(SELL);Sell to Close;-3.0;$358.16;9/27/21;($11.20);$375.01;0.0;
76;FReversalSwing(BUY);Buy to Open;1.0;$355.96;2/22/23;;$374.02;1.0;
77;FReversalSwing(BUY);Buy to Open;1.0;$354.97;2/23/23;;$375.14;2.0;
78;FReversalSwing(BUY);Buy to Open;1.0;$355.53;2/24/23;;$367.91;3.0;
79;FReversalSwing(SELL);Sell to Close;-3.0;$366.93;3/7/23;$34.33;$409.34;0.0;
80;FReversalSwing(BUY);Buy to Open;1.0;$365.02;6/1/23;;$415.20;1.0;
81;FReversalSwing(SELL);Sell to Close;-1.0;$379.81;6/26/23;$14.79;$424.13;0.0;
82;FReversalSwing(BUY);Buy to Open;1.0;$395.38;9/27/23;;$424.23;1.0;
83;FReversalSwing(BUY);Buy to Open;1.0;$395.48;9/28/23;;$432.15;2.0;
84;FReversalSwing(BUY);Buy to Open;1.0;$395.91;10/2/23;;$424.91;3.0;
85;FReversalSwing(SELL);Sell to Close;-3.0;$394.38;11/13/23;($3.63);$420.50;0.0;
86;FReversalSwing(BUY);Buy to Open;0.0;$459.79;4/16/24;;$420.50;0.0;
87;FReversalSwing(BUY);Buy to Open;0.0;$459.82;4/17/24;;$420.50;0.0;
88;FReversalSwing(BUY);Buy to Open;0.0;$460.16;4/18/24;;$420.50;0.0;
89;FReversalSwing(SELL);Sell to Close;0.0;$454.85;6/24/24;$0.00;$420.50;0.0;
90;FReversalSwing(BUY);Buy to Open;0.0;$442.75;6/28/24;;$420.50;0.0;
91;FReversalSwing(BUY);Buy to Open;0.0;$441.16;7/1/24;;$420.50;0.0;
92;FReversalSwing(BUY);Buy to Open;0.0;$437.61;7/2/24;;$420.50;0.0;
93;FReversalSwing(SELL);Sell to Close;0.0;$451.16;7/18/24;$0.00;$420.50;0.0;


Max trade P/L: $138.50;

Total P/L: $420.50;

Total order(s): 29;
