Strategy report
Symbol: MCD
Work Time: 8/4/86 - 12/20/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;75.0;$5.27;8/4/86;;($4.69);75.0;
2;FReversalSwing(BUY);Buy to Open;76.0;$5.21;8/5/86;;($10.98);151.0;
3;FReversalSwing(BUY);Buy to Open;77.0;$5.17;8/6/86;;($37.10);228.0;
4;FReversalSwing(SELL);Sell to Close;-228.0;$5.15;10/17/86;($15.73);($15.73);0.0;
5;FReversalSwing(BUY);Buy to Open;63.0;$6.25;4/15/87;;($9.82);63.0;
6;FReversalSwing(SELL);Sell to Close;-63.0;$6.67;5/1/87;$26.25;$10.52;0.0;
7;FReversalSwing(BUY);Buy to Open;63.0;$6.27;5/21/87;;$15.77;63.0;
8;FReversalSwing(SELL);Sell to Close;-63.0;$6.79;6/4/87;$32.81;$43.34;0.0;
9;FReversalSwing(BUY);Buy to Open;61.0;$6.53;7/14/87;;$49.05;61.0;
10;FReversalSwing(BUY);Buy to Open;61.0;$6.48;7/21/87;;$46.20;122.0;
11;FReversalSwing(SELL);Sell to Close;-122.0;$6.83;7/29/87;$39.08;$82.41;0.0;
12;FReversalSwing(BUY);Buy to Open;58.0;$6.88;9/8/87;;$82.41;58.0;
13;FReversalSwing(BUY);Buy to Open;58.0;$6.88;9/9/87;;$91.48;116.0;
14;FReversalSwing(BUY);Buy to Open;58.0;$6.86;9/21/87;;$56.13;174.0;
15;FReversalSwing(SELL);Sell to Close;-174.0;$5.97;10/13/87;($157.23);($74.82);0.0;
16;FReversalSwing(BUY);Buy to Open;64.0;$6.17;3/21/89;;($71.82);64.0;
17;FReversalSwing(BUY);Buy to Open;66.0;$6.05;3/27/89;;($70.63);130.0;
18;FReversalSwing(SELL);Sell to Close;-130.0;$6.44;3/31/89;$42.78;($32.04);0.0;
19;FReversalSwing(BUY);Buy to Open;49.0;$8.03;1/15/90;;($36.63);49.0;
20;FReversalSwing(BUY);Buy to Open;50.0;$7.94;1/16/90;;($27.35);99.0;
21;FReversalSwing(BUY);Buy to Open;49.0;$8.03;1/17/90;;($27.35);148.0;
22;FReversalSwing(SELL);Sell to Close;-148.0;$8.28;2/2/90;$41.69;$9.65;0.0;
23;FReversalSwing(BUY);Buy to Open;51.0;$7.81;2/22/90;;$9.65;51.0;
24;FReversalSwing(BUY);Buy to Open;51.0;$7.81;2/23/90;;($3.10);102.0;
25;FReversalSwing(SELL);Sell to Close;-102.0;$8.19;3/20/90;$38.25;$47.90;0.0;
26;FReversalSwing(BUY);Buy to Open;48.0;$8.25;7/24/90;;$50.90;48.0;
27;FReversalSwing(BUY);Buy to Open;48.0;$8.31;7/25/90;;$50.90;96.0;
28;FReversalSwing(BUY);Buy to Open;48.0;$8.31;7/26/90;;$28.40;144.0;
29;FReversalSwing(SELL);Sell to Close;-144.0;$7.58;8/3/90;($102.29);($54.39);0.0;
30;FReversalSwing(BUY);Buy to Open;48.0;$8.19;5/16/91;;($51.39);48.0;
