Strategy report
Symbol: META
Work Time: 1/16/15 - 11/8/21


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;5.0;$74.05;1/16/15;;$5.65;5.0;
2;FReversalSwing(SELL);Sell to Close;-5.0;$79.42;2/20/15;$26.85;$26.85;0.0;
3;FReversalSwing(BUY);Buy to Open;5.0;$78.77;5/1/15;;$27.95;5.0;
4;FReversalSwing(BUY);Buy to Open;5.0;$78.99;5/4/15;;$26.15;10.0;
5;FReversalSwing(BUY);Buy to Open;5.0;$78.81;5/5/15;;$7.40;15.0;
6;FReversalSwing(SELL);Sell to Close;-15.0;$81.37;5/15/15;$37.70;$64.55;0.0;
7;FReversalSwing(BUY);Buy to Open;4.0;$86.06;8/24/15;;$48.67;4.0;
8;FReversalSwing(SELL);Sell to Close;-4.0;$74.91;8/25/15;($44.59);$19.96;0.0;
9;FReversalSwing(BUY);Buy to Open;4.0;$83.00;8/26/15;;$36.72;4.0;
10;FReversalSwing(SELL);Sell to Close;-4.0;$92.90;9/16/15;$39.60;$59.56;0.0;
11;FReversalSwing(BUY);Buy to Open;4.0;$86.67;9/30/15;;$72.48;4.0;
12;FReversalSwing(SELL);Sell to Close;-4.0;$94.01;10/6/15;$29.36;$88.92;0.0;
13;FReversalSwing(BUY);Buy to Open;4.0;$97.92;1/8/16;;$86.56;4.0;
14;FReversalSwing(BUY);Buy to Open;4.0;$97.33;1/11/16;;$88.00;8.0;
15;FReversalSwing(BUY);Buy to Open;4.0;$97.51;1/12/16;;$110.32;12.0;
16;FReversalSwing(SELL);Sell to Close;-12.0;$109.11;1/29/16;$138.28;$227.20;0.0;
17;FReversalSwing(BUY);Buy to Open;3.0;$113.95;6/14/16;;$230.17;3.0;
18;FReversalSwing(BUY);Buy to Open;3.0;$114.39;6/17/16;;$220.30;6.0;
19;FReversalSwing(BUY);Buy to Open;3.0;$113.02;6/20/16;;$223.45;9.0;
20;FReversalSwing(SELL);Sell to Close;-9.0;$116.70;7/7/16;$26.22;$253.42;0.0;
21;FReversalSwing(BUY);Buy to Open;3.0;$120.00;11/4/16;;$255.67;3.0;
22;FReversalSwing(BUY);Buy to Open;3.0;$120.75;11/7/16;;$264.07;6.0;
23;FReversalSwing(BUY);Buy to Open;3.0;$122.15;11/8/16;;$282.70;9.0;
24;FReversalSwing(SELL);Sell to Close;-9.0;$120.67;1/6/17;($2.67);$250.75;0.0;
25;FReversalSwing(BUY);Buy to Open;2.0;$162.87;9/26/17;;$253.43;2.0;
26;FReversalSwing(BUY);Buy to Open;2.0;$164.21;9/27/17;;$267.31;4.0;
27;FReversalSwing(SELL);Sell to Close;-4.0;$172.23;10/9/17;$34.76;$285.51;0.0;
28;FReversalSwing(BUY);Buy to Open;2.0;$171.47;12/5/17;;$288.23;2.0;
29;FReversalSwing(SELL);Sell to Close;-2.0;$180.14;12/8/17;$17.34;$302.85;0.0;
30;FReversalSwing(BUY);Buy to Open;2.0;$171.58;2/9/18;;$311.91;2.0;
31;FReversalSwing(BUY);Buy to Open;2.0;$173.15;2/14/18;;$331.47;4.0;
32;FReversalSwing(SELL);Sell to Close;-4.0;$184.93;2/27/18;$50.26;$353.11;0.0;
33;FReversalSwing(BUY);Buy to Open;2.0;$172.56;3/20/18;;$344.29;2.0;
34;FReversalSwing(SELL);Sell to Close;-2.0;$152.75;3/27/18;($39.62);$313.49;0.0;
35;FReversalSwing(BUY);Buy to Open;2.0;$189.02;8/5/19;;$298.91;2.0;
36;FReversalSwing(BUY);Buy to Open;2.0;$181.73;8/6/19;;$310.03;4.0;
37;FReversalSwing(BUY);Buy to Open;2.0;$184.51;8/7/19;;$313.87;6.0;
38;FReversalSwing(SELL);Sell to Close;-6.0;$190.90;9/6/19;$34.88;$348.37;0.0;
39;FReversalSwing(BUY);Buy to Open;2.0;$180.11;9/27/19;;$342.35;2.0;
40;FReversalSwing(BUY);Buy to Open;2.0;$177.10;9/30/19;;$346.27;4.0;
41;FReversalSwing(BUY);Buy to Open;2.0;$178.08;10/1/19;;$332.65;6.0;
42;FReversalSwing(SELL);Sell to Close;-6.0;$173.23;10/3/19;($31.22);$317.15;0.0;
43;FReversalSwing(BUY);Buy to Open;1.0;$201.91;2/3/20;;$319.43;1.0;
44;FReversalSwing(BUY);Buy to Open;1.0;$204.19;2/4/20;;$330.71;2.0;
45;FReversalSwing(SELL);Sell to Close;-2.0;$217.80;2/19/20;$29.50;$346.65;0.0;
46;FReversalSwing(BUY);Buy to Open;1.0;$200.72;2/25/20;;$342.70;1.0;
47;FReversalSwing(BUY);Buy to Open;2.0;$196.77;2/26/20;;$343.99;3.0;
48;FReversalSwing(BUY);Buy to Open;2.0;$197.20;2/27/20;;$306.74;5.0;
49;FReversalSwing(SELL);Sell to Close;-5.0;$177.97;3/9/20;($98.79);$247.86;0.0;
50;FReversalSwing(BUY);Buy to Open;1.0;$248.15;9/22/20;;$254.46;1.0;
51;FReversalSwing(BUY);Buy to Open;1.0;$249.02;9/24/20;;$249.75;2.0;
52;FReversalSwing(BUY);Buy to Open;1.0;$249.53;9/25/20;;$265.62;3.0;
53;FReversalSwing(SELL);Sell to Close;-3.0;$275.75;10/13/20;$80.55;$328.41;0.0;
54;FReversalSwing(BUY);Buy to Open;1.0;$263.31;1/7/21;;$333.84;1.0;
