Strategy report
Symbol: MKC
Work Time: 5/16/91 - 11/15/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DTSreversal(BUY);Buy to Open;571.0;$4.38;5/16/91;;$62.45;571.0;
2;DTSreversal(SELL);Sell to Close;-571.0;$4.77;5/29/91;$223.05;$223.05;0.0;
3;DTSreversal(BUY);Buy to Open;487.0;$5.13;9/18/91;;$86.08;487.0;
4;DTSreversal(BUY);Buy to Open;516.0;$4.84;9/19/91;;$211.45;1003.0;
5;DTSreversal(BUY);Buy to Open;503.0;$4.97;9/20/91;;$211.45;1506.0;
6;DTSreversal(SELL);Sell to Close;-1506.0;$5.06;10/31/91;$129.59;$352.64;0.0;
7;DTSreversal(BUY);Buy to Open;396.0;$6.31;3/23/92;;$365.02;396.0;
8;DTSreversal(BUY);Buy to Open;400.0;$6.25;3/25/92;;$352.77;796.0;
9;DTSreversal(BUY);Buy to Open;398.0;$6.28;3/26/92;;$315.45;1194.0;
10;DTSreversal(SELL);Sell to Close;-1194.0;$6.38;4/15/92;$112.06;$464.70;0.0;
11;DTSreversal(BUY);Buy to Open;368.0;$6.78;1/8/93;;$361.20;368.0;
12;DTSreversal(BUY);Buy to Open;384.0;$6.50;1/11/93;;$361.20;752.0;
13;DTSreversal(SELL);Sell to Close;-752.0;$6.19;2/19/93;($338.50);$126.20;0.0;
14;DTSreversal(SELL);Sell to Close;-481.0;$5.19;5/19/95;$0.00;$96.14;-481.0;
15;DTSreversal(BUY);Buy to Open;481.0;$5.19;5/19/95;;$126.20;0.0;
16;DTSreversal(SELL);Sell to Close;-476.0;$5.25;5/22/95;$0.00;$126.20;-476.0;
17;DTSreversal(BUY);Buy to Open;476.0;$5.25;5/22/95;;$126.20;0.0;
18;DTSreversal(SELL);Sell to Close;-476.0;$5.25;5/23/95;$0.00;$148.52;-476.0;
19;DTSreversal(BUY);Buy to Open;476.0;$5.25;5/23/95;;$126.20;0.0;
20;DTSreversal(SELL);Sell to Close;-480.0;$5.20;5/24/95;$0.00;$133.70;-480.0;
21;DTSreversal(BUY);Buy to Open;480.0;$5.20;5/24/95;;$126.20;0.0;
22;DTSreversal(SELL);Sell to Close;-481.0;$5.19;5/25/95;$0.00;$126.20;-481.0;
23;DTSreversal(BUY);Buy to Open;481.0;$5.19;5/25/95;;$126.20;0.0;
24;DTSreversal(SELL);Sell to Close;-481.0;$5.19;5/26/95;$0.00;$163.78;-481.0;
25;DTSreversal(BUY);Buy to Open;481.0;$5.19;5/26/95;;$126.20;0.0;
26;DTSreversal(SELL);Sell to Close;-484.0;$5.16;6/8/95;$0.00;$95.95;-484.0;
27;DTSreversal(BUY);Buy to Open;484.0;$5.16;6/8/95;;$126.20;0.0;
28;DTSreversal(BUY);Buy to Open;457.0;$5.47;8/29/95;;$111.92;457.0;
29;DTSreversal(BUY);Buy to Open;459.0;$5.44;8/30/95;;$140.55;916.0;
30;DTSreversal(BUY);Buy to Open;457.0;$5.47;8/31/95;;$226.36;1373.0;
31;DTSreversal(SELL);Sell to Close;-1373.0;$5.61;9/21/95;$207.42;$333.63;0.0;
32;DTSreversal(BUY);Buy to Open;425.0;$5.88;11/15/95;;$320.34;425.0;
33;DTSreversal(BUY);Buy to Open;427.0;$5.84;11/16/95;;$320.34;852.0;
34;DTSreversal(BUY);Buy to Open;427.0;$5.84;11/17/95;;$560.16;1279.0;
35;DTSreversal(SELL);Sell to Close;-1279.0;$6.03;1/2/96;$226.53;$560.16;0.0;
36;DTSreversal(BUY);Buy to Open;439.0;$5.69;11/22/96;;$587.59;439.0;
37;DTSreversal(SELL);Sell to Close;-439.0;$6.09;11/27/96;$178.34;$738.50;0.0;
38;DTSreversal(BUY);Buy to Open;441.0;$5.66;12/17/96;;$821.19;441.0;
39;DTSreversal(SELL);Sell to Close;-441.0;$6.25;1/13/97;$261.84;$1,000.34;0.0;
40;DTSreversal(BUY);Buy to Open;418.0;$5.97;2/27/97;;$961.16;418.0;
41;DTSreversal(BUY);Buy to Open;425.0;$5.88;2/28/97;;$987.50;843.0;
42;DTSreversal(BUY);Buy to Open;423.0;$5.91;3/3/97;;$1,106.19;1266.0;
43;DTSreversal(SELL);Sell to Close;-1266.0;$6.22;3/6/97;$382.78;$1,383.13;0.0;
44;DTSreversal(BUY);Buy to Open;426.0;$5.86;4/10/97;;$1,389.78;426.0;
45;DTSreversal(BUY);Buy to Open;425.0;$5.88;4/11/97;;$1,336.59;851.0;
46;DTSreversal(BUY);Buy to Open;430.0;$5.81;4/14/97;;$1,496.72;1281.0;
47;DTSreversal(SELL);Sell to Close;-1281.0;$6.16;4/18/97;$393.81;$1,776.94;0.0;
48;DTSreversal(BUY);Buy to Open;406.0;$6.16;7/2/97;;$1,802.31;406.0;
49;DTSreversal(SELL);Sell to Close;-406.0;$6.47;7/29/97;$126.88;$1,903.81;0.0;
50;DTSreversal(BUY);Buy to Open;312.0;$8.00;6/15/98;;$1,881.88;312.0;
51;DTSreversal(BUY);Buy to Open;315.0;$7.93;6/16/98;;$2,082.71;627.0;
52;DTSreversal(SELL);Sell to Close;-627.0;$8.47;6/18/98;$316.05;$2,219.87;0.0;
53;DTSreversal(BUY);Buy to Open;299.0;$8.34;7/30/98;;$2,201.18;299.0;
54;DTSreversal(BUY);Buy to Open;301.0;$8.28;7/31/98;;$2,098.05;600.0;
55;DTSreversal(BUY);Buy to Open;308.0;$8.11;8/3/98;;$1,956.18;908.0;
56;DTSreversal(SELL);Sell to Close;-908.0;$7.06;9/8/98;($1,072.38);$1,147.49;0.0;
57;DTSreversal(SELL);Sell to Close;-318.0;$7.84;11/1/99;$0.00;$1,152.46;-318.0;
58;DTSreversal(BUY);Buy to Open;318.0;$7.84;11/1/99;;$1,147.49;0.0;
59;DTSreversal(SELL);Sell to Close;-319.0;$7.83;11/2/99;$0.00;$1,052.79;-319.0;
60;DTSreversal(BUY);Buy to Open;319.0;$7.83;11/2/99;;$1,147.49;0.0;
61;DTSreversal(BUY);Buy to Open;319.0;$7.83;6/6/00;;$1,142.51;319.0;
62;DTSreversal(SELL);Sell to Close;-639.0;$7.81;6/7/00;($4.98);$1,027.51;-320.0;
63;DTSreversal(BUY);Buy to Open;320.0;$7.81;6/7/00;;$1,142.51;0.0;
64;DTSreversal(BUY);Buy to Open;314.0;$7.95;7/19/00;;$1,147.41;314.0;
65;DTSreversal(BUY);Buy to Open;313.0;$7.97;7/20/00;;$980.87;627.0;
66;DTSreversal(SELL);Sell to Close;-627.0;$7.70;7/21/00;($161.64);$980.87;0.0;
67;DTSreversal(BUY);Buy to Open;254.0;$9.82;5/1/01;;$895.14;254.0;
68;DTSreversal(BUY);Buy to Open;263.0;$9.49;5/2/01;;$847.32;517.0;
69;DTSreversal(BUY);Buy to Open;266.0;$9.40;5/3/01;;$933.45;783.0;
70;DTSreversal(SELL);Sell to Close;-783.0;$10.03;5/22/01;$361.70;$1,342.57;0.0;
71;DTSreversal(BUY);Buy to Open;254.0;$9.82;6/20/01;;$1,449.25;254.0;
72;DTSreversal(SELL);Sell to Close;-254.0;$10.54;6/22/01;$182.88;$1,525.45;0.0;
73;DTSreversal(BUY);Buy to Open;244.0;$10.23;9/21/01;;$1,524.84;244.0;
74;DTSreversal(BUY);Buy to Open;238.0;$10.49;9/25/01;;$1,673.85;482.0;
75;DTSreversal(SELL);Sell to Close;-482.0;$11.46;9/28/01;$534.00;$2,059.45;0.0;
76;DTSreversal(BUY);Buy to Open;231.0;$10.78;10/31/01;;$2,096.41;231.0;
77;DTSreversal(SELL);Sell to Close;-231.0;$11.29;11/7/01;$118.39;$2,177.83;0.0;
78;DTSreversal(BUY);Buy to Open;234.0;$10.65;11/16/01;;$2,167.30;234.0;
79;DTSreversal(BUY);Buy to Open;235.0;$10.60;11/19/01;;$2,154.41;469.0;
80;DTSreversal(BUY);Buy to Open;236.0;$10.58;11/20/01;;$2,216.09;705.0;
81;DTSreversal(SELL);Sell to Close;-705.0;$10.70;12/20/01;$64.70;$2,242.53;0.0;
82;DTSreversal(BUY);Buy to Open;200.0;$12.48;6/17/02;;$2,307.53;200.0;
83;DTSreversal(BUY);Buy to Open;200.0;$12.45;6/20/02;;$2,584.53;400.0;
84;DTSreversal(SELL);Sell to Close;-400.0;$13.32;6/21/02;$342.00;$2,584.53;0.0;
85;DTSreversal(BUY);Buy to Open;205.0;$12.15;7/11/02;;$2,556.86;205.0;
86;DTSreversal(BUY);Buy to Open;208.0;$12.02;7/12/02;;$2,484.58;413.0;
87;DTSreversal(SELL);Sell to Close;-413.0;$10.58;7/22/02;($622.40);$1,962.14;0.0;
88;DTSreversal(BUY);Buy to Open;193.0;$12.93;7/10/03;;$1,947.66;193.0;
89;DTSreversal(BUY);Buy to Open;194.0;$12.85;7/11/03;;$1,924.44;387.0;
90;DTSreversal(BUY);Buy to Open;195.0;$12.79;7/14/03;;$1,860.42;582.0;
91;DTSreversal(SELL);Sell to Close;-582.0;$13.04;8/19/03;$104.90;$2,067.03;0.0;
92;DTSreversal(BUY);Buy to Open;174.0;$14.29;11/18/03;;$2,042.67;174.0;
93;DTSreversal(BUY);Buy to Open;176.0;$14.15;11/19/03;;$2,032.17;350.0;
94;DTSreversal(BUY);Buy to Open;177.0;$14.12;11/20/03;;$2,008.46;527.0;
95;DTSreversal(SELL);Sell to Close;-527.0;$14.60;12/3/03;$218.10;$2,285.13;0.0;
96;DTSreversal(BUY);Buy to Open;173.0;$14.42;1/16/04;;$2,290.32;173.0;
97;DTSreversal(BUY);Buy to Open;173.0;$14.45;1/20/04;;$2,350.87;346.0;
98;DTSreversal(SELL);Sell to Close;-346.0;$15.31;1/27/04;$302.75;$2,587.88;0.0;
99;DTSreversal(BUY);Buy to Open;146.0;$17.12;6/25/04;;$2,581.31;146.0;
100;DTSreversal(BUY);Buy to Open;146.0;$17.08;6/28/04;;$2,617.81;292.0;
101;DTSreversal(BUY);Buy to Open;146.0;$17.04;6/30/04;;$2,554.30;438.0;
102;DTSreversal(SELL);Sell to Close;-438.0;$17.45;7/9/04;$165.71;$2,753.59;0.0;
103;DTSreversal(BUY);Buy to Open;146.0;$17.08;8/5/04;;$2,709.06;146.0;
104;DTSreversal(BUY);Buy to Open;149.0;$16.77;8/6/04;;$2,632.36;295.0;
105;DTSreversal(BUY);Buy to Open;151.0;$16.52;8/9/04;;$2,572.15;446.0;
106;DTSreversal(SELL);Sell to Close;-446.0;$17.04;9/3/04;$112.92;$2,866.51;0.0;
107;DTSreversal(BUY);Buy to Open;150.0;$16.57;9/28/04;;$2,928.01;150.0;
108;DTSreversal(SELL);Sell to Close;-150.0;$17.39;10/4/04;$123.00;$2,989.51;0.0;
109;DTSreversal(BUY);Buy to Open;134.0;$18.52;3/18/05;;$2,970.08;134.0;
110;DTSreversal(BUY);Buy to Open;136.0;$18.38;3/21/05;;$2,971.43;270.0;
111;DTSreversal(BUY);Buy to Open;136.0;$18.38;3/22/05;;$2,453.78;406.0;
