Strategy report
Symbol: MKTX
Work Time: 6/4/07 - 7/27/20


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;55.0;$17.87;6/4/07;;($11.00);55.0;
2;keepbusy_cross(SELL);Sell to Close;-55.0;$16.71;6/12/07;($63.62);($63.62);0.0;
3;keepbusy_cross(Buy);Buy to Open;89.0;$11.15;7/24/09;;($66.29);89.0;
4;keepbusy_cross(SELL);Sell to Close;-89.0;$10.18;7/29/09;($86.54);($150.15);0.0;
5;keepbusy_cross(Buy);Buy to Open;76.0;$13.01;12/4/09;;($115.95);76.0;
6;keepbusy_cross(SELL);Sell to Close;-76.0;$13.35;2/2/10;$25.96;($124.19);0.0;
7;keepbusy_cross(Buy);Buy to Open;43.0;$22.81;3/25/11;;($114.30);43.0;
8;keepbusy_cross(SELL);Sell to Close;-43.0;$22.69;5/3/11;($5.25);($129.45);0.0;
9;keepbusy_cross(Buy);Buy to Open;30.0;$33.31;12/7/12;;($154.35);30.0;
10;keepbusy_cross(SELL);Sell to Close;-30.0;$37.52;3/19/13;$126.26;($3.19);0.0;
11;keepbusy_cross(Buy);Buy to Open;17.0;$56.23;8/1/14;;($9.65);17.0;
12;keepbusy_cross(SELL);Sell to Close;-17.0;$54.99;8/4/14;($21.00);($24.19);0.0;
13;keepbusy_cross(Buy);Buy to Open;8.0;$114.13;2/22/16;;($47.23);8.0;
14;keepbusy_cross(SELL);Sell to Close;-8.0;$121.11;5/4/16;$55.87;$31.68;0.0;
15;keepbusy_cross(Buy);Buy to Open;2.0;$403.35;4/13/20;;($3.44);2.0;
16;keepbusy_cross(SELL);Sell to Close;-2.0;$502.22;7/27/20;$197.74;$229.42;0.0;


Max trade P/L: $197.74;

Total P/L: $229.42;

Total order(s): 8;
