Strategy report
Symbol: MMSI
Work Time: 1/8/96 - 11/8/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;364.0;$2.75;1/8/96;;$0.00;364.0;
2;keepbusy_cross(SELL);Sell to Close;-364.0;$2.44;1/17/96;($111.79);($111.79);0.0;
3;keepbusy_cross(Buy);Buy to Open;102.0;$9.78;6/3/02;;($133.60);102.0;
4;keepbusy_cross(SELL);Sell to Close;-102.0;$9.17;6/5/02;($61.96);($173.76);0.0;
5;keepbusy_cross(Buy);Buy to Open;86.0;$11.54;4/4/03;;($151.02);86.0;
6;keepbusy_cross(SELL);Sell to Close;-86.0;$10.75;4/25/03;($67.60);($241.36);0.0;
7;keepbusy_cross(Buy);Buy to Open;86.0;$11.62;6/13/03;;($277.64);86.0;
8;keepbusy_cross(SELL);Sell to Close;-86.0;$11.01;6/24/03;($52.22);($293.58);0.0;
9;keepbusy_cross(Buy);Buy to Open;79.0;$12.63;8/10/07;;($290.42);79.0;
10;keepbusy_cross(SELL);Sell to Close;-79.0;$12.03;8/14/07;($47.31);($340.89);0.0;
11;keepbusy_cross(Buy);Buy to Open;51.0;$19.27;7/18/08;;($337.32);51.0;
12;keepbusy_cross(SELL);Sell to Close;-51.0;$18.30;9/8/08;($49.35);($390.24);0.0;
13;keepbusy_cross(Buy);Buy to Open;32.0;$31.20;4/28/17;;($310.24);32.0;
14;keepbusy_cross(SELL);Sell to Close;-32.0;$38.62;8/29/17;$237.33;($152.91);0.0;
15;keepbusy_cross(Buy);Buy to Open;22.0;$45.40;10/6/17;;($154.01);22.0;
16;keepbusy_cross(SELL);Sell to Close;-22.0;$41.71;10/20/17;($81.08);($233.99);0.0;
17;keepbusy_cross(Buy);Buy to Open;20.0;$50.00;5/4/18;;($230.99);20.0;
18;keepbusy_cross(SELL);Sell to Close;-20.0;$47.91;6/1/18;($41.73);($275.72);0.0;
19;keepbusy_cross(Buy);Buy to Open;15.0;$64.92;7/30/21;;($198.17);15.0;
20;keepbusy_cross(SELL);Sell to Close;-15.0;$69.90;10/18/21;$74.68;($201.04);0.0;
21;keepbusy_cross(Buy);Buy to Open;15.0;$64.54;3/4/22;;($201.34);15.0;
22;keepbusy_cross(SELL);Sell to Close;-15.0;$62.83;3/9/22;($25.62);($226.65);0.0;
23;keepbusy_cross(Buy);Buy to Open;9.0;$101.97;11/8/24;;($219.72);9.0;


Max trade P/L: $237.33;

Total P/L: ($226.65);

Total order(s): 11;
