Strategy report
Symbol: MRK
Work Time: 6/21/89 - 7/31/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;35.0;$11.23;6/21/89;;($2.19);35.0;
2;FReversalSwing(BUY);Buy to Open;35.0;$11.17;6/22/89;;$5.10;70.0;
3;FReversalSwing(SELL);Sell to Close;-70.0;$11.77;7/10/89;$40.10;$40.10;0.0;
4;FReversalSwing(BUY);Buy to Open;33.0;$11.85;9/8/89;;$38.73;33.0;
5;FReversalSwing(BUY);Buy to Open;33.0;$11.81;9/11/89;;$49.72;66.0;
6;FReversalSwing(BUY);Buy to Open;33.0;$11.89;9/13/89;;$35.98;99.0;
7;FReversalSwing(SELL);Sell to Close;-99.0;$12.33;9/28/89;$47.43;$87.53;0.0;
8;FReversalSwing(BUY);Buy to Open;31.0;$12.54;12/22/89;;$93.35;31.0;
9;FReversalSwing(SELL);Sell to Close;-31.0;$12.92;1/2/90;$11.62;$99.16;0.0;
10;FReversalSwing(BUY);Buy to Open;32.0;$12.21;1/16/90;;$98.49;32.0;
11;FReversalSwing(BUY);Buy to Open;32.0;$12.25;1/22/90;;$72.49;64.0;
12;FReversalSwing(SELL);Sell to Close;-64.0;$11.23;3/14/90;($64.06);$35.09;0.0;
13;FReversalSwing(BUY);Buy to Open;29.0;$13.75;8/7/90;;$37.51;29.0;
14;FReversalSwing(BUY);Buy to Open;28.0;$13.83;8/8/90;;$57.70;57.0;
15;FReversalSwing(BUY);Buy to Open;29.0;$13.69;8/20/90;;$32.78;86.0;
16;FReversalSwing(SELL);Sell to Close;-86.0;$12.44;9/25/90;($112.73);($77.64);0.0;
17;FReversalSwing(BUY);Buy to Open;28.0;$13.83;1/8/91;;($76.47);28.0;
18;FReversalSwing(BUY);Buy to Open;28.0;$13.87;1/9/91;;($85.80);56.0;
19;FReversalSwing(BUY);Buy to Open;29.0;$13.71;1/10/91;;($69.87);85.0;
20;FReversalSwing(SELL);Sell to Close;-85.0;$14.64;1/18/91;$71.51;($6.12);0.0;
21;FReversalSwing(BUY);Buy to Open;16.0;$24.31;3/30/92;;($3.12);16.0;
22;FReversalSwing(SELL);Sell to Close;-16.0;$25.39;4/13/92;$17.33;$11.21;0.0;
23;FReversalSwing(BUY);Buy to Open;16.0;$23.77;4/23/92;;$3.54;16.0;
24;FReversalSwing(SELL);Sell to Close;-16.0;$24.85;5/12/92;$17.33;$28.54;0.0;
25;FReversalSwing(BUY);Buy to Open;21.0;$18.38;1/10/95;;$25.92;21.0;
26;FReversalSwing(BUY);Buy to Open;21.0;$18.25;1/11/95;;$46.92;42.0;
27;FReversalSwing(SELL);Sell to Close;-42.0;$19.25;1/18/95;$39.38;$67.92;0.0;
28;FReversalSwing(BUY);Buy to Open;19.0;$20.88;5/18/95;;$63.17;19.0;
29;FReversalSwing(BUY);Buy to Open;19.0;$20.63;5/19/95;;$77.42;38.0;
30;FReversalSwing(SELL);Sell to Close;-38.0;$22.25;5/25/95;$57.00;$124.92;0.0;
31;FReversalSwing(BUY);Buy to Open;13.0;$29.69;4/12/96;;$133.04;13.0;
32;FReversalSwing(SELL);Sell to Close;-13.0;$31.06;5/17/96;$17.88;$142.79;0.0;
33;FReversalSwing(BUY);Buy to Open;12.0;$32.56;9/4/96;;$145.79;12.0;
34;FReversalSwing(BUY);Buy to Open;12.0;$32.44;9/9/96;;$160.79;24.0;
35;FReversalSwing(SELL);Sell to Close;-24.0;$33.94;9/16/96;$34.50;$177.29;0.0;
36;FReversalSwing(BUY);Buy to Open;10.0;$38.13;12/13/96;;$182.29;10.0;
37;FReversalSwing(BUY);Buy to Open;10.0;$37.94;12/17/96;;$179.17;20.0;
38;FReversalSwing(SELL);Sell to Close;-20.0;$40.63;12/20/96;$51.88;$229.17;0.0;
39;FReversalSwing(BUY);Buy to Open;9.0;$42.13;4/1/97;;$239.85;9.0;
40;FReversalSwing(BUY);Buy to Open;9.0;$42.69;4/3/97;;$233.10;18.0;
41;FReversalSwing(BUY);Buy to Open;9.0;$42.63;4/4/97;;$255.04;27.0;
42;FReversalSwing(SELL);Sell to Close;-27.0;$44.63;4/23/97;$57.94;$287.10;0.0;
43;FReversalSwing(BUY);Buy to Open;8.0;$47.63;8/12/97;;$280.60;8.0;
44;FReversalSwing(BUY);Buy to Open;8.0;$46.81;8/13/97;;$272.60;16.0;
45;FReversalSwing(BUY);Buy to Open;8.0;$46.31;8/14/97;;$280.85;24.0;
46;FReversalSwing(SELL);Sell to Close;-24.0;$49.00;9/18/97;$50.00;$337.10;0.0;
47;FReversalSwing(BUY);Buy to Open;8.0;$47.38;10/20/97;;$336.85;8.0;
48;FReversalSwing(BUY);Buy to Open;8.0;$47.34;10/21/97;;$356.35;16.0;
49;FReversalSwing(SELL);Sell to Close;-16.0;$41.03;10/31/97;($101.21);$235.90;0.0;
50;FReversalSwing(BUY);Buy to Open;6.0;$59.72;4/17/98;;$238.71;6.0;
51;FReversalSwing(BUY);Buy to Open;6.0;$60.06;4/22/98;;$234.96;12.0;
52;FReversalSwing(BUY);Buy to Open;6.0;$59.81;4/23/98;;$241.71;18.0;
53;FReversalSwing(SELL);Sell to Close;-18.0;$60.75;6/9/98;$15.94;$251.83;0.0;
54;FReversalSwing(BUY);Buy to Open;6.0;$62.56;7/23/98;;$246.77;6.0;
55;FReversalSwing(BUY);Buy to Open;6.0;$61.72;7/24/98;;$260.65;12.0;
56;FReversalSwing(BUY);Buy to Open;6.0;$62.25;7/29/98;;$242.46;18.0;
57;FReversalSwing(SELL);Sell to Close;-18.0;$65.63;8/18/98;$62.06;$313.90;0.0;
58;FReversalSwing(BUY);Buy to Open;5.0;$69.50;1/25/99;;$310.15;5.0;
59;FReversalSwing(BUY);Buy to Open;5.0;$68.75;1/26/99;;$342.65;10.0;
60;FReversalSwing(SELL);Sell to Close;-10.0;$75.16;2/3/99;$60.31;$374.21;0.0;
61;FReversalSwing(BUY);Buy to Open;5.0;$78.19;4/6/99;;$373.58;5.0;
62;FReversalSwing(BUY);Buy to Open;5.0;$78.06;4/7/99;;$394.83;10.0;
63;FReversalSwing(SELL);Sell to Close;-10.0;$83.25;4/12/99;$51.25;$425.46;0.0;
64;FReversalSwing(BUY);Buy to Open;5.0;$73.13;4/20/99;;$436.08;5.0;
65;FReversalSwing(BUY);Buy to Open;5.0;$75.25;4/21/99;;$442.33;10.0;
66;FReversalSwing(BUY);Buy to Open;5.0;$74.00;4/27/99;;$417.02;15.0;
67;FReversalSwing(SELL);Sell to Close;-15.0;$66.16;6/14/99;($119.48);$305.98;0.0;
68;FReversalSwing(BUY);Buy to Open;4.0;$85.00;1/5/01;;$299.23;4.0;
69;FReversalSwing(BUY);Buy to Open;4.0;$83.31;1/8/01;;$300.73;8.0;
70;FReversalSwing(BUY);Buy to Open;4.0;$83.50;1/9/01;;$306.73;12.0;
71;FReversalSwing(SELL);Sell to Close;-12.0;$74.07;3/8/01;($118.35);$187.63;0.0;
72;FReversalSwing(BUY);Buy to Open;6.0;$57.81;7/23/03;;$188.11;6.0;
73;FReversalSwing(BUY);Buy to Open;6.0;$57.89;7/24/03;;$177.31;12.0;
74;FReversalSwing(BUY);Buy to Open;7.0;$56.99;7/25/03;;$187.38;19.0;
75;FReversalSwing(SELL);Sell to Close;-19.0;$55.16;7/30/03;($45.07);$142.55;0.0;
76;FReversalSwing(BUY);Buy to Open;11.0;$34.47;4/10/06;;$142.00;11.0;
77;FReversalSwing(BUY);Buy to Open;11.0;$34.42;4/11/06;;$134.08;22.0;
78;FReversalSwing(BUY);Buy to Open;11.0;$34.06;4/12/06;;$127.15;33.0;
79;FReversalSwing(SELL);Sell to Close;-33.0;$35.12;5/17/06;$26.51;$169.06;0.0;
80;FReversalSwing(BUY);Buy to Open;12.0;$33.14;5/31/06;;$170.86;12.0;
81;FReversalSwing(BUY);Buy to Open;12.0;$33.29;6/1/06;;$183.10;24.0;
82;FReversalSwing(SELL);Sell to Close;-24.0;$34.92;6/21/06;$40.92;$209.98;0.0;
83;FReversalSwing(BUY);Buy to Open;9.0;$42.83;12/26/06;;$209.62;9.0;
84;FReversalSwing(BUY);Buy to Open;9.0;$42.79;12/27/06;;$220.06;18.0;
85;FReversalSwing(SELL);Sell to Close;-18.0;$45.11;1/5/07;$41.40;$251.38;0.0;
86;FReversalSwing(BUY);Buy to Open;9.0;$43.92;2/9/07;;$250.48;9.0;
