Strategy report
Symbol: MRVL
Work Time: 4/2/04 - 9/13/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;87.0;$11.40;4/2/04;;$30.01;87.0;
2;keepbusy_cross(SELL);Sell to Close;-87.0;$10.84;4/22/04;($48.49);($48.49);0.0;
3;keepbusy_cross(Buy);Buy to Open;76.0;$13.12;9/13/04;;($23.79);76.0;
4;keepbusy_cross(SELL);Sell to Close;-76.0;$16.22;1/24/05;$235.64;$187.16;0.0;
5;keepbusy_cross(Buy);Buy to Open;65.0;$15.20;9/16/11;;$185.53;65.0;
6;keepbusy_cross(SELL);Sell to Close;-65.0;$14.24;9/23/11;($61.79);$125.37;0.0;
7;keepbusy_cross(Buy);Buy to Open;74.0;$13.36;11/18/16;;$231.93;74.0;
8;keepbusy_cross(SELL);Sell to Close;-74.0;$13.93;1/24/17;$42.17;$167.54;0.0;
9;keepbusy_cross(Buy);Buy to Open;59.0;$16.94;5/26/17;;$210.61;59.0;
10;keepbusy_cross(SELL);Sell to Close;-59.0;$16.24;7/5/17;($41.10);$126.43;0.0;
11;keepbusy_cross(Buy);Buy to Open;27.0;$35.91;8/28/20;;$189.61;27.0;
12;keepbusy_cross(SELL);Sell to Close;-27.0;$36.08;10/30/20;$4.59;$131.02;0.0;
13;keepbusy_cross(Buy);Buy to Open;21.0;$47.10;12/18/20;;$139.63;21.0;
14;keepbusy_cross(SELL);Sell to Close;-21.0;$48.20;2/24/21;$23.10;$154.12;0.0;
15;keepbusy_cross(Buy);Buy to Open;16.0;$59.29;12/15/23;;$158.92;16.0;
16;keepbusy_cross(SELL);Sell to Close;-16.0;$67.30;3/15/24;$128.16;$282.28;0.0;
17;keepbusy_cross(Buy);Buy to Open;13.0;$74.30;9/13/24;;$284.62;13.0;


Max trade P/L: $235.64;

Total P/L: $282.28;

Total order(s): 8;
