Strategy report
Symbol: MSFT
Work Time: 3/31/88 - 9/12/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;1051.0;$0.38;3/31/88;;$12.77;1051.0;
2;FReversalSwing(SELL);Sell to Close;-1051.0;$0.40;5/17/88;$25.54;$25.54;0.0;
3;FReversalSwing(BUY);Buy to Open;944.0;$0.42;7/22/88;;$30.46;944.0;
4;FReversalSwing(BUY);Buy to Open;932.0;$0.43;7/25/88;;$14.17;1876.0;
5;FReversalSwing(BUY);Buy to Open;951.0;$0.42;7/26/88;;($34.90);2827.0;
6;FReversalSwing(SELL);Sell to Close;-2827.0;$0.37;8/8/88;($157.24);($131.70);0.0;
7;FReversalSwing(BUY);Buy to Open;175.0;$2.27;6/17/92;;($133.75);175.0;
8;FReversalSwing(SELL);Sell to Close;-175.0;$2.31;7/29/92;$6.84;($124.87);0.0;
9;FReversalSwing(BUY);Buy to Open;148.0;$2.70;12/14/92;;($121.40);148.0;
10;FReversalSwing(BUY);Buy to Open;148.0;$2.70;12/16/92;;($119.09);296.0;
11;FReversalSwing(BUY);Buy to Open;149.0;$2.68;12/31/92;;($136.44);445.0;
12;FReversalSwing(SELL);Sell to Close;-445.0;$2.85;1/14/93;$70.12;($54.75);0.0;
13;FReversalSwing(BUY);Buy to Open;150.0;$2.66;2/5/93;;($36.00);150.0;
14;FReversalSwing(BUY);Buy to Open;156.0;$2.55;2/19/93;;($88.50);306.0;
15;FReversalSwing(SELL);Sell to Close;-306.0;$2.70;3/12/93;$30.80;($23.95);0.0;
16;FReversalSwing(BUY);Buy to Open;132.0;$3.02;7/7/94;;($6.93);132.0;
17;FReversalSwing(BUY);Buy to Open;133.0;$3.00;7/13/94;;($1.68);265.0;
18;FReversalSwing(SELL);Sell to Close;-265.0;$3.22;8/1/94;$55.39;$31.44;0.0;
19;FReversalSwing(BUY);Buy to Open;108.0;$3.69;1/31/95;;$33.97;108.0;
20;FReversalSwing(BUY);Buy to Open;107.0;$3.71;2/1/95;;$30.61;215.0;
21;FReversalSwing(BUY);Buy to Open;108.0;$3.70;2/2/95;;$28.09;323.0;
22;FReversalSwing(SELL);Sell to Close;-323.0;$3.94;3/1/95;$77.40;$108.84;0.0;
23;FReversalSwing(BUY);Buy to Open;76.0;$5.20;10/10/95;;$111.81;76.0;
24;FReversalSwing(SELL);Sell to Close;-76.0;$5.98;10/19/95;$59.38;$168.22;0.0;
25;FReversalSwing(BUY);Buy to Open;73.0;$5.46;11/20/95;;$161.94;73.0;
26;FReversalSwing(BUY);Buy to Open;74.0;$5.38;11/21/95;;$180.32;147.0;
27;FReversalSwing(BUY);Buy to Open;72.0;$5.50;11/22/95;;$171.76;219.0;
28;FReversalSwing(SELL);Sell to Close;-219.0;$5.91;12/11/95;$101.07;$269.29;0.0;
29;FReversalSwing(BUY);Buy to Open;56.0;$7.02;7/15/96;;$263.16;56.0;
30;FReversalSwing(BUY);Buy to Open;57.0;$6.91;7/16/96;;$296.71;113.0;
31;FReversalSwing(SELL);Sell to Close;-113.0;$7.56;7/22/96;$67.04;$336.32;0.0;
32;FReversalSwing(BUY);Buy to Open;57.0;$7.01;7/24/96;;$345.68;57.0;
33;FReversalSwing(SELL);Sell to Close;-57.0;$7.71;8/5/96;$40.08;$376.40;0.0;
34;FReversalSwing(BUY);Buy to Open;16.0;$23.53;10/8/98;;$364.65;16.0;
35;FReversalSwing(SELL);Sell to Close;-16.0;$27.50;10/23/98;$63.50;$439.90;0.0;
36;FReversalSwing(BUY);Buy to Open;9.0;$43.56;11/11/99;;$451.15;9.0;
37;FReversalSwing(BUY);Buy to Open;9.0;$43.50;11/16/99;;$442.15;18.0;
38;FReversalSwing(SELL);Sell to Close;-18.0;$45.84;11/26/99;$41.63;$481.53;0.0;
39;FReversalSwing(BUY);Buy to Open;8.0;$48.94;2/1/00;;$501.78;8.0;
40;FReversalSwing(SELL);Sell to Close;-8.0;$54.97;2/9/00;$48.25;$529.78;0.0;
41;FReversalSwing(BUY);Buy to Open;8.0;$47.53;2/22/00;;$524.78;8.0;
42;FReversalSwing(BUY);Buy to Open;8.0;$46.91;2/23/00;;$528.28;16.0;
43;FReversalSwing(BUY);Buy to Open;8.0;$47.13;2/24/00;;$534.28;24.0;
44;FReversalSwing(SELL);Sell to Close;-24.0;$50.50;3/13/00;$79.50;$609.28;0.0;
45;FReversalSwing(BUY);Buy to Open;15.0;$26.61;10/27/03;;$613.78;15.0;
46;FReversalSwing(BUY);Buy to Open;14.0;$26.91;10/28/03;;$622.19;29.0;
47;FReversalSwing(BUY);Buy to Open;14.0;$27.20;10/29/03;;$602.41;43.0;
