Strategy report
Symbol: MS
Work Time: 9/23/94 - 9/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;40.0;$9.94;9/23/94;;($12.50);40.0;
2;FReversalSwing(BUY);Buy to Open;41.0;$9.63;9/26/94;;($25.16);81.0;
3;FReversalSwing(SELL);Sell to Close;-81.0;$9.44;9/27/94;($27.69);($27.69);0.0;
4;FReversalSwing(BUY);Buy to Open;31.0;$12.88;10/24/95;;($37.38);31.0;
5;FReversalSwing(BUY);Buy to Open;31.0;$12.56;10/25/95;;($54.81);62.0;
6;FReversalSwing(BUY);Buy to Open;32.0;$12.28;10/26/95;;($48.94);94.0;
7;FReversalSwing(SELL);Sell to Close;-94.0;$12.97;12/7/95;$37.50;$9.81;0.0;
8;FReversalSwing(BUY);Buy to Open;32.0;$12.34;12/15/95;;$6.81;32.0;
9;FReversalSwing(BUY);Buy to Open;32.0;$12.25;12/18/95;;($7.19);64.0;
10;FReversalSwing(SELL);Sell to Close;-64.0;$12.16;1/18/96;($9.00);$0.81;0.0;
11;FReversalSwing(BUY);Buy to Open;28.0;$14.00;6/24/96;;($7.94);28.0;
12;FReversalSwing(BUY);Buy to Open;29.0;$13.69;6/25/96;;$4.53;57.0;
13;FReversalSwing(BUY);Buy to Open;28.0;$13.91;6/26/96;;$23.13;85.0;
14;FReversalSwing(SELL);Sell to Close;-85.0;$12.19;7/25/96;($142.38);($141.56);0.0;
15;FReversalSwing(BUY);Buy to Open;22.0;$18.00;3/31/97;;($153.94);22.0;
16;FReversalSwing(BUY);Buy to Open;22.0;$17.44;4/1/97;;($112.69);44.0;
17;FReversalSwing(BUY);Buy to Open;23.0;$17.25;4/3/97;;($116.13);67.0;
18;FReversalSwing(SELL);Sell to Close;-67.0;$18.88;4/30/97;$88.25;($53.31);0.0;
19;FReversalSwing(BUY);Buy to Open;8.0;$45.38;5/25/99;;($60.06);8.0;
20;FReversalSwing(BUY);Buy to Open;8.0;$44.53;5/26/99;;($23.56);16.0;
21;FReversalSwing(BUY);Buy to Open;9.0;$44.13;6/3/99;;($69.69);25.0;
