Strategy report
Symbol: NFLX
Work Time: 12/19/06 - 10/20/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;105.0;$3.81;12/19/06;;$6.30;105.0;
2;FReversalSwing(BUY);Buy to Open;104.0;$3.83;12/22/06;;($15.37);209.0;
3;FReversalSwing(BUY);Buy to Open;106.0;$3.74;12/26/06;;$13.43;315.0;
4;FReversalSwing(SELL);Sell to Close;-315.0;$3.54;1/8/07;($78.43);($78.43);0.0;
5;FReversalSwing(BUY);Buy to Open;93.0;$4.29;4/23/08;;($61.69);93.0;
6;FReversalSwing(BUY);Buy to Open;92.0;$4.31;5/8/08;;($76.57);185.0;
7;FReversalSwing(BUY);Buy to Open;92.0;$4.31;5/9/08;;($54.01);277.0;
8;FReversalSwing(SELL);Sell to Close;-277.0;$4.74;6/6/08;$121.37;$42.94;0.0;
9;FReversalSwing(BUY);Buy to Open;96.0;$4.14;6/25/08;;$51.17;96.0;
10;FReversalSwing(SELL);Sell to Close;-96.0;$4.43;7/30/08;$27.98;$70.92;0.0;
11;FReversalSwing(BUY);Buy to Open;74.0;$5.38;5/14/09;;$64.89;74.0;
12;FReversalSwing(BUY);Buy to Open;75.0;$5.30;5/15/09;;$95.12;149.0;
13;FReversalSwing(BUY);Buy to Open;73.0;$5.41;6/11/09;;$77.69;222.0;
14;FReversalSwing(SELL);Sell to Close;-222.0;$5.90;6/19/09;$119.99;$190.91;0.0;
15;FReversalSwing(BUY);Buy to Open;67.0;$5.97;9/3/09;;$176.65;67.0;
16;FReversalSwing(BUY);Buy to Open;69.0;$5.76;9/4/09;;$189.47;136.0;
17;FReversalSwing(BUY);Buy to Open;68.0;$5.85;9/8/09;;$204.91;204.0;
18;FReversalSwing(SELL);Sell to Close;-204.0;$6.42;9/16/09;$115.72;$306.62;0.0;
19;FReversalSwing(BUY);Buy to Open;6.0;$60.28;3/17/15;;$303.67;6.0;
20;FReversalSwing(BUY);Buy to Open;6.0;$60.45;3/19/15;;$311.19;12.0;
21;FReversalSwing(BUY);Buy to Open;6.0;$60.74;3/20/15;;$319.12;18.0;
22;FReversalSwing(SELL);Sell to Close;-18.0;$63.05;4/9/15;$46.07;$352.69;0.0;
23;FReversalSwing(BUY);Buy to Open;2.0;$146.17;7/5/17;;$355.57;2.0;
24;FReversalSwing(BUY);Buy to Open;2.0;$146.25;7/7/17;;$368.57;4.0;
25;FReversalSwing(SELL);Sell to Close;-4.0;$158.75;7/13/17;$50.16;$402.85;0.0;
26;FReversalSwing(BUY);Buy to Open;1.0;$345.26;5/14/19;;$403.20;1.0;
27;FReversalSwing(BUY);Buy to Open;1.0;$345.61;5/15/19;;$421.96;2.0;
28;FReversalSwing(BUY);Buy to Open;1.0;$343.28;6/3/19;;$378.59;3.0;
29;FReversalSwing(SELL);Sell to Close;-3.0;$363.52;6/20/19;$56.41;$459.26;0.0;
30;FReversalSwing(BUY);Buy to Open;0.0;$475.74;11/2/20;;$459.26;0.0;
31;FReversalSwing(SELL);Sell to Close;0.0;$504.58;12/2/20;$0.00;$459.26;0.0;
32;FReversalSwing(BUY);Buy to Open;0.0;$511.29;3/5/21;;$459.26;0.0;
33;FReversalSwing(BUY);Buy to Open;0.0;$504.54;3/11/21;;$459.26;0.0;
34;FReversalSwing(SELL);Sell to Close;0.0;$539.42;4/5/21;$0.00;$459.26;0.0;
35;FReversalSwing(BUY);Buy to Open;0.0;$617.77;12/2/21;;$459.26;0.0;
36;FReversalSwing(BUY);Buy to Open;0.0;$616.47;12/3/21;;$459.26;0.0;
37;FReversalSwing(BUY);Buy to Open;0.0;$602.13;12/6/21;;$459.26;0.0;
38;FReversalSwing(SELL);Sell to Close;0.0;$536.55;1/11/22;$0.00;$459.26;0.0;
39;FReversalSwing(BUY);Buy to Open;1.0;$386.30;9/21/23;;$457.11;1.0;
40;FReversalSwing(BUY);Buy to Open;1.0;$384.15;9/22/23;;$448.43;2.0;
41;FReversalSwing(BUY);Buy to Open;1.0;$379.81;9/25/23;;$463.40;3.0;
42;FReversalSwing(SELL);Sell to Close;-3.0;$401.77;10/20/23;$55.05;$514.31;0.0;


Max trade P/L: $121.37;

Total P/L: $514.31;

Total order(s): 12;
