Strategy report
Symbol: NOW
Work Time: 4/4/14 - 5/16/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;7.0;$54.68;4/4/14;;($16.52);7.0;
2;FReversalSwing(BUY);Buy to Open;7.0;$54.88;4/10/14;;($58.10);14.0;
3;FReversalSwing(SELL);Sell to Close;-14.0;$44.46;4/29/14;($144.43);($144.43);0.0;
4;FReversalSwing(BUY);Buy to Open;6.0;$63.63;1/16/15;;($142.45);6.0;
5;FReversalSwing(SELL);Sell to Close;-6.0;$68.74;1/26/15;$30.66;($113.77);0.0;
6;FReversalSwing(BUY);Buy to Open;5.0;$73.29;4/20/15;;($107.02);5.0;
7;FReversalSwing(SELL);Sell to Close;-5.0;$77.26;5/19/15;$19.85;($93.92);0.0;
8;FReversalSwing(BUY);Buy to Open;5.0;$73.77;6/30/15;;($91.22);5.0;
9;FReversalSwing(BUY);Buy to Open;5.0;$73.90;7/2/15;;($86.97);10.0;
10;FReversalSwing(BUY);Buy to Open;5.0;$73.70;7/7/15;;($65.57);15.0;
11;FReversalSwing(SELL);Sell to Close;-15.0;$78.92;7/17/15;$76.95;($16.97);0.0;
12;FReversalSwing(BUY);Buy to Open;4.0;$81.42;1/7/16;;($24.09);4.0;
13;FReversalSwing(BUY);Buy to Open;5.0;$79.64;1/8/16;;($37.77);9.0;
14;FReversalSwing(BUY);Buy to Open;5.0;$78.53;1/12/16;;$0.36;14.0;
15;FReversalSwing(SELL);Sell to Close;-14.0;$71.76;1/21/16;($111.90);($128.87);0.0;
16;FReversalSwing(BUY);Buy to Open;5.0;$77.09;12/2/16;;($131.52);5.0;
17;FReversalSwing(SELL);Sell to Close;-5.0;$72.85;12/5/16;($21.20);($150.07);0.0;
18;FReversalSwing(BUY);Buy to Open;5.0;$77.88;12/13/16;;($142.52);5.0;
19;FReversalSwing(BUY);Buy to Open;5.0;$77.50;12/20/16;;($143.97);10.0;
20;FReversalSwing(BUY);Buy to Open;5.0;$77.25;12/22/16;;($194.97);15.0;
21;FReversalSwing(SELL);Sell to Close;-15.0;$74.35;12/23/16;($47.96);($198.03);0.0;
22;FReversalSwing(BUY);Buy to Open;5.0;$76.02;12/27/16;;($193.73);5.0;
23;FReversalSwing(BUY);Buy to Open;5.0;$75.22;12/29/16;;($204.83);10.0;
24;FReversalSwing(SELL);Sell to Close;-10.0;$74.33;12/30/16;($12.89);($210.93);0.0;
25;FReversalSwing(BUY);Buy to Open;4.0;$83.93;3/22/17;;($206.49);4.0;
26;FReversalSwing(BUY);Buy to Open;4.0;$85.04;3/23/17;;($211.61);8.0;
27;FReversalSwing(BUY);Buy to Open;4.0;$84.40;3/24/17;;($206.69);12.0;
28;FReversalSwing(SELL);Sell to Close;-12.0;$87.60;4/19/17;$37.72;($173.21);0.0;
29;FReversalSwing(BUY);Buy to Open;3.0;$113.62;12/5/17;;($165.47);3.0;
30;FReversalSwing(SELL);Sell to Close;-3.0;$126.17;12/15/17;$37.65;($135.56);0.0;
31;FReversalSwing(BUY);Buy to Open;2.0;$174.97;10/12/18;;($116.60);2.0;
32;FReversalSwing(SELL);Sell to Close;-2.0;$190.83;11/8/18;$31.72;($103.84);0.0;
33;FReversalSwing(BUY);Buy to Open;1.0;$252.31;8/15/19;;($103.86);1.0;
34;FReversalSwing(BUY);Buy to Open;1.0;$252.29;8/16/19;;($94.62);2.0;
35;FReversalSwing(BUY);Buy to Open;1.0;$255.51;8/20/19;;($98.11);3.0;
36;FReversalSwing(SELL);Sell to Close;-3.0;$268.74;9/20/19;$46.11;($57.73);0.0;
37;FReversalSwing(BUY);Buy to Open;1.0;$250.26;9/30/19;;($54.14);1.0;
38;FReversalSwing(BUY);Buy to Open;1.0;$250.13;10/2/19;;($64.42);2.0;
39;FReversalSwing(SELL);Sell to Close;-2.0;$266.48;10/7/19;$32.57;($25.16);0.0;
40;FReversalSwing(BUY);Buy to Open;1.0;$292.09;3/10/20;;($4.45);1.0;
41;FReversalSwing(BUY);Buy to Open;1.0;$290.63;3/12/20;;($83.64);2.0;
42;FReversalSwing(SELL);Sell to Close;-2.0;$246.21;3/19/20;($90.30);($115.45);0.0;
43;FReversalSwing(BUY);Buy to Open;0.0;$636.91;11/24/21;;($115.45);0.0;
44;FReversalSwing(BUY);Buy to Open;0.0;$599.57;12/2/21;;($115.45);0.0;
45;FReversalSwing(BUY);Buy to Open;0.0;$613.11;12/6/21;;($115.45);0.0;
46;FReversalSwing(SELL);Sell to Close;0.0;$539.56;1/11/22;$0.00;($115.45);0.0;
47;FReversalSwing(BUY);Buy to Open;0.0;$549.53;9/22/23;;($115.45);0.0;
48;FReversalSwing(BUY);Buy to Open;0.0;$554.09;9/25/23;;($115.45);0.0;
49;FReversalSwing(BUY);Buy to Open;0.0;$544.63;9/27/23;;($115.45);0.0;
50;FReversalSwing(SELL);Sell to Close;0.0;$581.85;11/1/23;$0.00;($115.45);0.0;
51;FReversalSwing(BUY);Buy to Open;0.0;$693.33;5/1/24;;($115.45);0.0;
52;FReversalSwing(BUY);Buy to Open;0.0;$685.61;5/2/24;;($115.45);0.0;
53;FReversalSwing(BUY);Buy to Open;0.0;$695.72;5/3/24;;($115.45);0.0;
54;FReversalSwing(SELL);Sell to Close;0.0;$760.57;5/16/24;$0.00;($115.45);0.0;


Max trade P/L: $76.95;

Total P/L: ($115.45);

Total order(s): 17;
