Strategy report
Symbol: NSRGY
Work Time: 7/22/97 - 5/31/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;31.0;$12.70;7/22/97;;$3.10;31.0;
2;FReversalSwing(BUY);Buy to Open;31.0;$12.60;7/28/97;;$12.40;62.0;
3;FReversalSwing(BUY);Buy to Open;32.0;$12.40;8/5/97;;$0.95;94.0;
4;FReversalSwing(SELL);Sell to Close;-94.0;$12.73;9/17/97;$15.05;$15.05;0.0;
5;FReversalSwing(BUY);Buy to Open;29.0;$13.35;10/29/97;;$27.38;29.0;
6;FReversalSwing(SELL);Sell to Close;-29.0;$14.30;11/3/97;$27.55;$42.60;0.0;
7;FReversalSwing(BUY);Buy to Open;28.0;$13.98;12/12/97;;$51.70;28.0;
8;FReversalSwing(SELL);Sell to Close;-28.0;$14.80;12/18/97;$23.10;$65.70;0.0;
9;FReversalSwing(BUY);Buy to Open;27.0;$14.35;1/13/98;;$73.80;27.0;
10;FReversalSwing(SELL);Sell to Close;-27.0;$15.45;1/21/98;$29.70;$95.40;0.0;
11;FReversalSwing(BUY);Buy to Open;21.0;$19.00;8/27/98;;$72.30;21.0;
12;FReversalSwing(BUY);Buy to Open;21.0;$18.65;8/31/98;;$60.75;42.0;
13;FReversalSwing(SELL);Sell to Close;-42.0;$20.05;9/28/98;$51.45;$146.85;0.0;
14;FReversalSwing(BUY);Buy to Open;20.0;$19.20;7/19/00;;$146.85;20.0;
15;FReversalSwing(BUY);Buy to Open;20.0;$19.20;7/20/00;;$164.85;40.0;
16;FReversalSwing(SELL);Sell to Close;-40.0;$20.40;7/25/00;$48.00;$194.85;0.0;
17;FReversalSwing(BUY);Buy to Open;19.0;$20.48;10/17/00;;$186.76;19.0;
18;FReversalSwing(BUY);Buy to Open;19.0;$20.05;10/18/00;;$196.26;38.0;
19;FReversalSwing(BUY);Buy to Open;19.0;$20.30;10/19/00;;$224.76;57.0;
20;FReversalSwing(SELL);Sell to Close;-57.0;$21.15;11/9/00;$49.86;$244.71;0.0;
21;FReversalSwing(BUY);Buy to Open;18.0;$21.15;1/12/01;;$242.91;18.0;
22;FReversalSwing(BUY);Buy to Open;19.0;$21.05;1/16/01;;$250.31;37.0;
23;FReversalSwing(BUY);Buy to Open;19.0;$20.70;1/22/01;;$218.76;56.0;
24;FReversalSwing(SELL);Sell to Close;-56.0;$22.04;3/1/01;$60.29;$305.00;0.0;
25;FReversalSwing(BUY);Buy to Open;17.0;$23.28;6/17/02;;$305.34;17.0;
26;FReversalSwing(BUY);Buy to Open;17.0;$23.30;6/18/02;;$308.74;34.0;
27;FReversalSwing(BUY);Buy to Open;17.0;$23.26;6/20/02;;$289.70;51.0;
28;FReversalSwing(SELL);Sell to Close;-51.0;$21.54;7/5/02;($88.50);$216.49;0.0;
29;FReversalSwing(BUY);Buy to Open;18.0;$22.06;11/3/03;;$216.49;18.0;
30;FReversalSwing(BUY);Buy to Open;18.0;$22.06;11/4/03;;$210.01;36.0;
31;FReversalSwing(BUY);Buy to Open;18.0;$21.88;11/5/03;;$205.69;54.0;
32;FReversalSwing(SELL);Sell to Close;-54.0;$22.66;11/26/03;$35.64;$252.13;0.0;
33;FReversalSwing(BUY);Buy to Open;15.0;$25.96;3/3/04;;$250.63;15.0;
34;FReversalSwing(BUY);Buy to Open;15.0;$25.86;3/4/04;;$254.83;30.0;
35;FReversalSwing(BUY);Buy to Open;15.0;$25.84;3/16/04;;$250.03;45.0;
36;FReversalSwing(SELL);Sell to Close;-45.0;$26.20;5/5/04;$14.10;$266.23;0.0;
37;FReversalSwing(BUY);Buy to Open;15.0;$26.24;7/23/04;;$263.83;15.0;
38;FReversalSwing(BUY);Buy to Open;15.0;$26.08;7/26/04;;$250.63;30.0;
39;FReversalSwing(BUY);Buy to Open;15.0;$25.64;7/27/04;;$259.99;45.0;
40;FReversalSwing(SELL);Sell to Close;-45.0;$23.23;8/26/04;($124.04);$142.19;0.0;
41;FReversalSwing(BUY);Buy to Open;14.0;$26.84;3/23/05;;$144.15;14.0;
42;FReversalSwing(BUY);Buy to Open;14.0;$26.70;4/5/05;;$146.95;28.0;
43;FReversalSwing(BUY);Buy to Open;15.0;$26.58;4/15/05;;$139.45;43.0;
44;FReversalSwing(SELL);Sell to Close;-43.0;$27.10;5/5/05;$17.04;$159.23;0.0;
45;FReversalSwing(BUY);Buy to Open;13.0;$29.12;2/2/06;;$157.41;13.0;
46;FReversalSwing(BUY);Buy to Open;13.0;$28.98;2/3/06;;$160.01;26.0;
47;FReversalSwing(BUY);Buy to Open;13.0;$29.08;2/6/06;;$152.21;39.0;
48;FReversalSwing(SELL);Sell to Close;-39.0;$30.22;2/22/06;$45.24;$204.47;0.0;
49;FReversalSwing(BUY);Buy to Open;11.0;$33.82;10/20/06;;$205.35;11.0;
50;FReversalSwing(BUY);Buy to Open;11.0;$33.86;10/24/06;;$190.83;22.0;
51;FReversalSwing(BUY);Buy to Open;12.0;$33.22;10/25/06;;$203.07;34.0;
52;FReversalSwing(SELL);Sell to Close;-34.0;$35.00;11/3/06;$46.88;$251.35;0.0;
53;FReversalSwing(BUY);Buy to Open;11.0;$34.70;1/8/07;;$250.47;11.0;
54;FReversalSwing(BUY);Buy to Open;11.0;$34.62;1/9/07;;$249.59;22.0;
55;FReversalSwing(BUY);Buy to Open;11.0;$34.58;1/10/07;;$253.55;33.0;
56;FReversalSwing(SELL);Sell to Close;-33.0;$35.62;1/22/07;$32.56;$283.91;0.0;
57;FReversalSwing(BUY);Buy to Open;10.0;$38.56;5/17/07;;$283.51;10.0;
58;FReversalSwing(BUY);Buy to Open;10.0;$38.52;5/18/07;;$279.91;20.0;
59;FReversalSwing(BUY);Buy to Open;10.0;$38.34;5/21/07;;$276.31;30.0;
60;FReversalSwing(SELL);Sell to Close;-30.0;$33.65;6/22/07;($144.66);$139.25;0.0;
61;FReversalSwing(BUY);Buy to Open;10.0;$36.94;6/28/07;;$147.65;10.0;
62;FReversalSwing(SELL);Sell to Close;-10.0;$38.26;7/2/07;$13.20;$152.45;0.0;
63;FReversalSwing(BUY);Buy to Open;10.0;$37.58;7/27/07;;$153.65;10.0;
64;FReversalSwing(BUY);Buy to Open;10.0;$37.70;7/30/07;;$161.25;20.0;
65;FReversalSwing(SELL);Sell to Close;-20.0;$39.10;8/9/07;$29.20;$181.65;0.0;
