Strategy report
Symbol: NVDA
Work Time: 7/24/01 - 3/17/20


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;1415.0;$0.28;7/24/01;;$27.06;1415.0;
2;FReversalSwing(BUY);Buy to Open;1326.0;$0.30;7/25/01;;$19.07;2741.0;
3;FReversalSwing(BUY);Buy to Open;1339.0;$0.30;7/26/01;;$143.34;4080.0;
4;FReversalSwing(SELL);Sell to Close;-4080.0;$0.36;8/2/01;$259.62;$259.62;0.0;
5;FReversalSwing(BUY);Buy to Open;1267.0;$0.32;9/17/01;;$218.55;1267.0;
6;FReversalSwing(SELL);Sell to Close;-1267.0;$0.26;9/19/01;($65.45);$194.16;0.0;
7;FReversalSwing(BUY);Buy to Open;2149.0;$0.19;4/27/04;;$190.76;2149.0;
8;FReversalSwing(BUY);Buy to Open;2168.0;$0.18;4/28/04;;$187.52;4317.0;
9;FReversalSwing(BUY);Buy to Open;2176.0;$0.18;4/29/04;;$154.52;6493.0;
10;FReversalSwing(SELL);Sell to Close;-6493.0;$0.19;5/28/04;$21.50;$215.66;0.0;
11;FReversalSwing(BUY);Buy to Open;2332.0;$0.17;1/25/05;;$222.66;2332.0;
12;FReversalSwing(SELL);Sell to Close;-2332.0;$0.19;1/28/05;$45.28;$260.94;0.0;
13;FReversalSwing(BUY);Buy to Open;1985.0;$0.20;3/21/05;;$274.67;1985.0;
14;FReversalSwing(BUY);Buy to Open;2020.0;$0.20;4/1/05;;$246.48;4005.0;
15;FReversalSwing(BUY);Buy to Open;2039.0;$0.20;4/4/05;;$239.43;6044.0;
16;FReversalSwing(SELL);Sell to Close;-6044.0;$0.20;5/10/05;($10.93);$250.01;0.0;
17;FReversalSwing(BUY);Buy to Open;1858.0;$0.22;7/25/05;;$252.33;1858.0;
18;FReversalSwing(SELL);Sell to Close;-1858.0;$0.23;8/3/05;$31.12;$281.13;0.0;
19;FReversalSwing(BUY);Buy to Open;783.0;$0.51;3/2/07;;$270.04;783.0;
20;FReversalSwing(BUY);Buy to Open;806.0;$0.50;3/5/07;;$243.34;1589.0;
21;FReversalSwing(BUY);Buy to Open;810.0;$0.49;3/8/07;;$314.31;2399.0;
22;FReversalSwing(SELL);Sell to Close;-2399.0;$0.52;4/9/07;$36.38;$317.51;0.0;
23;FReversalSwing(BUY);Buy to Open;533.0;$0.75;1/7/08;;$276.20;533.0;
24;FReversalSwing(SELL);Sell to Close;-533.0;$0.62;1/17/08;($68.63);$248.89;0.0;
25;FReversalSwing(BUY);Buy to Open;1182.0;$0.34;10/16/09;;$239.72;1182.0;
26;FReversalSwing(BUY);Buy to Open;1210.0;$0.33;10/19/09;;$268.43;2392.0;
27;FReversalSwing(BUY);Buy to Open;1195.0;$0.33;10/22/09;;$257.36;3587.0;
28;FReversalSwing(SELL);Sell to Close;-3587.0;$0.31;10/29/09;($100.03);$148.86;0.0;
