Strategy report
Symbol: NVO
Work Time: 8/7/86 - 7/21/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;2622.0;$0.15;8/7/86;;($3.28);2622.0;
2;FReversalSwing(BUY);Buy to Open;2644.0;$0.15;8/8/86;;$9.89;5266.0;
3;FReversalSwing(SELL);Sell to Close;-5266.0;$0.15;9/12/86;($23.34);($23.34);0.0;
4;FReversalSwing(BUY);Buy to Open;2169.0;$0.18;4/15/87;;($11.14);2169.0;
5;FReversalSwing(BUY);Buy to Open;2184.0;$0.18;5/19/87;;($31.49);4353.0;
6;FReversalSwing(BUY);Buy to Open;2199.0;$0.18;5/20/87;;($64.25);6552.0;
7;FReversalSwing(SELL);Sell to Close;-6552.0;$0.19;6/15/87;$32.80;$9.46;0.0;
8;FReversalSwing(BUY);Buy to Open;2077.0;$0.19;12/29/88;;$13.35;2077.0;
9;FReversalSwing(SELL);Sell to Close;-2077.0;$0.20;1/5/89;$12.98;$22.44;0.0;
10;FReversalSwing(BUY);Buy to Open;1921.0;$0.21;5/9/89;;$22.44;1921.0;
11;FReversalSwing(BUY);Buy to Open;1921.0;$0.21;5/10/89;;$46.45;3842.0;
12;FReversalSwing(SELL);Sell to Close;-3842.0;$0.21;5/11/89;$24.01;$46.45;0.0;
13;FReversalSwing(BUY);Buy to Open;1927.0;$0.21;5/23/89;;$45.25;1927.0;
14;FReversalSwing(BUY);Buy to Open;1933.0;$0.21;5/24/89;;$35.60;3860.0;
15;FReversalSwing(BUY);Buy to Open;1957.0;$0.20;5/25/89;;$53.78;5817.0;
16;FReversalSwing(SELL);Sell to Close;-5817.0;$0.21;6/9/89;$43.68;$90.13;0.0;
17;FReversalSwing(BUY);Buy to Open;1734.0;$0.23;8/15/89;;$85.80;1734.0;
18;FReversalSwing(BUY);Buy to Open;1753.0;$0.23;8/16/89;;$81.44;3487.0;
