Strategy report
Symbol: ODFL
Work Time: 2/2/07 - 4/18/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;209.0;$4.78;2/2/07;;($17.03);209.0;
2;keepbusy_cross(SELL);Sell to Close;-209.0;$4.20;3/14/07;($121.60);($121.60);0.0;
3;keepbusy_cross(Buy);Buy to Open;216.0;$4.62;7/9/07;;($119.68);216.0;
4;keepbusy_cross(SELL);Sell to Close;-216.0;$4.51;7/11/07;($22.74);($144.34);0.0;
5;keepbusy_cross(Buy);Buy to Open;263.0;$3.80;1/28/08;;($140.44);263.0;
6;keepbusy_cross(SELL);Sell to Close;-263.0;$4.37;4/18/08;$151.57;$7.23;0.0;
7;keepbusy_cross(Buy);Buy to Open;260.0;$3.84;3/27/09;;($44.39);260.0;
8;keepbusy_cross(SELL);Sell to Close;-260.0;$3.52;3/31/09;($82.93);($75.70);0.0;
9;keepbusy_cross(Buy);Buy to Open;221.0;$4.52;2/26/10;;($67.19);221.0;
10;keepbusy_cross(SELL);Sell to Close;-221.0;$5.14;5/21/10;$137.17;$61.47;0.0;
11;keepbusy_cross(Buy);Buy to Open;170.0;$5.85;7/30/10;;$59.71;170.0;
12;keepbusy_cross(SELL);Sell to Close;-170.0;$5.32;8/12/10;($90.33);($28.86);0.0;
13;keepbusy_cross(Buy);Buy to Open;76.0;$13.13;5/10/13;;($20.75);76.0;
14;keepbusy_cross(SELL);Sell to Close;-76.0;$14.55;8/29/13;$108.27;$79.42;0.0;
15;keepbusy_cross(Buy);Buy to Open;61.0;$16.23;11/15/13;;$95.89;61.0;
16;keepbusy_cross(SELL);Sell to Close;-61.0;$17.31;2/4/14;$66.10;$145.52;0.0;
17;keepbusy_cross(Buy);Buy to Open;40.0;$24.46;8/7/15;;$131.65;40.0;
18;keepbusy_cross(SELL);Sell to Close;-40.0;$23.67;8/21/15;($31.63);$113.88;0.0;
19;keepbusy_cross(Buy);Buy to Open;30.0;$33.30;9/1/17;;$116.88;30.0;
20;keepbusy_cross(SELL);Sell to Close;-30.0;$44.45;2/7/18;$334.41;$448.30;0.0;
21;keepbusy_cross(Buy);Buy to Open;13.0;$72.65;5/1/20;;$459.61;13.0;
22;keepbusy_cross(SELL);Sell to Close;-13.0;$93.26;9/18/20;$268.03;$716.33;0.0;
23;keepbusy_cross(Buy);Buy to Open;7.0;$141.09;7/22/22;;$705.06;7.0;
24;keepbusy_cross(SELL);Sell to Close;-7.0;$137.07;7/26/22;($28.12);$688.22;0.0;
25;keepbusy_cross(Buy);Buy to Open;4.0;$217.58;2/9/24;;$688.56;4.0;
26;keepbusy_cross(SELL);Sell to Close;-4.0;$212.32;4/18/24;($21.04);$667.18;0.0;


Max trade P/L: $334.41;

Total P/L: $667.18;

Total order(s): 13;
